Chr	bin	name	strand	g_Start	g_End	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames	Sample_ID	CNV_Start	CNV_End	CNV_Value	CNV_Conf	Comment	Empty	Length	Check_gene
19	795	NM_001024570	-	27582169	27585939	27582736	27585794	5	27582169,27583051,27583289,27584425,27585760,	27582951,27583274,27583886,27584522,27585939,	0	PHF23	cmpl	cmpl	1,0,0,2,0,	201094560060_R02C01	27576066	27643677	4	37.37477			67612	Has_gene
19	795	NM_001034048	-	27586883	27588815	27587308	27588772	4	27586883,27587812,27588069,27588682,	27587374,27587931,27588148,27588815,	0	GABARAP	cmpl	cmpl	0,1,0,0,	201094560060_R02C01	27576066	27643677	4	37.37477			67612	Has_gene
19	795	NM_001046026	-	27589893	27596031	27590480	27595696	8	27589893,27590831,27591329,27591664,27592199,27592481,27592694,27595594,	27590541,27590916,27591441,27591781,27592271,27592600,27592761,27596031,	0	CTDNEP1	cmpl	cmpl	2,1,0,0,0,1,0,0,	201094560060_R02C01	27576066	27643677	4	37.37477			67612	Has_gene
19	795	NM_001040519	-	27602592	27604817	27602815	27604460	4	27602592,27603065,27603270,27604237,	27602978,27603150,27603435,27604817,	0	CLDN7	cmpl	cmpl	2,1,1,0,	201094560060_R02C01	27576066	27643677	4	37.37477			67612	Has_gene
19	795	NM_174604	+	27616612	27622206	27616803	27621453	12	27616612,27618111,27618337,27618598,27618846,27618914,27619058,27619307,27619682,27619937,27620498,27621249,	27616836,27618228,27618510,27618723,27618913,27618963,27619221,27619495,27619787,27620039,27620702,27622206,	0	SLC2A4	cmpl	cmpl	0,0,0,2,1,2,0,1,0,0,0,0,	201094560060_R02C01	27576066	27643677	4	37.37477			67612	Has_gene
19	795	NM_001098126	-	27622772	27628768	27623295	27628725	9	27622772,27623261,27623768,27624209,27624483,27625346,27626277,27627734,27628448,	27623165,27623346,27623946,27624313,27624768,27625436,27626311,27627798,27628768,	0	YBX2	cmpl	cmpl	-1,0,2,0,0,0,2,1,0,	201094560060_R02C01	27576066	27643677	4	37.37477			67612	Has_gene
1	1261	NM_001076108	+	88632286	88663999	88636563	88663595	6	88632286,88636506,88657450,88660695,88660983,88663383,	88632544,88636833,88657570,88660862,88661084,88663999,	0	ZMAT3	cmpl	cmpl	-1,0,0,0,2,1,	201094560060_R02C02	88638760	88904687	3	91.14329			265928	Has_gene
1	157	NM_001080300	-	88784263	89049226	88785047	88820693	5	88784263,88799916,88803192,88820637,89049141,	88785332,88800112,88803363,88820760,89049226,	0	KCNMB2	cmpl	cmpl	0,2,2,0,-1,	201094560060_R02C02	88638760	88904687	3	91.14329			265928	Has_gene
7																201094560060_R02C02	10044994	11003442	3	64.45533			958449	Non_gene
28																201094560060_R02C02	2558208	2826085	0	147.1673			267878	Non_gene
28																201094560060_R04C01	2519599	2600973	0	384.9826			81375	Non_gene
8	152	NM_174316	-	83022521	83392672	83023845	83270596	22	83022521,83030933,83035475,83044171,83046439,83053281,83054724,83064357,83099473,83099604,83099634,83116076,83117045,83228601,83266920,83270431,83278777,83279803,83280566,83300930,83380298,83392523,	83024010,83031140,83035656,83044247,83046515,83053381,83054780,83064514,83099600,83099632,83099637,83116141,83117159,83228696,83267005,83270674,83278836,83280012,83280647,83301010,83380366,83392672,	0	FANCC	cmpl	cmpl	0,0,2,1,0,2,0,2,1,2,2,0,0,1,0,0,-1,-1,-1,-1,-1,-1,	201094560060_R04C02	83208151	83271555	0	74.05807			63405	Has_gene
8	1220	NM_001244608	-	83242821	83253558	83243781	83253558	7	83242821,83243751,83251512,83251753,83252048,83252922,83253434,	83243034,83243859,83251658,83251865,83252126,83253338,83253558,	0	TSPY	cmpl	cmpl	-1,0,1,0,0,1,0,	201094560060_R04C02	83208151	83271555	0	74.05807			63405	Has_gene
12																201094560060_R04C02	58073538	58417437	1	66.60777			343900	Non_gene
4																201094560060_R06C01	6270385	6425277	3	39.76345			154893	Non_gene
4	1093	NM_001101246	-	66610953	66643765	66616154	66643592	3	66610953,66630959,66643430,	66616265,66631082,66643765,	0	MTURN	cmpl	cmpl	0,0,0,	201094560060_R06C01	66499835	66854427	3	58.80107			354593	Has_gene
4	136	NM_001197032	-	66696648	66755780	66696936	66755780	14	66696648,66702598,66713890,66714608,66715105,66718715,66719153,66722223,66724161,66725239,66730735,66732419,66733659,66755740,	66697134,66702660,66713961,66714739,66715164,66718801,66719313,66722381,66724202,66725398,66730860,66732575,66733776,66755780,	0	PLEKHA8	cmpl	cmpl	0,1,2,0,1,2,1,2,0,0,1,1,1,0,	201094560060_R06C01	66499835	66854427	3	58.80107			354593	Has_gene
4	1094	NM_001076391	+	66758678	66770727	66758857	66768603	4	66758678,66762076,66765273,66768444,	66759054,66762228,66765401,66770727,	0	FKBP14	cmpl	cmpl	0,2,1,0,	201094560060_R06C01	66499835	66854427	3	58.80107			354593	Has_gene
4	136	NM_001110803	+	66785265	66851245	66807200	66847530	8	66785265,66807199,66825783,66832883,66834056,66836650,66844869,66847371,	66785615,66807359,66825965,66833086,66834251,66836816,66845050,66851245,	0	SCRN1	cmpl	cmpl	-1,0,0,2,1,1,2,0,	201094560060_R06C01	66499835	66854427	3	58.80107			354593	Has_gene
7																201094560060_R06C01	70621019	70804701	3	82.37167			183683	Non_gene
8	152	NM_174316	-	83022521	83392672	83023845	83270596	22	83022521,83030933,83035475,83044171,83046439,83053281,83054724,83064357,83099473,83099604,83099634,83116076,83117045,83228601,83266920,83270431,83278777,83279803,83280566,83300930,83380298,83392523,	83024010,83031140,83035656,83044247,83046515,83053381,83054780,83064514,83099600,83099632,83099637,83116141,83117159,83228696,83267005,83270674,83278836,83280012,83280647,83301010,83380366,83392672,	0	FANCC	cmpl	cmpl	0,0,2,1,0,2,0,2,1,2,2,0,0,1,0,0,-1,-1,-1,-1,-1,-1,	201094560060_R06C01	83208151	83271555	0	59.99142			63405	Has_gene
8	1220	NM_001244608	-	83242821	83253558	83243781	83253558	7	83242821,83243751,83251512,83251753,83252048,83252922,83253434,	83243034,83243859,83251658,83251865,83252126,83253338,83253558,	0	TSPY	cmpl	cmpl	-1,0,1,0,0,1,0,	201094560060_R06C01	83208151	83271555	0	59.99142			63405	Has_gene
10																201094560060_R06C01	23907925	24998515	3	41.40881			1090591	Non_gene
4	17	NM_001191503	+	73326979	73897041	73326979	73897041	4	73326979,73793355,73885544,73893377,	73327087,73793499,73885675,73897041,	0	ZNF804B	cmpl	cmpl	0,0,0,2,	201094560060_R06C02	73676903	73758088	0	307.2648			81186	Has_gene
6	1242	NM_001046354	-	86169554	86190786	86169765	86190754	6	86169554,86179521,86180835,86181163,86189033,86190033,	86170045,86179741,86180923,86181295,86189182,86190786,	0	UGT2B10	cmpl	cmpl	2,1,0,0,1,0,	201094560060_R06C02	86136385	86207116	0	81.68674			70732	Has_gene
10																201094560060_R06C02	23155925	23938808	0	105.1004			782884	Non_gene
15																201094560060_R06C02	80404264	80842722	3	45.03442			438459	Non_gene
18																201094560060_R06C02	38815705	38883296	0	43.23822			67592	Non_gene
7																201094560060_R07C01	10117929	11003442	3	197.9854			885514	Non_gene
27																201094560060_R07C01	2179542	2287885	0	58.80003			108344	Non_gene
6	1242	NM_001046354	-	86169554	86190786	86169765	86190754	6	86169554,86179521,86180835,86181163,86189033,86190033,	86170045,86179741,86180923,86181295,86189182,86190786,	0	UGT2B10	cmpl	cmpl	2,1,0,0,1,0,	201094560060_R07C02	86053293	86184842	0	139.827			131550	Has_gene
12																201094560060_R08C01	75255512	75391198	3	68.23496			135687	Non_gene
15																201094560060_R08C01	80404264	80831076	3	57.72522			426813	Non_gene
28																201094560060_R08C01	2468624	2600973	0	382.2052			132350	Non_gene
2																201094560060_R08C02	63897151	63948276	3	53.81237			51126	Non_gene
3	125	NM_001102261	+	54643138	54683053	54649496	54682159	11	54643138,54649469,54652589,54662456,54662767,54664515,54665860,54676096,54677819,54678241,54681973,	54643234,54649665,54652717,54662563,54662964,54664761,54666141,54676309,54677922,54678435,54683053,	0	GBP4	cmpl	cmpl	-1,0,1,0,2,1,1,0,0,1,0,	201094560060_R08C02	54555541	54739057	3	37.21776			183517	Has_gene
14																201094560060_R08C02	20034384	20421717	3	121.591			387334	Non_gene
12																201094560060_R09C01	58073538	58417437	1	64.64095			343900	Non_gene
2	793	NM_001046257	-	27317637	27380506	27317715	27380451	16	27317637,27321134,27322328,27323355,27326591,27327992,27335301,27335524,27341449,27347541,27350400,27353119,27353402,27356895,27369949,27380424,	27317852,27321224,27322440,27323481,27326680,27328101,27335427,27335623,27341575,27347640,27350463,27353201,27353465,27356979,27370035,27380506,	0	NOSTRIN	cmpl	cmpl	1,1,0,0,1,0,0,0,0,0,0,2,2,2,0,0,	201094560060_R10C01	27366556	28027008	3	200.8442			660453	Has_gene
2	99	NM_001193132	-	27407916	27758923	27407916	27758923	10	27407916,27411145,27463675,27467085,27486818,27489266,27550901,27641524,27653076,27758753,	27408069,27411302,27463782,27467214,27486911,27489317,27550959,27641655,27653182,27758923,	0	CERS6	cmpl	cmpl	0,2,0,0,0,0,2,0,2,0,	201094560060_R10C01	27366556	28027008	3	200.8442			660453	Has_gene
2	795	NR_031070	-	27629812	27629887	27629887	27629887	1	27629812,	27629887,	0	MIR2353	unk	unk	-1,	201094560060_R10C01	27366556	28027008	3	200.8442			660453	Has_gene
2	798	NM_001075826	+	27924667	28017775	27924730	28017172	5	27924667,27991506,28012364,28015662,28017030,	27924917,27991619,28012473,28015804,28017775,	0	STK39	cmpl	cmpl	0,1,0,1,2,	201094560060_R10C01	27366556	28027008	3	200.8442			660453	Has_gene
7																201094560060_R10C01	187428	233662	0	343.8507			46235	Non_gene
9																201094560060_R10C01	2791818	2867786	0	46.8001			75969	Non_gene
15																201094560060_R10C01	80404264	80831076	3	57.15099			426813	Non_gene
21																201094560060_R10C01	52316905	52364049	0	60.82456			47145	Non_gene
21																201094560060_R10C01	54186710	54276389	0	121.7745			89680	Non_gene
28																201094560060_R10C01	2485319	2600973	0	383.0148			115655	Non_gene
10																201094560060_R10C02	24998515	25265627	0	79.77157			267113	Non_gene
14																201094560060_R10C02	77329830	77442081	0	45.38505			112252	Non_gene
14																201094560060_R10C02	78336871	78386690	0	380.2516			49820	Non_gene
10																201094560060_R11C01	24998515	25265627	0	88.88499			267113	Non_gene
28																201094560060_R11C01	2485319	2600973	0	428.3336			115655	Non_gene
5																201094560060_R11C02	119308044	119333338	0	241.1839			25295	Non_gene
16	132	NM_001034206	+	62068138	62128365	62080544	62127908	16	62068138,62080539,62094279,62112152,62113657,62115006,62115868,62117791,62119880,62120249,62121340,62122712,62124043,62125191,62125884,62127851,	62068251,62080668,62094338,62112301,62113717,62115114,62116151,62117870,62119962,62120295,62121470,62122810,62124142,62125327,62126030,62128365,	0	SOAT1	cmpl	cmpl	-1,0,1,0,2,2,2,0,1,2,0,1,0,0,1,0,	201094560060_R11C02	61995348	62179726	3	36.3859			184379	Has_gene
28																201094560060_R11C02	2468624	2600973	0	419.4735			132350	Non_gene
4	116	NM_001099704	-	45594204	45682229	45594956	45682157	14	45594204,45603228,45637769,45645175,45646900,45649021,45652603,45652781,45654941,45664412,45670367,45675289,45678004,45682085,	45595002,45603341,45637880,45645223,45647013,45649074,45652694,45652830,45655072,45664524,45670442,45675490,45678097,45682229,	0	ORC5	cmpl	cmpl	2,0,0,0,1,2,1,0,1,0,0,0,0,0,	201094560060_R12C01	45664659	45743508	0	59.50023			78850	Has_gene
11																201094560060_R12C01	4177123	4225930	0	56.17247			48808	Non_gene
28																201094560060_R12C01	2468624	2826085	0	264.885			357462	Non_gene
14																201094560060_R12C02	20034384	20421717	3	152.2663			387334	Non_gene
15																201094560060_R12C02	80404264	80935724	4	73.59797			531461	Non_gene
6	1242	NM_001046354	-	86169554	86190786	86169765	86190754	6	86169554,86179521,86180835,86181163,86189033,86190033,	86170045,86179741,86180923,86181295,86189182,86190786,	0	UGT2B10	cmpl	cmpl	2,1,0,0,1,0,	201094560076_R01C01	86136385	86207116	0	81.2481			70732	Has_gene
28																201094560076_R01C01	2468624	2600973	0	415.2501			132350	Non_gene
28																201094560076_R01C02	2485319	2600973	0	398.187			115655	Non_gene
7	1296	NM_001076257	-	93240415	93253094	93241227	93252863	8	93240415,93243331,93243758,93244249,93244864,93245967,93248010,93252583,	93241284,93243486,93243921,93244506,93244967,93246115,93248092,93253094,	0	ARRDC3	cmpl	cmpl	0,1,0,1,0,2,1,0,	201094560076_R03C01	93224876	93254737	1	45.9774			29862	Has_gene
12																201094560076_R03C01	75501120	75946247	0	126.8466			445128	Non_gene
15																201094560076_R03C01	80511026	80831076	0	365.5584			320051	Non_gene
28																201094560076_R03C01	2485319	2600973	0	386.4271			115655	Non_gene
1																201094560076_R03C02	22812156	25542671	3	58.86775			2730516	Non_gene
4	588	NM_001083528	-	407814	432247	409126	432235	5	407814,426029,429102,430222,432159,	409215,426366,429153,430389,432247,	0	VSTM2A	cmpl	cmpl	1,0,0,1,0,	201094560076_R03C02	17112	4138532	3	228.9727			4121421	Has_gene
5	124	NM_001076336	-	53987897	54214799	53988594	54049222	6	53987897,53994139,54000397,54049005,54149801,54214635,	53988866,53994955,54000541,54049252,54149899,54214799,	0	SLC16A7	cmpl	cmpl	1,1,1,0,-1,-1,	201094560076_R03C02	51732343	55324183	3	71.23828			3591841	Has_gene
5	125	NM_001205591	+	54884393	54936361	54884676	54935326	19	54884393,54890790,54891158,54915702,54916316,54917484,54917928,54918505,54919879,54920986,54923240,54923817,54926505,54928627,54930079,54931505,54933362,54933597,54935081,	54884912,54890862,54891233,54915834,54916460,54917628,54918072,54918649,54919960,54921058,54923312,54923981,54926826,54928909,54930532,54931664,54933506,54933873,54936361,	0	LRIG3	cmpl	cmpl	0,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,	201094560076_R03C02	51732343	55324183	3	71.23828			3591841	Has_gene
6	84	NM_001192673	+	11683809	11962933	11683809	11962933	13	11683809,11806837,11813821,11848197,11850265,11921703,11939621,11942441,11944689,11951633,11952684,11957598,11962813,	11684787,11806925,11813976,11848383,11850394,11921886,11939718,11942565,11944864,11951804,11952794,11957701,11962933,	0	NDST4	cmpl	cmpl	0,0,1,0,0,0,0,1,2,0,0,2,0,	201094560076_R03C02	8617907	11864987	3	194.3718			3247081	Has_gene
7																201094560076_R03C02	93522200	95027313	3	105.2942			1505114	Non_gene
9																201094560076_R03C02	35343932	36391522	3	61.23996			1047591	Non_gene
12																201094560076_R03C02	83824192	85453952	3	57.41605			1629761	Non_gene
15																201094560076_R03C02	74750	1295957	3	39.68933			1221208	Non_gene
15	75	NM_001079604	-	2114095	2719777	2115246	2718872	10	2114095,2116577,2128802,2130722,2138141,2175947,2465355,2717436,2718784,2719456,	2115279,2116688,2128907,2130890,2138300,2176005,2465596,2717595,2718956,2719777,	0	GRIA4	cmpl	cmpl	0,0,0,0,0,2,1,1,0,-1,	201094560076_R03C02	2130402	4293948	3	62.93828			2163547	Has_gene
15	611	NM_176638	+	3474705	3494170	3474729	3489997	9	3474705,3478515,3483043,3483949,3485363,3486415,3487978,3489898,3493325,	3474736,3478770,3483153,3484123,3485598,3486559,3488088,3490002,3494170,	0	CASP4	cmpl	cmpl	0,1,1,0,0,1,1,0,-1,	201094560076_R03C02	2130402	4293948	3	62.93828			2163547	Has_gene
17	595	NR_107735	+	1350294	1350363	1350363	1350363	1	1350294,	1350363,	0	MIR2285J-1	unk	unk	-1,	201094560076_R03C02	727200	2748831	3	47.00493			2021632	Has_gene
17	74	NM_001193114	+	1491332	1819993	1491332	1819993	21	1491332,1662809,1667346,1668930,1669599,1683192,1690325,1695475,1706867,1751831,1755679,1756989,1768401,1770469,1772556,1775779,1783641,1786581,1804039,1818451,1819858,	1491501,1662920,1667427,1669083,1669717,1683371,1690431,1695600,1706983,1751934,1755796,1757135,1768597,1770595,1772717,1775960,1783767,1786709,1804253,1818702,1819993,	0	TLL1	cmpl	cmpl	0,1,1,1,1,2,1,2,1,0,1,1,0,1,1,0,1,1,0,1,0,	201094560076_R03C02	727200	2748831	3	47.00493			2021632	Has_gene
17	599	NM_001206151	+	1908438	1953208	1908438	1953208	10	1908438,1909235,1910407,1918312,1924809,1926577,1928578,1930115,1931272,1953084,	1908513,1909320,1910725,1918542,1924903,1926816,1928649,1930284,1931362,1953208,	0	MAP9	cmpl	cmpl	0,0,1,1,0,1,0,2,0,2,	201094560076_R03C02	727200	2748831	3	47.00493			2021632	Has_gene
17	600	NM_174401	-	2059568	2063780	2059750	2060905	2	2059568,2063654,	2060921,2063780,	0	NPY2R	cmpl	cmpl	0,-1,	201094560076_R03C02	727200	2748831	3	47.00493			2021632	Has_gene
17	604	NM_001192719	-	2523017	2567620	2523760	2567620	4	2523017,2564844,2566113,2567469,	2523960,2565627,2566581,2567620,	0	RBM46	cmpl	cmpl	1,1,1,0,	201094560076_R03C02	727200	2748831	3	47.00493			2021632	Has_gene
17	605	NM_177503	-	2650459	2657106	2652179	2657106	4	2650459,2650888,2651536,2656566,	2650879,2651526,2652332,2657106,	0	LRAT	cmpl	cmpl	-1,-1,0,0,	201094560076_R03C02	727200	2748831	3	47.00493			2021632	Has_gene
18																201094560076_R03C02	61894649	61929947	0	91.75066			35299	Non_gene
28																201094560076_R03C02	2558208	2600973	0	319.6778			42766	Non_gene
10																201094560076_R05C01	23208530	23543330	0	58.70634			334801	Non_gene
28																201094560076_R05C01	2468624	2600973	0	460.6796			132350	Non_gene
2																201094560076_R05C02	12236359	12445649	0	49.89256			209291	Non_gene
4	1093	NM_001101246	-	66610953	66643765	66616154	66643592	3	66610953,66630959,66643430,	66616265,66631082,66643765,	0	MTURN	cmpl	cmpl	0,0,0,	201094560076_R05C02	66499835	67007235	3	89.84248			507401	Has_gene
4	136	NM_001197032	-	66696648	66755780	66696936	66755780	14	66696648,66702598,66713890,66714608,66715105,66718715,66719153,66722223,66724161,66725239,66730735,66732419,66733659,66755740,	66697134,66702660,66713961,66714739,66715164,66718801,66719313,66722381,66724202,66725398,66730860,66732575,66733776,66755780,	0	PLEKHA8	cmpl	cmpl	0,1,2,0,1,2,1,2,0,0,1,1,1,0,	201094560076_R05C02	66499835	67007235	3	89.84248			507401	Has_gene
4	1094	NM_001076391	+	66758678	66770727	66758857	66768603	4	66758678,66762076,66765273,66768444,	66759054,66762228,66765401,66770727,	0	FKBP14	cmpl	cmpl	0,2,1,0,	201094560076_R05C02	66499835	67007235	3	89.84248			507401	Has_gene
4	136	NM_001110803	+	66785265	66851245	66807200	66847530	8	66785265,66807199,66825783,66832883,66834056,66836650,66844869,66847371,	66785615,66807359,66825965,66833086,66834251,66836816,66845050,66851245,	0	SCRN1	cmpl	cmpl	-1,0,0,2,1,1,2,0,	201094560076_R05C02	66499835	67007235	3	89.84248			507401	Has_gene
5																201094560076_R05C02	42188101	42212768	0	63.08342			24668	Non_gene
20																201094560076_R05C02	46028649	46091593	0	65.43179			62945	Non_gene
3	125	NM_001102261	+	54643138	54683053	54649496	54682159	11	54643138,54649469,54652589,54662456,54662767,54664515,54665860,54676096,54677819,54678241,54681973,	54643234,54649665,54652717,54662563,54662964,54664761,54666141,54676309,54677922,54678435,54683053,	0	GBP4	cmpl	cmpl	-1,0,1,0,2,1,1,0,0,1,0,	201094560076_R07C01	54555541	54872418	3	213.5379			316878	Has_gene
6	1242	NM_001046354	-	86169554	86190786	86169765	86190754	6	86169554,86179521,86180835,86181163,86189033,86190033,	86170045,86179741,86180923,86181295,86189182,86190786,	0	UGT2B10	cmpl	cmpl	2,1,0,0,1,0,	201094560076_R07C01	86136385	86207116	0	90.38177			70732	Has_gene
8	152	NM_174316	-	83022521	83392672	83023845	83270596	22	83022521,83030933,83035475,83044171,83046439,83053281,83054724,83064357,83099473,83099604,83099634,83116076,83117045,83228601,83266920,83270431,83278777,83279803,83280566,83300930,83380298,83392523,	83024010,83031140,83035656,83044247,83046515,83053381,83054780,83064514,83099600,83099632,83099637,83116141,83117159,83228696,83267005,83270674,83278836,83280012,83280647,83301010,83380366,83392672,	0	FANCC	cmpl	cmpl	0,0,2,1,0,2,0,2,1,2,2,0,0,1,0,0,-1,-1,-1,-1,-1,-1,	201094560076_R07C01	83190665	83251339	0	74.7923			60675	Has_gene
8	1220	NM_001244608	-	83242821	83253558	83243781	83253558	7	83242821,83243751,83251512,83251753,83252048,83252922,83253434,	83243034,83243859,83251658,83251865,83252126,83253338,83253558,	0	TSPY	cmpl	cmpl	-1,0,1,0,0,1,0,	201094560076_R07C01	83190665	83251339	0	74.7923			60675	Has_gene
12																201094560076_R07C01	59108123	59227955	3	49.23527			119833	Non_gene
15																201094560076_R07C01	80404264	80831076	3	36.86378			426813	Non_gene
28																201094560076_R07C01	2558208	2826085	0	135.9629			267878	Non_gene
4	1093	NM_001101246	-	66610953	66643765	66616154	66643592	3	66610953,66630959,66643430,	66616265,66631082,66643765,	0	MTURN	cmpl	cmpl	0,0,0,	201094560076_R07C02	66499835	66854427	3	98.89954			354593	Has_gene
4	136	NM_001197032	-	66696648	66755780	66696936	66755780	14	66696648,66702598,66713890,66714608,66715105,66718715,66719153,66722223,66724161,66725239,66730735,66732419,66733659,66755740,	66697134,66702660,66713961,66714739,66715164,66718801,66719313,66722381,66724202,66725398,66730860,66732575,66733776,66755780,	0	PLEKHA8	cmpl	cmpl	0,1,2,0,1,2,1,2,0,0,1,1,1,0,	201094560076_R07C02	66499835	66854427	3	98.89954			354593	Has_gene
4	1094	NM_001076391	+	66758678	66770727	66758857	66768603	4	66758678,66762076,66765273,66768444,	66759054,66762228,66765401,66770727,	0	FKBP14	cmpl	cmpl	0,2,1,0,	201094560076_R07C02	66499835	66854427	3	98.89954			354593	Has_gene
4	136	NM_001110803	+	66785265	66851245	66807200	66847530	8	66785265,66807199,66825783,66832883,66834056,66836650,66844869,66847371,	66785615,66807359,66825965,66833086,66834251,66836816,66845050,66851245,	0	SCRN1	cmpl	cmpl	-1,0,0,2,1,1,2,0,	201094560076_R07C02	66499835	66854427	3	98.89954			354593	Has_gene
8	152	NM_174316	-	83022521	83392672	83023845	83270596	22	83022521,83030933,83035475,83044171,83046439,83053281,83054724,83064357,83099473,83099604,83099634,83116076,83117045,83228601,83266920,83270431,83278777,83279803,83280566,83300930,83380298,83392523,	83024010,83031140,83035656,83044247,83046515,83053381,83054780,83064514,83099600,83099632,83099637,83116141,83117159,83228696,83267005,83270674,83278836,83280012,83280647,83301010,83380366,83392672,	0	FANCC	cmpl	cmpl	0,0,2,1,0,2,0,2,1,2,2,0,0,1,0,0,-1,-1,-1,-1,-1,-1,	201094560076_R07C02	83190665	83251339	0	77.40686			60675	Has_gene
8	1220	NM_001244608	-	83242821	83253558	83243781	83253558	7	83242821,83243751,83251512,83251753,83252048,83252922,83253434,	83243034,83243859,83251658,83251865,83252126,83253338,83253558,	0	TSPY	cmpl	cmpl	-1,0,1,0,0,1,0,	201094560076_R07C02	83190665	83251339	0	77.40686			60675	Has_gene
23																201094560076_R07C02	26255454	26309259	0	198.9077			53806	Non_gene
12																201977910016_R03C01	75770032	76140566	0	149.5535			370535	Non_gene
21																201977910016_R03C01	52294301	52335388	0	138.1962			41088	Non_gene
21																201977910016_R03C01	54181213	54208626	0	128.2661			27414	Non_gene
26																201977910016_R03C01	3010798	3087092	0	44.9794			76295	Non_gene
6																201977910016_R03C02	86012313	86142462	0	103.782			130150	Non_gene
7																201977910016_R03C02	187428	233662	0	348.0091			46235	Non_gene
2																201977910016_R05C02	12212395	12451708	0	95.16111			239314	Non_gene
