name2	gene_list_1	gene_list_2	gene_list_3	Common_check
CRYZL1	0	1	0	Common_low
CSDC2	1	1	0	Common_low
CSMD3	1	0	0	Common_low
CSN1S1	1	0	0	Common_low
CSNK2B	1	0	1	Common_low
CSTB	2	0	0	Common_low
CTDNEP1	3	3	2	Common_low
CTDSP1	0	1	0	Common_low
CTNNA3	15	8	2	Common_low
CTNNAL1	0	1	0	Common_low
CTSZ	1	1	0	Common_low
CTU1	1	1	0	Common_low
CUEDC1	1	1	0	Common_low
CXADR	0	0	1	Common_low
CYC1	4	2	0	Common_low
CYGB	1	1	0	Common_low
CYHR1	14	12	0	Common_low
CYLC2	11	5	1	Common_low
CYP46A1	1	1	0	Common_low
CYSLTR2	2	2	0	Common_low
CYSRT1	3	2	1	Common_low
CYTH2	1	1	0	Common_low
D2HGDH	3	3	0	Common_low
DAG1	1	1	0	Common_low
DAZAP1	3	1	0	Common_low
DBH	0	0	1	Common_low
DBP	1	1	0	Common_low
DCAF16	1	0	0	Common_low
DCTPP1	1	2	0	Common_low
DCUN1D1	3	3	0	Common_low
DCXR	8	8	0	Common_low
DDAH2	1	0	1	Common_low
DDT	3	4	0	Common_low
DDX10	0	0	1	Common_low
DDX31	1	3	0	Common_low
DDX39A	1	1	0	Common_low
DDX39B	0	0	1	Common_low
DDX55	2	0	0	Common_low
DDX6	1	1	0	Common_low
DEGS2	1	1	0	Common_low
DEPP1	1	0	0	Common_low
DEPTOR	1	1	0	Common_low
DEXI	2	2	1	Common_low
DGAT1	8	7	0	Common_low
DGCR2	2	2	0	Common_low
DGCR8	4	3	0	Common_low
DGKB	8	6	1	Common_low
DGKE	0	0	1	Common_low
DHTKD1	2	2	0	Common_low
DISP1	1	1	0	Common_low
DKFZP761E198	1	1	0	Common_low
DMP1	1	1	1	Common_low
DMRT1	1	1	0	Common_low
DMRT2	0	0	1	Common_low
DNAAF2	2	1	0	Common_low
DNAH2	5	1	1	Common_low
DNAJB1	1	1	0	Common_low
DNAJC5	2	0	0	Common_low
DNASE1L2	2	2	1	Common_low
DNM2	1	1	0	Common_low
DNMT1	1	0	0	Common_low
DNTT	1	0	0	Common_low
DOC2G	2	0	0	Common_low
DOCK10	1	1	0	Common_low
DOCK8	0	1	0	Common_low
DOHH	1	0	0	Common_low
DOLK	1	2	0	Common_low
DOLPP1	1	2	0	Common_low
DONSON	0	1	0	Common_low
DPCD	1	1	0	Common_low
DPEP1	3	1	0	Common_low
DPM2	2	2	0	Common_low
DPP10	1	3	1	Common_low
DPP7	2	0	0	Common_low
DRC3	1	0	0	Common_low
DRG2	1	0	0	Common_low
DSC3	0	0	1	Common_low
DSCC1	1	1	0	Common_low
DTYMK	3	3	0	Common_low
DUS1L	4	4	0	Common_low
DUSP2	2	0	0	Common_low
DVL1	1	1	0	Common_low
DVL2	3	3	2	Common_low
DYM	1	0	0	Common_low
DYNC1I2	2	2	0	Common_low
DYNC2I2	0	2	0	Common_low
DZIP1	0	0	1	Common_low
E4F1	2	2	1	Common_low
EBI3	3	1	0	Common_low
ECHDC3	2	2	1	Common_low
ECI1	2	2	1	Common_low
ECSIT	0	1	0	Common_low
ECT2	1	1	0	Common_low
EDF1	6	6	3	Common_low
EDNRB	1	0	0	Common_low
EEF1A2	4	4	0	Common_low
EEF1D	4	4	0	Common_low
EEFSEC	4	4	0	Common_low
EFCC1	1	0	0	Common_low
EFEMP2	2	2	0	Common_low
EFHC1	0	0	2	Common_low
EFNA2	2	2	0	Common_low
EFNB3	5	1	1	Common_low
EGFL7	3	5	1	Common_low
EHMT1	0	0	1	Common_low
EHMT2	0	0	1	Common_low
EIF3B	2	2	0	Common_low
EIF4A1	3	1	1	Common_low
EIF4H	1	0	0	Common_low
EIF5A	5	5	1	Common_low
ELANE	1	0	0	Common_low
ELF3	1	0	0	Common_low
ELFN1	1	1	0	Common_low
ELN	1	1	0	Common_low
ELOB	4	3	0	Common_low
ELOVL2	0	1	0	Common_low
ELOVL5	0	0	1	Common_low
ELP4	2	2	0	Common_low
EMP3	0	1	0	Common_low
EMSY	2	2	0	Common_low
ENDOG	1	2	0	Common_low
ENDOV	1	0	0	Common_low
ENKUR	2	2	0	Common_low
ENTPD2	3	3	1	Common_low
ENTPD6	1	0	0	Common_low
ENTPD8	6	11	1	Common_low
ENTR1	4	5	1	Common_low
EPHA2	1	0	0	Common_low
EPHB2	1	1	0	Common_low
EPN1	1	1	0	Common_low
EPO	1	1	0	Common_low
EPOR	2	1	0	Common_low
EPS15	2	4	0	Common_low
ERCC1	1	0	0	Common_low
ERCC6L2	2	2	0	Common_low
ERO1A	3	3	0	Common_low
ERP29	1	0	0	Common_low
ESS2	2	2	0	Common_low
EVI2A	1	1	0	Common_low
EVI2B	1	1	0	Common_low
EXOC4	1	1	0	Common_low
EXOC7	2	2	0	Common_low
EXOSC4	4	2	0	Common_low
FADS6	2	2	0	Common_low
FAHD1	3	3	1	Common_low
FAM102A	2	2	0	Common_low
FAM163B	0	0	1	Common_low
FAM173A	2	0	0	Common_low
FAM174C	0	2	0	Common_low
FAM221A	7	19	5	Common_low
FAM78A	3	3	0	Common_low
FAM92B	1	0	0	Common_low
FANCA	3	1	0	Common_low
FANCC	1	1	46	High_and_Low
FAP	1	1	0	Common_low
FASN	3	3	0	Common_low
FAT1	0	0	1	Common_low
FBXL16	2	2	0	Common_low
FBXW4	1	0	0	Common_low
FBXW5	7	6	3	Common_low
FDX2	2	0	0	Common_low
FDXR	2	2	0	Common_low
FERMT3	0	2	0	Common_low
FGF11	5	5	1	Common_low
FGF14	21	26	7	High_and_Low
FGF20	0	0	1	Common_low
FGF4	0	0	1	Common_low
FGF5	0	0	1	Common_low
FGFR1OP2	0	1	0	Common_low
FGFR3	3	3	0	Common_low
FGFRL1	1	1	0	Common_low
FHOD3	1	0	0	Common_low
FIZ1	2	3	0	Common_low
FKBP14	30	33	26	Common_high
FKBP2	0	2	0	Common_low
FNDC11	5	5	0	Common_low
FOXC2	1	1	0	Common_low
FOXH1	6	5	0	Common_low
FOXJ1	2	2	0	Common_low
FOXS1	1	0	0	Common_low
FPGT	0	0	1	Common_low
FSCN1	2	2	0	Common_low
FSD1	2	0	0	Common_low
FST	2	2	0	Common_low
FSTL5	6	1	0	Common_low
FTMT	0	0	2	Common_low
FUCA1	2	2	0	Common_low
FUT2	1	1	0	Common_low
FUT7	3	3	1	Common_low
FXR2	5	1	1	Common_low
FYB1	3	2	0	Common_low
FYTTD1	2	1	0	Common_low
FZR1	1	0	0	Common_low
G3BP2	1	1	0	Common_low
GABARAP	3	3	2	Common_low
GABRA2	2	4	2	Common_low
GABRA4	0	0	1	Common_low
GABRB1	0	0	1	Common_low
GABRG1	13	24	2	High_and_Low
GAK	1	1	0	Common_low
GAL	5	4	0	Common_low
GALE	1	1	0	Common_low
GALNT13	9	6	0	Common_low
GALNT2	1	1	0	Common_low
GALNTL6	1	2	2	Common_low
GAMT	3	2	0	Common_low
GART	5	6	0	Common_low
GATA2	4	2	0	Common_low
GATD1	1	0	0	Common_low
GBP4	31	31	24	Common_high
GBP6	25	28	23	Common_high
GCGR	2	4	0	Common_low
GDPD1	1	1	0	Common_low
GDPD5	0	0	1	Common_low
GET4	2	4	0	Common_low
GFER	4	3	1	Common_low
GFM2	0	1	0	Common_low
GGPS1	0	1	1	Common_low
GGT1	1	0	0	Common_low
GGT5	1	0	0	Common_low
GHR	1	0	0	Common_low
GID4	1	0	0	Common_low
GID8	3	3	0	Common_low
GIGYF1	1	1	0	Common_low
GIMAP4	0	0	1	Common_low
GIMAP7	8	10	4	Common_low
GINS1	0	0	1	Common_low
GIPC1	1	1	0	Common_low
GIPC3	1	0	0	Common_low
GK5	0	1	0	Common_low
GLE1	0	2	0	Common_low
GLT6D1	1	1	0	Common_low
GLT8D1	10	10	0	Common_low
GMEB2	5	5	0	Common_low
GNA11	1	0	0	Common_low
GNA12	0	2	0	Common_low
GNA15	1	0	0	Common_low
GNAS	3	2	0	Common_low
GNB1	1	0	0	Common_low
GNB1L	3	3	2	Common_low
GNB2	5	5	0	Common_low
GNG11	0	1	0	Common_low
GNGT1	0	1	0	Common_low
GNMT	4	4	0	Common_low
GNPDA2	0	0	1	Common_low
GNPNAT1	1	0	0	Common_low
GNPTG	4	4	1	Common_low
GOLGA4	1	1	0	Common_low
GORASP2	0	1	0	Common_low
GOSR1	1	0	0	Common_low
GPAA1	4	2	0	Common_low
GPANK1	1	0	1	Common_low
GPBAR1	0	1	0	Common_low
GPBP1L1	3	2	0	Common_low
GPR146	2	2	0	Common_low
GPR22	2	2	0	Common_low
GPR37L1	1	1	0	Common_low
GPR62	1	1	0	Common_low
GPS1	4	4	0	Common_low
GPS2	5	5	1	Common_low
GPT	2	1	0	Common_low
GPX4	9	3	0	Common_low
GRAMD2B	0	0	1	Common_low
GRAMD4	1	0	0	Common_low
GRIA4	13	7	1	Common_low
GRIFIN	4	4	0	Common_low
GRIK2	6	5	0	Common_low
GRIN2C	2	0	0	Common_low
GRINA	4	1	0	Common_low
GRK2	3	1	0	Common_low
GRM2	1	1	0	Common_low
GRWD1	1	1	0	Common_low
GSDMD	2	2	0	Common_low
GSTP1	2	1	0	Common_low
GSTT1	3	4	0	Common_low
GSTT2	3	4	0	Common_low
GSTT4	3	4	0	Common_low
GTF3C4	1	3	0	Common_low
GUF1	0	0	1	Common_low
GULP1	2	1	1	Common_low
H1-12	0	5	1	Common_low
H1-2	0	2	1	Common_low
H1-3	0	6	1	Common_low
H2AC20	0	1	0	Common_low
H2AC6	0	4	2	Common_low
H2B	6	0	0	Common_low
H2BC15	0	1	0	Common_low
H2BC21	0	1	0	Common_low
H2BC5	0	5	1	Common_low
H2BC8	0	5	1	Common_low
H3C6	0	6	1	Common_low
H3C8	0	6	1	Common_low
H4	3	0	0	Common_low
H4C1	0	2	1	Common_low
H4C12	0	1	0	Common_low
H4C13	0	1	0	Common_low
H4C16	0	6	1	Common_low
H4C2	0	2	1	Common_low
H4C3	0	2	1	Common_low
H4C4	0	5	1	Common_low
H4C6	0	6	1	Common_low
H4C7	0	6	1	Common_low
H4C8	0	6	1	Common_low
HAGH	3	3	1	Common_low
HAGHL	1	1	0	Common_low
HAUS3	1	1	0	Common_low
HAUS4	2	1	0	Common_low
HBE2	1	0	0	Common_low
HBG	1	0	0	Common_low
HCFC1R1	1	1	0	Common_low
HCN1	1	1	0	Common_low
HDAC10	0	1	0	Common_low
HEPACAM2	1	0	0	Common_low
HERC4	2	2	1	Common_low
HEXB	0	1	0	Common_low
HFE	3	2	1	Common_low
HFM1	2	2	0	Common_low
HGF	0	1	0	Common_low
HGFAC	2	6	0	Common_low
HGS	1	1	0	Common_low
HIBADH	1	1	0	Common_low
HIC2	1	0	0	Common_low
HID1	2	2	0	Common_low
HINT1	0	0	1	Common_low
HIST1H1C	3	0	0	Common_low
HIST1H1D	6	0	0	Common_low
HIST1H1E	6	0	0	Common_low
HIST1H2AC	6	0	0	Common_low
HIST1H2BB	1	0	0	Common_low
HIST1H2BD	6	0	0	Common_low
HIST2H2AC	1	0	0	Common_low
HIST2H2BE	1	0	0	Common_low
HK3	1	0	0	Common_low
HMCN1	0	1	0	Common_low
HMG20A	2	1	0	Common_low
HMG20B	1	0	0	Common_low
HMGCL	2	2	0	Common_low
HOOK2	1	1	0	Common_low
HS3ST3B1	1	1	0	Common_low
HSCB	1	0	0	Common_low
HSD17B8	1	1	0	Common_low
HSDL2	3	3	0	Common_low
HSF1	6	6	0	Common_low
HSF2BP	1	1	0	Common_low
HSPA1A	1	0	1	Common_low
HSPA1L	1	0	1	Common_low
HSPBP1	1	1	0	Common_low
ICAM1	1	0	0	Common_low
ICAM3	2	0	0	Common_low
ICAM5	1	0	0	Common_low
IER5L	1	2	0	Common_low
IFI30	1	1	0	Common_low
IFITM1	0	2	0	Common_low
IFITM3	0	4	0	Common_low
IFT52	1	1	0	Common_low
IGF2BP2	2	2	0	Common_low
IGFALS	3	6	1	Common_low
IGSF9	1	0	0	Common_low
IL13	0	0	1	Common_low
IL4	0	0	1	Common_low
ILF3	1	1	0	Common_low
ILRUN	1	0	0	Common_low
IMPG1	0	0	1	Common_low
ING1	2	0	0	Common_low
ING5	3	3	0	Common_low
INO80	1	0	0	Common_low
INPP5E	4	5	1	Common_low
INSL3	1	4	0	Common_low
INTS1	1	0	1	Common_low
INTS11	1	1	0	Common_low
INTS13	0	1	0	Common_low
IPO11	2	2	0	Common_low
IPP	3	2	0	Common_low
IQCF1	1	1	0	Common_low
IQCF2	1	1	0	Common_low
IQCF5	1	1	0	Common_low
IQCG	2	1	0	Common_low
IQGAP3	0	2	0	Common_low
IQSEC1	2	0	0	Common_low
IRF1	1	1	0	Common_low
IRF3	2	2	0	Common_low
IRF7	0	1	0	Common_low
IRGQ	2	2	0	Common_low
ISG15	2	2	0	Common_low
ISOC2	1	2	0	Common_low
ISY1	1	0	0	Common_low
ITFG1	2	1	0	Common_low
ITGB1	1	1	0	Common_low
ITIH1	1	1	0	Common_low
ITIH3	1	1	0	Common_low
ITIH4	1	1	0	Common_low
ITM2B	1	1	0	Common_low
IZUMO3	2	1	1	Common_low
JMJD1C	6	6	0	Common_low
JMJD6	1	2	0	Common_low
JPT1	2	2	0	Common_low
JPT2	5	8	1	Common_low
JUNB	1	1	0	Common_low
KAT5	1	1	0	Common_low
KBTBD8	3	0	0	Common_low
KCNAB2	0	0	2	Common_low
KCNB1	1	6	0	Common_low
KCND2	2	2	2	Common_low
KCNJ14	1	1	0	Common_low
KCNJ3	1	2	0	Common_low
KCNMB2	2	2	2	Common_low
KCNQ1	0	1	0	Common_low
KCTD11	5	5	1	Common_low
KCTD8	0	0	1	Common_low
KDELR1	1	1	0	Common_low
KDM3A	1	1	0	Common_low
KIF20B	1	1	0	Common_low
KIF21A	6	7	0	Common_low
KIF22	1	2	0	Common_low
KIF3A	0	0	1	Common_low
KIF3C	2	0	0	Common_low
KIFC2	6	5	0	Common_low
KIRREL3	4	4	0	Common_low
KLC1	1	0	0	Common_low
KLF12	3	4	0	Common_low
KLHDC1	2	1	0	Common_low
KLHDC2	2	1	0	Common_low
KLHDC3	0	1	0	Common_low
KLHL1	1	1	0	Common_low
KLHL22	1	1	0	Common_low
KLHL23	0	1	0	Common_low
KNTC1	2	2	0	Common_low
KRI1	1	1	0	Common_low
KRT78	1	1	1	Common_low
KRT79	1	1	1	Common_low
KRT8	1	1	1	Common_low
KYAT1	2	3	0	Common_low
L3MBTL2	1	1	0	Common_low
LARP4B	1	0	0	Common_low
LCORL	5	9	0	Common_low
LENG1	3	3	0	Common_low
LFNG	7	7	0	Common_low
LHPP	1	1	0	Common_low
LHX3	1	2	1	Common_low
LIMK1	1	1	0	Common_low
LIPI	0	1	0	Common_low
LIX1L	1	0	0	Common_low
LLGL1	1	0	0	Common_low
LLGL2	1	0	0	Common_low
LMBRD1	0	1	0	Common_low
LMO3	1	1	2	Common_low
LMO4	1	1	0	Common_low
LMOD1	1	0	0	Common_low
LOC100125776	0	2	2	Common_low
LOC100125913	1	0	0	Common_low
LOC100125949	1	1	0	Common_low
LOC100196899	2	2	0	Common_low
LOC100196901	3	6	0	Common_low
LOC100847712	0	8	0	Common_low
LOC100848815	67	0	1	High_and_Low
LOC107131142	0	2	0	Common_low
LOC115945165	0	2	1	Common_low
LOC115945171	0	1	0	Common_low
LOC115945173	0	1	0	Common_low
LOC504295	0	0	1	Common_low
LOC506989	2	1	2	Common_low
LOC511617	3	4	1	Common_low
LOC512150	1	0	0	Common_low
LOC512440	0	0	7	Common_low
LOC516108	2	2	0	Common_low
LOC522763	0	0	10	Common_low
LOC525599	0	0	1	Common_low
LOC530354	0	0	2	Common_low
LOC534155	3	3	0	Common_low
LOC536190	0	0	1	Common_low
LOC538060	17	0	0	Common_low
LOC616942	19	5	2	Common_low
LOC617875	6	0	0	Common_low
LOC618071	1	0	0	Common_low
LOC618633	0	0	7	Common_low
LOC618803	0	0	3	Common_low
LOC751574	0	1	0	Common_low
LOC781494	0	0	7	Common_low
LOC781988	1	1	0	Common_low
LOC782061	34	38	11	High_and_Low
LOC784768	1	0	0	Common_low
LOC785762	0	2	0	Common_low
LOC786948	3	3	1	Common_low
LOC787518	0	0	2	Common_low
LOC788572	3	0	0	Common_low
LOC788615	0	0	2	Common_low
LOC790886	5	16	3	Common_low
LPAR1	1	1	0	Common_low
LRAT	0	0	1	Common_low
LRCH4	6	6	0	Common_low
LRFN5	1	1	0	Common_low
LRIG3	2	1	4	Common_low
