bin	name	Chr	strand	Start	End	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
1081	NM_001045878	chr10	+	65098686	65114701	65098799	65113771	9	65098686,65100287,65106038,65107497,65108798,65109074,65110447,65110963,65113658,	65098868,65100506,65106234,65107688,65108936,65109239,65110511,65111080,65114701,	0	GATM	cmpl	cmpl	0,0,0,1,0,0,0,1,1,
1564	NM_001045945	chr2	-	128388784	128422500	128390689	128412550	5	128388784,128392266,128393494,128412355,128422420,	128390874,128392438,128393668,128412610,128422500,	0	RCAN3	cmpl	cmpl	1,0,0,0,-1,
1339	NM_001046044	chr3	-	98887957	98924179	98889002	98924163	6	98887957,98890782,98891115,98892479,98896452,98923992,	98889044,98890879,98891192,98892632,98896599,98924179,	0	CMPK1	cmpl	cmpl	0,2,0,0,0,0,
106	NM_174502	chr28	+	35119330	35161494	35144855	35160777	16	35119330,35144847,35145512,35147363,35149014,35149345,35150071,35152317,35152781,35152995,35155083,35157544,35158637,35158895,35160717,35161091,	35119421,35144910,35145631,35147750,35149102,35149440,35150185,35152408,35152861,35153052,35155177,35157640,35158696,35159018,35161053,35161494,	0	ANXA11	cmpl	cmpl	-1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,-1,
602	NM_001076975	chr1	-	2285474	2314038	2286329	2313999	7	2285474,2292415,2300004,2305168,2306831,2311467,2313950,	2286479,2292573,2300152,2305335,2306989,2311591,2314038,	0	IL10RB	cmpl	cmpl	0,1,0,1,2,1,0,
689	NM_174503	chrX	-	13691001	13696810	13691001	13696810	2	13691001,13696743,	13691168,13696810,	0	APLN	cmpl	cmpl	1,0,
76	NM_001255973	chr13	+	3708231	3926392	3730142	3922892	10	3708231,3709669,3728899,3730113,3846342,3853433,3892293,3900144,3921396,3922585,	3708380,3709788,3728988,3730169,3846432,3853554,3892371,3900233,3921500,3926392,	0	SLX4IP	cmpl	cmpl	-1,-1,-1,0,0,0,1,1,0,2,
75	NM_001163694	chr1	+	2749167	2768577	2767402	2768059	2	2749167,2767343,	2749499,2768577,	0	C1H21orf62	cmpl	cmpl	-1,0,
606	NM_001075689	chr1	+	2786811	2819637	2786811	2817780	18	2786811,2788708,2793218,2794939,2796034,2796693,2797424,2801205,2804787,2804973,2806978,2808262,2809066,2809927,2810376,2814470,2816247,2817662,	2787169,2788837,2793395,2795161,2796138,2796911,2797614,2801329,2804887,2805089,2807178,2808407,2809188,2810004,2810443,2814617,2816402,2819637,	0	PAXBP1	cmpl	cmpl	0,1,1,1,1,0,2,0,1,2,1,0,1,0,2,0,0,2,
75	NM_174468	chr1	+	2828979	2915876	2828979	2912993	31	2828979,2853519,2855466,2859195,2860127,2864310,2866669,2868267,2869168,2872013,2874673,2877079,2881165,2883407,2886524,2887687,2888117,2889419,2890164,2890381,2893559,2895752,2899670,2901028,2901733,2904891,2905062,2908340,2908712,2912972,2915798,	2829103,2853606,2855734,2859421,2860211,2864372,2866766,2868437,2869250,2872166,2874830,2877103,2881357,2883492,2886665,2887880,2888276,2889576,2890282,2890597,2893638,2895915,2899880,2901172,2901772,2904930,2905133,2908449,2908945,2912996,2915876,	0	SYNJ1	cmpl	cmpl	0,1,1,2,0,0,2,0,2,0,0,1,1,1,2,2,0,0,1,2,2,0,1,1,1,1,1,0,1,0,-1,
607	NM_001046407	chr1	+	2924655	2936283	2924883	2936088	7	2924655,2927299,2929166,2932471,2933937,2935592,2935977,	2925022,2927467,2929234,2932630,2934069,2935688,2936283,	0	CFAP298	cmpl	cmpl	0,1,1,0,0,0,0,
75	NM_001199027	chr1	-	2978427	3080424	2979062	3080424	8	2978427,2990396,2992197,3003142,3016645,3027073,3030358,3080264,	2979439,2990486,2992278,3003286,3016798,3027197,3030555,3080424,	0	EVA1C	cmpl	cmpl	1,1,1,1,1,0,1,0,
9	NM_001205980	chr1	+	3103262	3180340	3103262	3179757	39	3103262,3105663,3106739,3107794,3114050,3116492,3118145,3121269,3125424,3127386,3130266,3131143,3131963,3133438,3135399,3136986,3137787,3138712,3140073,3142086,3143205,3144793,3146506,3147365,3150816,3152404,3156893,3157483,3159693,3160251,3168910,3169509,3171449,3172304,3173545,3175523,3177178,3177825,3179575,	3103404,3105803,3106891,3107927,3114147,3116578,3118271,3121394,3125620,3127524,3130440,3131273,3132080,3133551,3135519,3137103,3137926,3138883,3140267,3142329,3143385,3145652,3146708,3147549,3150875,3152598,3157004,3157547,3159865,3160354,3169071,3169621,3171556,3172448,3173655,3175721,3177420,3178398,3180340,	0	URB1	cmpl	cmpl	0,1,0,2,0,1,0,0,2,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,2,1,1,2,0,1,0,1,0,0,2,2,1,1,
1087	NR_031184	chr21	+	65922463	65922543	65922543	65922543	1	65922463,	65922543,	0	MIR543	unk	unk	-1,
620	NM_001080740	chr1	+	4673634	4674516	4673656	4674136	1	4673634,	4674516,	0	KRTAP11-1	cmpl	cmpl	0,
627	NM_001080350	chr1	+	5510179	5511025	5510197	5510692	1	5510179,	5511025,	0	KRTAP13-1	cmpl	cmpl	0,
629	NM_001098096	chr1	+	5770224	5772220	5770311	5770989	1	5770224,	5772220,	0	CLDN8	cmpl	cmpl	0,
9	NM_001102514	chr1	+	6112135	6577796	6112446	6577492	16	6112135,6408320,6412965,6427270,6450282,6453405,6467544,6510919,6518831,6522426,6523590,6529607,6534559,6551137,6558674,6577336,	6112564,6408488,6413223,6427452,6450336,6453579,6467688,6511027,6518945,6522630,6523814,6529726,6534777,6551363,6558925,6577796,	0	GRIK1	cmpl	cmpl	0,1,1,1,0,0,0,0,0,0,0,2,1,0,1,0,
754	NM_001034761	chr10	+	22229576	22251343	22229641	22241252	3	22229576,22241121,22251100,	22229852,22241296,22251343,	0	DAD1	cmpl	cmpl	0,1,-1,
127	NM_001034759	chr3	+	57145263	57189005	57145554	57188275	5	57145263,57153455,57171588,57185412,57188143,	57145629,57153623,57171652,57185462,57189005,	0	SELENOF	cmpl	cmpl	0,0,0,1,0,
966	NM_001076275	chr11	-	49941277	50018731	49941641	50018641	7	49941277,49946051,49948322,49951765,49966878,49973259,50018625,	49941903,49946334,49948497,49951867,49967018,49973427,50018731,	0	KCMF1	cmpl	cmpl	2,1,0,0,1,1,0,
79	NM_001192509	chr1	+	7183912	7240822	7183912	7240373	30	7183912,7189373,7190175,7191303,7193836,7194655,7199627,7200746,7201980,7202952,7204447,7207063,7207920,7208775,7209726,7210331,7212125,7213237,7216915,7221271,7221597,7222644,7223354,7224146,7230181,7234669,7235933,7237680,7239240,7240310,	7183954,7189577,7190274,7191534,7193889,7194836,7199801,7200937,7202116,7203762,7204489,7207253,7208160,7208929,7209871,7210518,7212285,7213342,7217058,7221407,7221742,7222858,7223592,7224221,7230368,7234841,7236154,7237875,7239408,7240822,	0	LTN1	cmpl	cmpl	0,0,0,0,0,2,0,0,2,0,0,0,1,1,2,0,1,2,2,1,2,0,1,2,2,0,1,0,0,0,
640	NM_001083513	chr1	-	7267111	7280839	7267902	7280832	6	7267111,7269089,7272920,7276636,7277452,7280698,	7268009,7269231,7273004,7276727,7277539,7280839,	0	N6AMT1	cmpl	cmpl	1,0,0,2,2,0,
657	NM_001166515	chr1	+	9441707	9491324	9441707	9491324	8	9441707,9455337,9467861,9477849,9479954,9480712,9483036,9490756,	9442823,9455470,9468029,9478133,9480138,9480888,9483212,9491324,	0	ADAMTS5	cmpl	cmpl	0,0,1,1,0,1,0,2,
658	NM_001101080	chr1	+	9583734	9592418	9584188	9591540	9	9583734,9586557,9587416,9587935,9588544,9589054,9589330,9590494,9590840,	9584927,9586904,9587549,9588103,9588831,9589241,9589506,9590670,9592418,	0	ADAMTS1	cmpl	cmpl	0,1,0,1,1,0,1,0,2,
82	NM_001078105	chr1	+	9869542	9984685	9876015	9983177	3	9869542,9875967,9983052,	9869935,9876070,9984685,	0	CYYR1	cmpl	cmpl	-1,0,1,
10	NM_001076796	chr1	+	10231784	10543975	10231920	10543106	16	10231784,10300389,10326794,10360227,10362749,10400540,10434728,10444443,10445908,10469110,10473330,10512126,10520948,10527697,10531004,10543004,	10231977,10300557,10326924,10360340,10362943,10400743,10434862,10444518,10446067,10469239,10473430,10512348,10521002,10527798,10531151,10543975,	0	APP	cmpl	cmpl	0,0,0,1,0,2,1,0,0,0,0,1,1,1,0,0,
666	NM_001075437	chr1	-	10656631	10691694	10656782	10683600	10	10656631,10661550,10665231,10666283,10670503,10672567,10674952,10679475,10683523,10691606,	10657011,10661743,10665372,10666337,10670698,10672813,10675037,10679620,10683626,10691694,	0	GABPA	cmpl	cmpl	2,1,1,1,1,1,0,2,0,-1,
1310	NM_174620	chr9	-	95047826	95055238	95048193	95055216	5	95047826,95048550,95048990,95052538,95055189,	95048264,95048628,95049114,95052580,95055238,	0	DYNLT1	cmpl	cmpl	1,1,0,0,0,
83	NM_001083736	chr1	-	10704997	10787558	10705657	10787304	10	10704997,10707581,10714080,10715891,10718664,10721048,10726266,10727475,10733840,10787237,	10705690,10707624,10714096,10715999,10718764,10721251,10726419,10727583,10733906,10787558,	0	JAM2	cmpl	cmpl	0,2,1,1,0,1,1,1,1,0,
667	NM_001080730	chr1	+	10823336	10839082	10823351	10839027	10	10823336,10824184,10826169,10827999,10829490,10832351,10833736,10834720,10836799,10838979,	10823415,10824391,10826309,10828099,10829558,10832464,10833802,10834874,10836847,10839082,	0	MRPL39	cmpl	cmpl	0,1,1,0,1,0,2,2,0,0,
97	NM_174310	chr6	+	25667218	25705749	25667231	25704778	7	25667218,25690850,25696634,25699523,25700265,25702463,25704663,	25667249,25690957,25696730,25699587,25700380,25702602,25705749,	0	EIF4E	cmpl	cmpl	0,0,2,2,0,1,2,
727	NM_001101228	chr1	-	18712586	18736860	18713899	18736486	6	18712586,18717117,18719270,18725043,18725345,18736407,	18713984,18717220,18719357,18725201,18725655,18736860,	0	CHODL	cmpl	cmpl	2,1,1,2,1,0,
731	NM_001037617	chr1	+	19227893	19256713	19228924	19256541	5	19227893,19228917,19253132,19254886,19256374,	19227979,19229051,19253669,19254949,19256713,	0	C1H21orf91	cmpl	cmpl	-1,0,1,1,1,
733	NM_001034722	chr1	+	19418206	19437164	19421766	19436742	5	19418206,19421760,19426373,19431422,19436502,	19418330,19421939,19426511,19431630,19437164,	0	BTG3	cmpl	cmpl	-1,0,2,2,0,
1141	NR_030888	chr17	+	72976117	72976175	72976175	72976175	1	72976117,	72976175,	0	MIR1306	unk	unk	-1,
740	NR_031383	chr1	-	20434616	20434700	20434700	20434700	1	20434616,	20434700,	0	MIRLET7C	unk	unk	-1,
1088	NR_031065	chr21	+	65954034	65954124	65954124	65954124	1	65954034,	65954124,	0	MIR412	unk	unk	-1,
94	NM_001035404	chr1	+	22617488	22675629	22617570	22675032	8	22617488,22643357,22648048,22652571,22655360,22660557,22663324,22674847,	22617627,22643429,22648198,22652701,22655512,22660761,22663475,22675629,	0	SAMSN1	cmpl	cmpl	0,0,0,0,1,0,0,1,
758	NM_001038505	chr1	+	22783918	22794032	22783951	22793412	5	22783918,22786490,22789569,22791638,22792744,	22783976,22786831,22789783,22791806,22794032,	0	HSPA13	cmpl	cmpl	0,1,0,1,1,
760	NM_001040567	chr1	-	22948040	22966832	22949277	22966805	5	22948040,22952500,22960607,22962011,22966709,	22949589,22952597,22960680,22962174,22966832,	0	RBM11	cmpl	cmpl	0,2,1,0,0,
760	NM_001105006	chr1	+	22966712	22989866	22966960	22989571	2	22966712,22989113,	22966991,22989866,	0	LIPI	cmpl	cmpl	0,1,
12	NM_001192888	chr1	-	26116519	27253380	26118196	27253329	31	26116519,26119441,26125640,26135466,26138976,26149377,26152545,26155500,26157756,26160643,26167939,26169397,26173529,26177792,26181314,26182387,26183476,26189576,26189826,26190163,26191741,26204864,26207385,26211500,26235717,26238289,26238928,26265354,26493566,26706098,27253241,	26118211,26119635,26125949,26135619,26139383,26149626,26152690,26155608,26158092,26160798,26167982,26169424,26173727,26177964,26181436,26182619,26183598,26189743,26189995,26190245,26191947,26205036,26207510,26211509,26235845,26238428,26239049,26265512,26493893,26706182,27253380,	0	ROBO1	cmpl	cmpl	0,1,1,1,2,2,1,1,1,2,1,1,1,0,1,0,1,2,1,0,1,0,1,1,2,1,0,1,1,1,0,
12	NM_001122729	chr1	-	29107840	29418737	29107840	29418737	16	29107840,29116080,29137943,29139706,29189315,29194989,29202780,29207138,29211557,29258390,29263103,29265291,29266497,29309771,29352708,29418585,	29107897,29116198,29138074,29139891,29189487,29195100,29202879,29207266,29211673,29258600,29263194,29265427,29266623,29309887,29352878,29418737,	0	GBE1	cmpl	cmpl	0,2,0,1,0,0,0,1,2,2,1,0,0,1,2,0,
930	NM_001046618	chr29	-	45327249	45329408	45327487	45329344	2	45327249,45329341,	45328093,45329408,	0	PTPRCAP	cmpl	cmpl	0,0,
1340	NM_001038180	chr11	+	99035482	99058375	99036575	99058258	17	99035482,99036374,99037955,99039224,99043670,99044719,99045606,99046278,99050048,99051167,99051372,99052108,99052810,99054292,99056712,99056982,99058036,	99035575,99036607,99038046,99039350,99043841,99044880,99045736,99046410,99050120,99051239,99051489,99052294,99052920,99054428,99056823,99057087,99058375,	0	ODF2	cmpl	cmpl	-1,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,
855	NM_174579	chr1	-	35417573	35435629	35419882	35435540	6	35417573,35421132,35421942,35424561,35431848,35435398,	35420093,35421193,35422107,35424786,35431920,35435629,	0	POU1F1	cmpl	cmpl	2,1,1,1,1,0,
859	NM_001206605	chr1	+	36006379	36007572	36006379	36007480	1	36006379,	36007572,	0	HTR1F	cmpl	cmpl	0,
860	NM_001191137	chr1	-	36058725	36063724	36060332	36060836	3	36058725,36062734,36063524,	36060855,36062939,36063724,	0	CGGBP1	cmpl	cmpl	0,-1,-1,
108	NM_001206113	chr1	+	37110683	37519280	37110760	37519280	17	37110683,37134350,37232341,37380661,37381500,37439196,37442134,37453549,37454351,37460870,37467310,37476740,37478599,37495801,37497481,37512708,37519174,	37110848,37134415,37233002,37380817,37381836,37439321,37442297,37453652,37454419,37460996,37467496,37476802,37478809,37495951,37497675,37512864,37519280,	0	EPHA3	cmpl	cmpl	0,1,0,1,1,1,0,1,2,1,1,1,0,0,0,2,2,
597	NM_174244	chr1	+	1643679	1651038	1643709	1650970	7	1643679,1645081,1646078,1648342,1649154,1650492,1650856,	1643745,1645132,1646189,1648472,1649267,1650579,1651038,	0	ATP5PO	cmpl	cmpl	0,0,0,0,1,0,0,
15	NM_174243	chr15	-	54480119	54552707	54480711	54552614	16	54480119,54482146,54482992,54485243,54486490,54487727,54488813,54489312,54490457,54493728,54494608,54495971,54496887,54500216,54502073,54552594,	54480823,54482198,54483063,54485267,54486574,54487865,54488886,54489397,54490593,54493796,54494668,54496168,54496932,54500277,54502104,54552707,	0	ARRB1	cmpl	cmpl	2,1,2,2,2,2,1,0,2,0,0,1,1,0,2,0,
877	NM_001075672	chr1	-	38315767	38331093	38315806	38316685	3	38315767,38330787,38331042,	38316698,38330848,38331093,	0	STX19	cmpl	cmpl	0,-1,-1,
761	NM_001076343	chr3	+	23075086	23100481	23075253	23100037	6	23075086,23084788,23088186,23089965,23094335,23099904,	23075328,23084898,23088347,23090112,23094465,23100481,	0	SEC22B	cmpl	cmpl	0,0,2,1,1,2,
905	NM_001075782	chr1	+	42010598	42049951	42014148	42047285	8	42010598,42014121,42026199,42027454,42030988,42038188,42042154,42047259,	42010995,42014271,42026261,42027523,42031083,42038318,42042210,42049951,	0	ARL6	cmpl	cmpl	-1,0,0,2,2,1,2,1,
113	NM_001034640	chr20	-	42209777	42354759	42209830	42270695	12	42209777,42215981,42216364,42217542,42220970,42227770,42230188,42233925,42237019,42240536,42270467,42354675,	42210321,42216233,42216482,42217664,42221107,42228024,42230376,42234093,42237139,42240831,42270824,42354759,	0	CDH6	cmpl	cmpl	1,1,0,1,2,0,1,1,1,0,0,-1,
907	NM_001192519	chr1	-	42241398	42286990	42241398	42286990	9	42241398,42247679,42257026,42261759,42262948,42267185,42269458,42277918,42286865,	42241701,42247876,42257179,42261900,42263031,42267409,42269526,42278031,42286990,	0	GABRR3	cmpl	cmpl	0,1,1,1,2,0,1,2,0,
911	NM_001206357	chr1	-	42822727	42830070	42823905	42828545	6	42822727,42824246,42825764,42828253,42828791,42829965,	42824126,42824384,42825875,42828563,42828842,42830070,	0	CLDND1	cmpl	cmpl	1,1,1,0,-1,-1,
912	NM_001192393	chr1	-	42888155	42901415	42888790	42901291	7	42888155,42889802,42893738,42896344,42897091,42898309,42900750,	42888878,42889907,42893957,42896486,42897202,42898453,42901415,	0	CPOX	cmpl	cmpl	2,2,2,1,1,1,0,
1302	NM_001015567	chr5	-	94018313	94039904	94019982	94039624	10	94018313,94020746,94021198,94023323,94027032,94027733,94030004,94030888,94038648,94039512,	94020044,94020812,94021348,94023460,94027170,94027830,94030077,94030970,94038784,94039904,	0	STRAP	cmpl	cmpl	1,1,1,2,2,1,0,2,1,0,
114	NM_001205911	chr1	-	43112083	43194797	43113299	43194774	16	43112083,43114429,43116614,43120522,43127915,43128186,43129090,43131665,43133176,43134787,43136450,43136878,43139237,43153441,43171695,43194557,	43113769,43114567,43116664,43120616,43128041,43128273,43129241,43131790,43133392,43134828,43136584,43136951,43139289,43153579,43171923,43194797,	0	DCBLD2	cmpl	cmpl	1,1,2,1,1,1,0,1,1,2,0,2,1,1,1,0,
14	NM_001101176	chr1	+	43902263	44073697	44065985	44070991	4	43902263,44011581,44065982,44069081,	43902308,44011697,44066313,44073697,	0	COL8A1	cmpl	cmpl	-1,-1,0,1,
115	NM_001038215	chr1	+	44085961	44481330	44086073	44481122	10	44085961,44441780,44458469,44461144,44466402,44467415,44470815,44471308,44479503,44481038,	44086137,44441869,44458541,44461274,44466462,44467518,44470876,44471396,44479592,44481330,	0	CMSS1	cmpl	cmpl	0,1,0,0,1,1,2,0,1,0,
906	NM_001038122	chr13	+	42104950	42108979	42105260	42108859	3	42104950,42106561,42108790,	42105461,42106672,42108979,	0	MGC133636	cmpl	cmpl	0,0,0,
967	NM_001040484	chr19	-	50172091	50173713	50172471	50173626	1	50172091,	50173713,	0	UTS2R	cmpl	cmpl	0,
925	NM_001075328	chr1	-	44650781	44687949	44651050	44687874	12	44650781,44656929,44657655,44662631,44663606,44664890,44667506,44670637,44671637,44673365,44675929,44687547,	44651204,44657052,44657753,44662748,44663714,44665025,44667714,44670786,44671747,44673492,44676103,44687949,	0	TOMM70	cmpl	cmpl	2,2,0,0,0,0,2,0,1,0,0,0,
115	NM_001205535	chr1	+	44688565	44729118	44714851	44728109	5	44688565,44695932,44714812,44723667,44727959,	44688881,44695996,44715010,44723898,44729118,	0	LNP1	cmpl	cmpl	-1,-1,0,0,0,
115	NM_001105624	chr1	+	44803048	44847774	44803050	44847462	5	44803048,44803943,44805902,44820431,44847368,	44803240,44804156,44806087,44820577,44847774,	0	LOC529036	cmpl	cmpl	0,1,1,0,2,
115	NM_001075405	chr1	+	44948305	45061339	45033537	45061014	6	44948305,45033535,45034997,45037034,45047413,45060920,	44948599,45033727,45035210,45037219,45047559,45061339,	0	TMEM45A	cmpl	cmpl	-1,0,1,1,0,2,
14	NM_001083702	chr1	+	45082064	45145327	45082290	45144874	16	45082064,45102195,45103655,45107416,45110510,45111958,45116574,45116828,45120305,45121019,45124298,45129529,45130858,45135010,45137231,45144625,	45082405,45102309,45103760,45107529,45110660,45112062,45116714,45116936,45120469,45121175,45124411,45129876,45130955,45135166,45137388,45145327,	0	ADGRG7	cmpl	cmpl	0,1,1,1,0,0,2,1,1,0,0,2,1,2,2,0,
929	NM_001192976	chr1	+	45156042	45188355	45161607	45187923	8	45156042,45161564,45165549,45170032,45174038,45177958,45183905,45187540,	45156313,45161791,45165633,45170179,45174206,45178099,45184004,45188355,	0	TFG	cmpl	cmpl	-1,0,1,1,1,1,1,1,
1112	NM_001101159	chr12	-	69075896	69095857	69077431	69095829	12	69075896,69079083,69079725,69082026,69082810,69084087,69085516,69086730,69091518,69092768,69093605,69095743,	69077517,69079181,69079784,69082192,69082854,69084147,69085615,69086873,69091609,69092837,69093672,69095857,	0	TGDS	cmpl	cmpl	1,2,0,2,0,0,0,1,0,0,2,0,
18	NM_001081743	chrX	-	80409517	80803080	80409517	80803080	8	80409517,80411672,80414667,80415614,80417539,80422505,80523232,80802684,	80409769,80411803,80414719,80415649,80417719,80422529,80523338,80803080,	0	EDA	cmpl	cmpl	0,1,0,1,1,1,0,0,
1380	NM_001040520	chr11	+	104255844	104259161	104255870	104259107	8	104255844,104256550,104257176,104257605,104257943,104258338,104258757,104259002,	104255873,104256671,104257326,104257746,104258023,104258469,104258827,104259161,	0	RPL7A	cmpl	cmpl	0,0,1,1,1,0,2,0,
936	NM_001205556	chr1	-	46028910	46058876	46028948	46058280	11	46028910,46030054,46030353,46032935,46033725,46035382,46038554,46038938,46046906,46047954,46057970,	46029466,46030230,46030512,46033053,46033870,46035628,46038734,46039777,46047138,46048190,46058876,	0	ZBTB11	cmpl	cmpl	1,2,2,1,0,0,0,1,0,1,0,
1241	NM_174346	chr2	+	86046022	86048063	86046066	86047937	4	86046022,86046632,86047717,86047886,	86046069,86046797,86047807,86048063,	0	HSPE1	cmpl	cmpl	0,0,0,0,
936	NM_001192424	chr1	+	46077321	46098614	46077392	46097919	11	46077321,46079636,46080521,46081610,46083455,46084120,46089538,46090589,46091404,46095495,46097214,	46077435,46079779,46080680,46081712,46083569,46084287,46089703,46090714,46092182,46095571,46098614,	0	CEP97	cmpl	cmpl	0,1,0,0,0,0,2,2,1,2,0,
132	NM_001078058	chr20	+	62513846	62580670	62513954	62578912	4	62513846,62529149,62577731,62578798,	62514009,62529246,62577774,62580670,	0	DAP	cmpl	cmpl	0,1,2,0,
944	NM_001078057	chr16	-	47120162	47137137	47121106	47136379	18	47120162,47124077,47129432,47129977,47130324,47130681,47131589,47131842,47132442,47132911,47133413,47133619,47133768,47133938,47135188,47136188,47136488,47136820,	47121149,47124158,47129550,47130029,47130510,47130868,47131687,47131911,47132479,47132958,47133539,47133695,47133850,47134083,47135321,47136379,47136645,47137137,	0	RNF207	cmpl	cmpl	2,2,1,0,0,2,0,0,2,0,0,2,1,0,2,0,-1,-1,
937	NM_174726	chr1	+	46190241	46201252	46190253	46199920	15	46190241,46192716,46193340,46193493,46193694,46193862,46193873,46193876,46195284,46195880,46196213,46196504,46197596,46197835,46199866,	46190542,46192856,46193371,46193597,46193861,46193872,46193875,46194470,46195390,46196027,46196277,46196674,46197707,46198003,46201252,	0	NFKBIZ	cmpl	cmpl	0,1,0,1,0,2,0,2,2,0,0,1,0,0,0,
102	NM_173943	chr20	-	31153851	31240470	31154246	31240416	21	31153851,31156390,31157973,31175546,31178037,31185099,31186844,31188109,31191785,31193210,31194302,31195487,31198616,31199753,31200216,31218387,31221709,31226266,31230662,31234039,31240265,	31154396,31156506,31158092,31175628,31178197,31185279,31187005,31188343,31191981,31193356,31194413,31195649,31198770,31199945,31200350,31218575,31221798,31226354,31230880,31234269,31240470,	0	NNT	cmpl	cmpl	0,1,2,1,0,0,1,1,0,1,1,1,0,0,1,2,0,2,0,1,0,
1	NM_001205923	chr1	-	50258765	50479888	50259001	50479888	18	50258765,50271829,50278964,50281781,50282026,50286197,50300283,50310084,50312198,50331916,50348425,50351399,50354866,50357962,50363846,50386605,50466614,50479720,	50259261,50271949,50279105,50281913,50282124,50286344,50300378,50310450,50312384,50332120,50348557,50351487,50355004,50358084,50364003,50386752,50466865,50479888,	0	CBLB	cmpl	cmpl	1,1,1,1,2,2,0,0,0,0,0,2,2,0,2,2,0,0,
1254	NR_030914	chrX	+	87740077	87740157	87740157	87740157	1	87740077,	87740157,	0	MIR660	unk	unk	-1,
122	NM_001192759	chr1	+	52133127	52425953	52333209	52425452	18	52133127,52136442,52265374,52333200,52338742,52348710,52352562,52367983,52371117,52380158,52394562,52396572,52400111,52408998,52410444,52418552,52420727,52425364,	52133270,52136514,52265448,52333371,52338985,52348909,52352630,52368064,52371192,52380239,52395571,52396711,52400260,52409088,52410504,52418750,52420914,52425953,	0	BBX	cmpl	cmpl	-1,-1,-1,0,0,0,1,0,0,0,0,1,2,1,1,1,1,2,
134	NM_174541	chr6	-	64820534	64960787	64821258	64960779	9	64820534,64835724,64876127,64877292,64882019,64884478,64905558,64958049,64960708,	64821555,64835927,64876280,64877436,64882102,64884699,64905626,64958165,64960787,	0	GABRA2	cmpl	cmpl	0,1,1,1,2,0,1,2,0,
123	NM_001105403	chr1	-	52879905	52953385	52880111	52953279	11	52879905,52881338,52884155,52885532,52886945,52911749,52928354,52934874,52948319,52949162,52953067,	52880290,52881405,52884218,52885664,52887017,52911872,52928423,52934965,52948438,52949325,52953385,	0	IFT57	cmpl	cmpl	1,0,0,0,0,0,0,2,0,2,0,
