Chr_2	CNVR_ID	Start	End	Length	CNVR_ID_2	Start_2	End_2	Length_2	overlap_len
20	CNVR_191	60069895	61363846	1293952	CNVR_191	60069895	61363846	1293952	1293952
20	CNVR_192	68361408	68409410	48003	CNVR_192	68361408	68409410	48003	48003
21	CNVR_193	13309827	13368224	58398	CNVR_193	13309827	13368224	58398	58398
21	CNVR_194	19657415	19845660	188246	CNVR_194	19657415	19845660	188246	188246
21	CNVR_195	29124387	29231528	107142	CNVR_195	29124387	29231528	107142	107142
21	CNVR_197	51794319	51885011	90693	CNVR_197	51794319	51885011	90693	90693
21	CNVR_199	53697731	53800414	102684	CNVR_199	53697731	53800414	102684	102684
1	CNVR_2	16447333	16579388	132056	CNVR_2	16447333	16579388	132056	132056
2	CNVR_20	63565463	63711962	146500	CNVR_20	63565463	63711962	146500	146500
22	CNVR_200	9129405	9424056	294652	CNVR_200	9129405	9424056	294652	294652
22	CNVR_201	33978776	34051582	72807	CNVR_201	33978776	34051582	72807	72807
22	CNVR_202	43350541	43628755	278215	CNVR_202	43350541	43628755	278215	278215
22	CNVR_203	56788186	56829490	41305	CNVR_203	56788186	56829490	41305	41305
23	CNVR_204	104488	1869044	1764557	CNVR_204	104488	1869044	1764557	1764557
23	CNVR_205	24836032	24926760	90729	CNVR_205	24836032	24926760	90729	90729
23	CNVR_209	29169841	29325564	155724	CNVR_209	29169841	29325564	155724	155724
2	CNVR_21	63886842	64449063	562222	CNVR_21	63886842	64449063	562222	562222
23	CNVR_210	31580954	31945721	364768	CNVR_210	31580954	31945721	364768	364768
24	CNVR_211	12952531	13028152	75622	CNVR_211	12952531	13028152	75622	75622
24	CNVR_212	13261223	13301051	39829	CNVR_212	13261223	13301051	39829	39829
24	CNVR_213	17011538	17078030	66493	CNVR_213	17011538	17078030	66493	66493
24	CNVR_214	26069138	29141878	3072741	CNVR_214	26069138	29141878	3072741	3072741
24	CNVR_215	51887107	51918535	31429	CNVR_215	51887107	51918535	31429	31429
24	CNVR_216	59955268	59990135	34868	CNVR_216	59955268	59990135	34868	34868
25	CNVR_217	854830	1769456	914627	CNVR_217	854830	1769456	914627	914627
25	CNVR_218	9559212	9628737	69526	CNVR_218	9559212	9628737	69526	69526
25	CNVR_219	10068745	10097205	28461	CNVR_219	10068745	10097205	28461	28461
2	CNVR_22	66345695	69152024	2806330	CNVR_22	66345695	69152024	2806330	2806330
25	CNVR_220	41452283	41559758	107476	CNVR_220	41452283	41559758	107476	107476
26	CNVR_222	12369234	12462038	92805	CNVR_222	12369234	12462038	92805	92805
26	CNVR_223	21840164	21919481	79318	CNVR_223	21840164	21919481	79318	79318
26	CNVR_224	51578605	51636588	57984	CNVR_224	51578605	51636588	57984	57984
26	CNVR_226	27721560	27804094	82535	CNVR_226	27721560	27804094	82535	82535
26	CNVR_227	51012282	51075438	63157	CNVR_227	51012282	51075438	63157	63157
27	CNVR_228	3300938	3420308	119371	CNVR_228	3300938	3420308	119371	119371
27	CNVR_229	7940961	8009249	68289	CNVR_229	7940961	8009249	68289	68289
2	CNVR_23	73809585	78576254	4766670	CNVR_23	73809585	78576254	4766670	4766670
27	CNVR_230	9173141	13392895	4219755	CNVR_230	9173141	13392895	4219755	4219755
27	CNVR_231	16390789	19160261	2769473	CNVR_231	16390789	19160261	2769473	2769473
27	CNVR_232	20207643	23369775	3162133	CNVR_232	20207643	23369775	3162133	3162133
27	CNVR_233	30049177	30181680	132504	CNVR_233	30049177	30181680	132504	132504
28	CNVR_236	7978983	8156117	177135	CNVR_236	7978983	8156117	177135	177135
28	CNVR_237	9835781	12499570	2663790	CNVR_237	9835781	12499570	2663790	2663790
28	CNVR_238	20251683	24062966	3811284	CNVR_238	20251683	24062966	3811284	3811284
28	CNVR_239	24427749	24461119	33371	CNVR_239	24427749	24461119	33371	33371
2	CNVR_24	80959848	83776119	2816272	CNVR_24	80959848	83776119	2816272	2816272
28	CNVR_240	35979341	36059676	80336	CNVR_240	35979341	36059676	80336	80336
29	CNVR_241	3274342	3343506	69165	CNVR_241	3274342	3343506	69165	69165
29	CNVR_242	12951115	15683108	2731994	CNVR_242	12951115	15683108	2731994	2731994
29	CNVR_244	35969700	35999607	29908	CNVR_244	35969700	35999607	29908	29908
29	CNVR_245	38191227	39215494	1024268	CNVR_245	38191227	39215494	1024268	1024268
29	CNVR_246	46917621	47013097	95477	CNVR_246	46917621	47013097	95477	95477
3	CNVR_26	37054466	41843499	4789034	CNVR_26	37054466	41843499	4789034	4789034
3	CNVR_27	54378060	54909666	531607	CNVR_27	54378060	54909666	531607	531607
3	CNVR_28	67184325	67218474	34150	CNVR_28	67184325	67218474	34150	34150
3	CNVR_29	69349915	74048442	4698528	CNVR_29	69349915	74048442	4698528	4698528
4	CNVR_30	190991	4345432	4154442	CNVR_30	190991	4345432	4154442	4154442
4	CNVR_31	6305048	6505975	200928	CNVR_31	6305048	6505975	200928	200928
4	CNVR_34	22702596	22802072	99477	CNVR_34	22702596	22802072	99477	99477
4	CNVR_35	45400553	45479387	78835	CNVR_35	45400553	45479387	78835	78835
4	CNVR_36	58226979	59276289	1049311	CNVR_36	58226979	59276289	1049311	1049311
4	CNVR_37	59425225	59566132	140908	CNVR_37	59425225	59566132	140908	140908
4	CNVR_38	64864017	64895434	31418	CNVR_38	64864017	64895434	31418	31418
4	CNVR_39	66082279	66576959	494681	CNVR_39	66082279	66576959	494681	494681
4	CNVR_40	71904246	72105046	200801	CNVR_40	71904246	72105046	200801	200801
4	CNVR_41	73207690	73288742	81053	CNVR_41	73207690	73288742	81053	81053
4	CNVR_42	82972946	85232259	2259314	CNVR_42	82972946	85232259	2259314	2259314
4	CNVR_43	105180444	105356030	175587	CNVR_43	105180444	105356030	175587	175587
5	CNVR_45	7680316	9127787	1447472	CNVR_45	7680316	9127787	1447472	1447472
5	CNVR_46	27040938	27114028	73091	CNVR_46	27040938	27114028	73091	73091
5	CNVR_47	37375959	37429685	53727	CNVR_47	37375959	37429685	53727	53727
5	CNVR_48	41337074	41390342	53269	CNVR_48	41337074	41390342	53269	53269
5	CNVR_49	41950245	42010622	60378	CNVR_49	41950245	42010622	60378	60378
5	CNVR_50	50440450	50493964	53515	CNVR_50	50440450	50493964	53515	53515
5	CNVR_51	51397786	55263686	3865901	CNVR_51	51397786	55263686	3865901	3865901
5	CNVR_52	57677072	59904115	2227044	CNVR_52	57677072	59904115	2227044	2227044
5	CNVR_53	89124173	93490294	4366122	CNVR_53	89124173	93490294	4366122	4366122
5	CNVR_54	118198064	118239809	41746	CNVR_54	118198064	118239809	41746	41746
5	CNVR_55	118620070	118650373	30304	CNVR_55	118620070	118650373	30304	30304
5	CNVR_57	118663056	118709855	46800	CNVR_57	118663056	118709855	46800	46800
6	CNVR_58	1078984	1117703	38720	CNVR_58	1078984	1117703	38720	38720
6	CNVR_59	7438139	10711554	3273416	CNVR_59	7438139	10711554	3273416	3273416
1	CNVR_6	38870499	40748287	1877789	CNVR_6	38870499	40748287	1877789	1877789
6	CNVR_60	11131845	11226708	94864	CNVR_60	11131845	11226708	94864	94864
6	CNVR_61	30987252	33522644	2535393	CNVR_61	30987252	33522644	2535393	2535393
6	CNVR_64	36535012	36549240	14229	CNVR_64	36535012	36549240	14229	14229
6	CNVR_65	37819224	37860407	41184	CNVR_65	37819224	37860407	41184	41184
6	CNVR_66	38042337	38046850	4514	CNVR_66	38042337	38046850	4514	4514
6	CNVR_67	47016991	49915071	2898081	CNVR_67	47016991	49915071	2898081	2898081
6	CNVR_68	51987876	52193551	205676	CNVR_68	51987876	52193551	205676	205676
6	CNVR_69	61752222	65774333	4022112	CNVR_69	61752222	65774333	4022112	4022112
1	CNVR_7	46710991	49634079	2923089	CNVR_7	46710991	49634079	2923089	2923089
6	CNVR_70	84216982	84480999	264018	CNVR_70	84216982	84480999	264018	264018
6	CNVR_71	89886763	89911008	24246	CNVR_71	89886763	89911008	24246	24246
6	CNVR_72	94886288	95707067	820780	CNVR_72	94886288	95707067	820780	820780
6	CNVR_73	102542717	102646839	104123	CNVR_73	102542717	102646839	104123	104123
7	CNVR_74	310937	374952	64016	CNVR_74	310937	374952	64016	64016
7	CNVR_77	21593442	21869803	276362	CNVR_77	21593442	21869803	276362	276362
7	CNVR_79	27252564	27359209	106646	CNVR_79	27252564	27359209	106646	106646
1	CNVR_8	54843886	54978255	134370	CNVR_8	54843886	54978255	134370	134370
7	CNVR_80	28248391	28329677	81287	CNVR_80	28248391	28329677	81287	81287
7	CNVR_81	31785110	34029486	2244377	CNVR_81	31785110	34029486	2244377	2244377
7	CNVR_83	64069169	64117097	47929	CNVR_83	64069169	64117097	47929	47929
7	CNVR_84	68637147	68783389	146243	CNVR_84	68637147	68783389	146243	146243
7	CNVR_86	83742074	86213365	2471292	CNVR_86	83742074	86213365	2471292	2471292
7	CNVR_87	90825887	90855265	29379	CNVR_87	90825887	90855265	29379	29379
7	CNVR_88	91120492	92627202	1506711	CNVR_88	91120492	92627202	1506711	1506711
1	CNVR_9	62314508	62421587	107080	CNVR_9	62314508	62421587	107080	107080
7	CNVR_90	109921086	110014945	93860	CNVR_90	109921086	110014945	93860	93860
8	CNVR_91	2008965	5147600	3138636	CNVR_91	2008965	5147600	3138636	3138636
8	CNVR_92	17475905	21664588	4188684	CNVR_92	17475905	21664588	4188684	4188684
8	CNVR_93	43348930	43541859	192930	CNVR_93	43348930	43541859	192930	192930
8	CNVR_95	81797959	81852961	55003	CNVR_95	81797959	81852961	55003	55003
8	CNVR_96	91640710	93651820	2011111	CNVR_96	91640710	93651820	2011111	2011111
8	CNVR_97	94169835	94496686	326852	CNVR_97	94169835	94496686	326852	326852
9	CNVR_98	2664478	2860264	195787	CNVR_98	2664478	2860264	195787	195787
