Chr	bin	name	strand	Start	End	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames	ID	i.Start	i.End	Frequent	0	1	3	4	Type	Length	Check_gene
1																CNVR_17	37713094	37781476	14	1	13			Loss	68383	Non_gene
1	109	NM_001076001	+	38360628	38420855	38360648	38419371	6	38360628,38361461,38370191,38379262,38380197,38419100,	38360663,38361571,38370535,38379417,38380319,38420855,	0	NSUN3	cmpl	cmpl	0,0,2,1,0,2,	CNVR_18	38352766	41089334	40		19	20	1	Mixed	2736569	Has_gene
1																CNVR_19	44526250	44542735	1			1		Gain	16486	Non_gene
1																CNVR_20	45423220	45479172	1			1		Gain	55953	Non_gene
1																CNVR_21	47251774	47330215	1		1			Loss	78442	Non_gene
1																CNVR_22	47625141	49090670	6		1	5		Mixed	1465530	Non_gene
1																CNVR_23	49230292	49480638	6		6			Loss	250347	Non_gene
1	1	NM_001205923	-	50258765	50479888	50259001	50479888	18	50258765,50271829,50278964,50281781,50282026,50286197,50300283,50310084,50312198,50331916,50348425,50351399,50354866,50357962,50363846,50386605,50466614,50479720,	50259261,50271949,50279105,50281913,50282124,50286344,50300378,50310450,50312384,50332120,50348557,50351487,50355004,50358084,50364003,50386752,50466865,50479888,	0	CBLB	cmpl	cmpl	1,1,1,1,2,2,0,0,0,0,0,2,2,0,2,2,0,0,	CNVR_24	50353451	50465233	2		1	1		Mixed	111783	Has_gene
1																CNVR_25	51169451	51211635	1		1			Loss	42185	Non_gene
1	1008	NM_001099163	+	55457848	55459351	55457925	55458564	1	55457848,	55459351,	0	PXMP4	cmpl	cmpl	0,	CNVR_26	55216797	55511354	3		1	2		Mixed	294558	Has_gene
1	1125	NM_001075671	-	70789423	70802153	70789523	70802073	8	70789423,70790179,70790727,70799368,70799837,70800805,70801491,70801927,	70789643,70790384,70790813,70799474,70800010,70800945,70801613,70802153,	0	ZDHHC19	cmpl	cmpl	0,2,0,2,0,1,2,0,	CNVR_27	70757424	70955192	1		1			Loss	197769	Has_gene
1	1125	NM_001025333	+	70809659	70827660	70809863	70827423	9	70809659,70810451,70821989,70823117,70823599,70824309,70824702,70826638,70827286,	70809901,70810546,70822081,70823191,70823758,70824421,70824849,70826744,70827660,	0	SLC51A	cmpl	cmpl	0,2,1,0,2,2,0,0,1,	CNVR_27	70757424	70955192	1		1			Loss	197769	Has_gene
1	1125	NM_001105052	-	70824602	70877084	70824723	70857795	10	70824602,70832054,70833120,70834752,70835321,70837774,70839091,70849374,70857678,70876814,	70824860,70832241,70833309,70834895,70835400,70837926,70839208,70849474,70857805,70877084,	0	PCYT1A	cmpl	cmpl	1,0,0,1,0,1,1,0,0,-1,	CNVR_27	70757424	70955192	1		1			Loss	197769	Has_gene
1	1125	NM_001166555	-	70881955	70909460	70882057	70909341	5	70881955,70891546,70900943,70906304,70909198,	70882105,70891610,70901013,70906438,70909460,	0	TCTEX1D2	cmpl	cmpl	0,2,1,2,0,	CNVR_27	70757424	70955192	1		1			Loss	197769	Has_gene
1	1126	NM_001206764	-	70935046	70987415	70935514	70987384	11	70935046,70936982,70937178,70941559,70942334,70943844,70949947,70951851,70960475,70965834,70987311,	70935676,70937062,70937572,70941687,70942425,70943991,70950060,70951917,70960543,70965982,70987415,	0	UBXN7	cmpl	cmpl	0,1,0,1,0,0,1,1,2,1,0,	CNVR_27	70757424	70955192	1		1			Loss	197769	Has_gene
1																CNVR_28	71602911	71651658	1			1		Gain	48748	Non_gene
1																CNVR_29	71931770	71952197	1		1			Loss	20428	Non_gene
1																CNVR_30	76322131	76522594	2		2			Loss	200464	Non_gene
1	18	NM_001191337	-	77389336	77688590	77390416	77688590	14	77389336,77393650,77395329,77397823,77411196,77413776,77415722,77416494,77417801,77420310,77479319,77580367,77581122,77688528,	77390713,77393744,77395474,77397981,77411333,77413859,77415859,77416604,77417917,77420497,77479574,77580500,77581251,77688590,	0	TP63	cmpl	cmpl	0,2,1,2,0,1,2,0,1,0,0,2,2,0,	CNVR_31	77463246	77559630	1		1			Loss	96385	Has_gene
1	151	NM_001195030	+	81984063	82104798	81984276	82104453	2	81984063,82103896,	81984472,82104798,	0	C1H3orf70	cmpl	cmpl	0,1,	CNVR_32	81933912	82007029	8			8		Gain	73118	Has_gene
1																CNVR_33	84321230	84424501	6		6			Loss	103272	Non_gene
1																CNVR_34	84679123	84790848	3		2	1		Mixed	111726	Non_gene
1																CNVR_35	88689962	88904687	2			2		Gain	214726	Non_gene
1	20	NM_001205973	-	93146987	94099859	93147159	93897117	6	93146987,93148797,93152960,93663678,93896624,94099746,	93147982,93149587,93153173,93663831,93897434,94099859,	0	NLGN1	cmpl	cmpl	2,1,1,1,0,-1,	CNVR_36	91304175	93306012	16		14	2		Mixed	2001838	Has_gene
1																CNVR_37	95472704	95571642	2		2			Loss	98939	Non_gene
1	169	NM_001076906	+	101522753	101601155	101529246	101600672	4	101522753,101529238,101587881,101600547,	101522863,101530763,101588048,101601155,	0	BCHE	cmpl	cmpl	-1,0,2,1,	CNVR_38	101366448	106295981	29		12	13	4	Mixed	4929534	Has_gene
1	170	NM_001114189	+	102272281	102388043	102272281	102388043	47	102272281,102273617,102275541,102275954,102276994,102278635,102280425,102281603,102283843,102286154,102286372,102288321,102297136,102300718,102302827,102306539,102308561,102309674,102310651,102311408,102313376,102316641,102317979,102326126,102336385,102338187,102339769,102341519,102341723,102341925,102343518,102345342,102347888,102349894,102351417,102352436,102357275,102358325,102358447,102361731,102364834,102365001,102365660,102368921,102384483,102384991,102387974,	102272399,102273712,102275659,102276064,102277146,102278807,102280525,102281716,102283969,102286286,102286492,102288435,102297221,102300836,102302999,102306656,102308716,102309759,102310708,102311533,102313465,102316691,102318150,102326282,102336589,102338342,102339938,102341616,102341836,102342051,102343647,102345453,102347951,102350011,102351505,102352575,102357409,102358360,102358564,102361880,102364919,102365058,102365785,102369010,102384533,102385159,102388043,	0	SI	cmpl	cmpl	0,1,0,1,0,2,0,1,0,0,0,0,0,1,2,0,0,2,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,1,0,0,2,0,0,2,1,0,0,	CNVR_38	101366448	106295981	29		12	13	4	Mixed	4929534	Has_gene
1	21	NM_001192604	-	105877307	105908063	105877404	105888889	5	105877307,105879493,105882532,105888528,105907921,	105878303,105879565,105882622,105888897,105908063,	0	OTOL1	cmpl	cmpl	1,1,1,0,-1,	CNVR_38	101366448	106295981	29		12	13	4	Mixed	4929534	Has_gene
1	174	NM_001110774	+	106028380	106057300	106055770	106056001	3	106028380,106039522,106055738,	106028487,106039616,106057300,	0	SPTSSB	cmpl	cmpl	-1,-1,0,	CNVR_38	101366448	106295981	29		12	13	4	Mixed	4929534	Has_gene
1	174	NM_001075420	-	106150165	106186579	106151434	106185883	16	106150165,106152004,106153362,106154824,106155672,106161756,106162812,106167161,106167940,106175387,106175891,106177005,106182520,106184610,106185839,106186457,	106151565,106152075,106153469,106154897,106155785,106161902,106162930,106167258,106168019,106175478,106176020,106177086,106182617,106184745,106185895,106186579,	0	NMD3	cmpl	cmpl	1,2,0,2,0,1,0,2,1,0,0,0,2,2,0,-1,	CNVR_38	101366448	106295981	29		12	13	4	Mixed	4929534	Has_gene
1																CNVR_39	114338523	114398474	1		1			Loss	59952	Non_gene
1																CNVR_40	121341406	121398453	1		1			Loss	57048	Non_gene
1	1515	NM_001034436	+	121946371	121974118	121954524	121973196	9	121946371,121954511,121957879,121961269,121962774,121965360,121967766,121970567,121973160,	121946456,121954537,121957921,121961472,121962817,121965581,121967928,121970729,121974118,	0	PLSCR2	cmpl	cmpl	-1,0,1,1,0,1,0,0,0,	CNVR_41	121969114	122536730	3		2	1		Mixed	567617	Has_gene
1	1516	NM_001105506	+	122041886	122092791	122054725	122092751	7	122041886,122054668,122056242,122067149,122078002,122080907,122092652,	122041972,122054818,122056285,122067370,122078164,122081069,122092791,	0	PLSCR1	cmpl	cmpl	-1,0,0,1,0,0,0,	CNVR_41	121969114	122536730	3		2	1		Mixed	567617	Has_gene
1	189	NM_001081732	+	122257890	122300146	122280165	122298084	10	122257890,122280144,122280666,122286941,122290701,122291938,122294680,122296912,122298027,122298341,	122257918,122280172,122280777,122287177,122290744,122292165,122294842,122297071,122298327,122300146,	0	PLSCR4	cmpl	cmpl	-1,0,1,1,0,1,0,0,0,-1,	CNVR_41	121969114	122536730	3		2	1		Mixed	567617	Has_gene
1	189	NM_001101149	+	122349983	122471157	122350334	122469894	20	122349983,122403419,122406877,122420198,122424198,122427402,122428724,122445775,122449108,122451328,122454653,122457664,122460982,122462252,122463304,122466833,122467916,122469181,122469437,122469738,	122350455,122403511,122407014,122420362,122424311,122427466,122428822,122445877,122449234,122451450,122454758,122457790,122461124,122462315,122463418,122466899,122468021,122469328,122469563,122471157,	0	PLOD2	cmpl	cmpl	0,1,0,2,1,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,	CNVR_41	121969114	122536730	3		2	1		Mixed	567617	Has_gene
1																CNVR_42	123876268	124757959	14		4	8	2	Mixed	881692	Non_gene
1	1560	NM_001192337	-	127831476	127902068	127832834	127902068	2	127831476,127901374,	127832962,127902068,	0	SPSB4	cmpl	cmpl	1,0,	CNVR_43	127699890	127841330	1		1			Loss	141441	Has_gene
1																CNVR_44	146384457	146455377	1		1			Loss	70921	Non_gene
1																CNVR_45	155772311	155802431	2			2		Gain	30121	Non_gene
2																CNVR_46	2254298	2303356	5		5			Loss	49059	Non_gene
2	80	NM_001079509	-	7886776	8065304	7886794	7906168	4	7886776,7899719,7906094,8065176,	7887103,7899818,7906168,8065304,	0	GULP1	cmpl	incmpl	0,0,1,-1,	CNVR_47	7492224	8025628	1		1			Loss	533405	Has_gene
2	81	NM_001244204	+	8777090	8874440	8826137	8874421	8	8777090,8826111,8837464,8851286,8854519,8855767,8873233,8874311,	8777221,8826246,8837662,8851331,8854696,8855863,8873413,8874440,	0	TFPI	cmpl	cmpl	-1,0,1,1,1,1,1,1,	CNVR_48	8798194	9454144	24		21	3		Mixed	655951	Has_gene
2	81	NM_001102107	+	8891733	9020443	8970463	9017620	15	8891733,8968850,8969116,8970425,8972815,8975886,8976088,8977574,9002227,9005417,9009157,9009301,9013397,9013772,9017404,	8891931,8968941,8969205,8970517,8972951,8975997,8976201,8977666,9002354,9005571,9009218,9009368,9013616,9013814,9020443,	0	CALCRL	cmpl	cmpl	-1,-1,-1,0,0,1,1,0,2,0,1,2,0,0,0,	CNVR_48	8798194	9454144	24		21	3		Mixed	655951	Has_gene
2																CNVR_49	10072695	13079835	22		12	9	1	Mixed	3007141	Non_gene
2	91	NM_001206719	-	19341270	19468233	19343151	19468223	20	19341270,19359454,19363050,19366451,19371289,19372190,19378597,19380515,19387059,19397580,19405128,19407731,19417589,19418959,19420588,19423660,19423831,19426704,19435194,19467963,	19343273,19359512,19363150,19366541,19371351,19372260,19378710,19380592,19387111,19397708,19405237,19407857,19417670,19419039,19420660,19423735,19423952,19426795,19435284,19468233,	0	AGPS	cmpl	cmpl	1,0,2,2,0,2,0,1,0,1,0,0,0,1,1,1,0,2,2,0,	CNVR_50	19363187	19423385	1		1			Loss	60199	Has_gene
2	96	NM_001101194	+	24637411	24736032	24637476	24735133	18	24637411,24638441,24658050,24673885,24682118,24692952,24695240,24696036,24697728,24709784,24711130,24714219,24714662,24728582,24730672,24733222,24733505,24734934,	24637488,24638489,24658193,24674001,24682258,24693099,24695379,24696130,24697813,24709866,24711289,24714272,24714743,24728723,24730811,24733381,24733596,24736032,	0	SLC25A12	cmpl	cmpl	0,0,0,2,1,0,0,1,2,0,1,1,0,0,0,1,1,2,	CNVR_51	24714894	24857245	2		2			Loss	142352	Has_gene
2	96	NM_001075883	-	24765630	24819496	24766149	24817941	16	24765630,24768120,24770090,24782665,24783714,24784148,24784618,24785660,24786279,24786484,24786868,24797320,24805269,24815557,24817833,24819396,	24766263,24768246,24770231,24782810,24783848,24784262,24784765,24785786,24786379,24786647,24786964,24797436,24805360,24815675,24817950,24819496,	0	DYNC1I2	cmpl	cmpl	0,0,0,2,0,0,0,0,2,1,1,2,1,0,0,-1,	CNVR_51	24714894	24857245	2		2			Loss	142352	Has_gene
2	779	NM_001038535	-	25523849	25556740	25524563	25556575	10	25523849,25526474,25529678,25533113,25534909,25539427,25540221,25540994,25542677,25556512,	25524910,25526585,25529765,25533237,25535042,25539558,25540308,25541198,25542758,25556740,	0	GORASP2	cmpl	cmpl	1,1,1,0,2,0,0,0,0,0,	CNVR_52	25438405	25638543	3	1	2			Loss	200139	Has_gene
2	780	NM_001075756	-	25604282	25643331	25605542	25641621	17	25604282,25607121,25608654,25611086,25612326,25615402,25616644,25618318,25618597,25618761,25620227,25627102,25630272,25631848,25638234,25641539,25643161,	25605716,25607211,25608762,25611236,25612405,25615467,25616761,25618373,25618677,25618877,25620340,25627193,25630515,25632007,25638297,25641684,25643331,	0	GAD1	cmpl	cmpl	0,0,0,0,2,0,0,2,0,1,2,1,1,1,1,0,-1,	CNVR_52	25438405	25638543	3	1	2			Loss	200139	Has_gene
2	786	NR_162380	+	26401529	26401599	26401599	26401599	1	26401529,	26401599,	0	MIR12020	unk	unk	-1,	CNVR_53	26362611	26663654	12		10	2		Mixed	301044	Has_gene
2	787	NM_001099135	+	26534972	26545292	26535286	26545229	7	26534972,26536946,26537420,26538450,26543706,26544754,26545190,	26535395,26537061,26537602,26538533,26543758,26544804,26545292,	0	METTL5	cmpl	cmpl	0,1,2,1,0,1,0,	CNVR_53	26362611	26663654	12		10	2		Mixed	301044	Has_gene
2	787	NM_176665	-	26544086	26552074	26545293	26552063	11	26544086,26545675,26546063,26546505,26547850,26548224,26549073,26549258,26549998,26550260,26551997,	26545379,26545807,26546250,26546646,26547893,26548296,26549174,26549366,26550173,26550364,26552074,	0	SSB	cmpl	cmpl	1,1,0,0,2,2,0,0,2,0,0,	CNVR_53	26362611	26663654	12		10	2		Mixed	301044	Has_gene
2	787	NM_001205507	-	26570153	26589955	26571929	26588823	4	26570153,26583902,26587610,26589742,	26572240,26584055,26588825,26589955,	0	KLHL23	cmpl	cmpl	1,1,0,-1,	CNVR_53	26362611	26663654	12		10	2		Mixed	301044	Has_gene
2	788	NM_001045965	-	26613240	26618722	26613251	26613977	4	26613240,26616771,26617980,26618517,	26614003,26616942,26618014,26618722,	0	PHOSPHO2	cmpl	cmpl	0,-1,-1,-1,	CNVR_53	26362611	26663654	12		10	2		Mixed	301044	Has_gene
2	788	NM_001109807	-	26648090	26689515	26648307	26670884	14	26648090,26649578,26651194,26652665,26653564,26662289,26662522,26668130,26668905,26669979,26670647,26670823,26671207,26689384,	26649415,26649715,26651282,26652833,26653778,26662429,26662552,26668218,26668950,26670087,26670722,26670901,26671245,26689515,	0	PPIG	cmpl	cmpl	2,0,2,2,1,2,2,1,1,1,1,0,-1,-1,	CNVR_53	26362611	26663654	12		10	2		Mixed	301044	Has_gene
2	99	NM_001193132	-	27359658	27712214	27359658	27712214	10	27359658,27362887,27415555,27418965,27438641,27441089,27502717,27593341,27604914,27712044,	27359811,27363044,27415662,27419094,27438734,27441140,27502775,27593472,27605020,27712214,	0	CERS6	cmpl	cmpl	0,2,0,0,0,0,2,0,2,0,	CNVR_54	27366556	28035273	25		1	24		Mixed	668718	Has_gene
2	795	NR_031070	-	27581628	27581703	27581703	27581703	1	27581628,	27581703,	0	MIR2353	unk	unk	-1,	CNVR_54	27366556	28035273	25		1	24		Mixed	668718	Has_gene
2	99	NM_001075826	+	27870192	27963306	27870255	27962702	5	27870192,27937039,27957895,27961192,27962560,	27870442,27937152,27958004,27961334,27963306,	0	STK39	cmpl	cmpl	0,1,0,1,2,	CNVR_54	27366556	28035273	25		1	24		Mixed	668718	Has_gene
2																CNVR_55	29773324	29812959	1		1			Loss	39636	Non_gene
2																CNVR_56	31985603	32553252	1			1		Gain	567650	Non_gene
2																CNVR_57	33138898	33471080	2		1		1	Mixed	332183	Non_gene
2																CNVR_58	34313190	34357095	1		1			Loss	43906	Non_gene
2	13	NM_001038128	-	34473419	34723194	34479954	34723099	27	34473419,34479928,34480795,34483465,34493486,34494324,34500973,34502230,34512548,34513907,34515504,34521496,34573838,34574484,34575188,34578316,34585563,34589144,34593567,34601772,34602829,34612168,34623756,34638641,34653625,34688885,34723054,	34475471,34479967,34480912,34483533,34493609,34494498,34501042,34502482,34512710,34514021,34515666,34521602,34574084,34574618,34575363,34578417,34585710,34589232,34593725,34601862,34602921,34612357,34623917,34638780,34653772,34688967,34723194,	0	SLC4A10	cmpl	cmpl	-1,2,2,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,1,1,2,1,1,0,0,	CNVR_59	34655947	34806950	1		1			Loss	151004	Has_gene
2	107	NM_001035361	+	35855197	36074543	35855476	36073432	14	35855197,35979180,36032909,36037884,36047213,36049276,36060379,36061572,36061748,36065204,36070917,36071963,36073354,36074290,	35855551,35979356,36032968,36037976,36047371,36049356,36060486,36061622,36061842,36065255,36071028,36072044,36073439,36074543,	0	RBMS1	cmpl	cmpl	0,0,2,1,0,2,1,0,2,0,0,0,0,-1,	CNVR_60	35852731	35898373	4		3	1		Mixed	45643	Has_gene
2	863	NM_001001158	+	36454503	36545257	36454503	36544609	35	36454503,36459584,36464790,36468322,36473984,36475597,36478139,36479287,36483517,36484421,36484658,36486885,36488505,36495473,36496473,36500375,36505160,36505586,36506697,36507055,36508015,36510047,36510393,36518671,36519855,36526353,36527954,36529336,36531238,36533713,36535456,36537800,36540688,36542045,36544430,	36454597,36459956,36464961,36468487,36474095,36475738,36478334,36479445,36483628,36484510,36484828,36487085,36488648,36495555,36496542,36500490,36505196,36505762,36506765,36507135,36508155,36510153,36510554,36518801,36520082,36526519,36528122,36529453,36531433,36533940,36535625,36537950,36540811,36542213,36545257,	0	LY75	cmpl	cmpl	0,1,1,1,1,1,1,1,0,0,2,1,0,2,0,0,1,1,0,2,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,	CNVR_61	36438945	36483235	1			1		Gain	44291	Has_gene
2	112	NM_001192624	-	41183415	41378419	41183477	41378419	3	41183415,41367649,41377717,	41184064,41367866,41378419,	0	KCNJ3	cmpl	cmpl	1,0,0,	CNVR_62	40725572	42454257	12		4	6	2	Mixed	1728686	Has_gene
2	1	NM_001076886	-	41675903	42332413	41676134	42259624	13	41675903,41690158,41724240,41738081,41874704,41899826,41917607,41920848,41921692,42056259,42259482,42299354,42332093,	41676275,41690293,41724339,41738221,41874885,41899944,41917778,41921056,41921859,42056428,42259728,42299425,42332413,	0	GALNT13	cmpl	cmpl	0,0,0,1,0,2,2,1,2,1,0,-1,-1,	CNVR_62	40725572	42454257	12		4	6	2	Mixed	1728686	Has_gene
2																CNVR_63	48116316	48169527	1		1			Loss	53212	Non_gene
2	15	NM_001105003	-	52964904	53662312	52965088	53630365	14	52964904,53027896,53108252,53177978,53217172,53253989,53310379,53311738,53513881,53535481,53552106,53571854,53630200,53662249,	52965260,53028002,53108387,53178056,53217271,53254112,53310509,53311837,53513971,53535569,53552168,53571923,53630379,53662312,	0	ARHGAP15	cmpl	cmpl	2,1,1,1,1,1,0,0,0,2,0,0,0,-1,	CNVR_64	53239315	53502146	1		1			Loss	262832	Has_gene
2																CNVR_65	54409482	54537783	2		2			Loss	128302	Non_gene
2																CNVR_66	55604646	56787824	20		13	4	3	Mixed	1183179	Non_gene
2																CNVR_67	57481115	57545373	3		3			Loss	64259	Non_gene
2																CNVR_68	63897151	64043648	31			31		Gain	146498	Non_gene
2																CNVR_69	64242565	64674458	1		1			Loss	431894	Non_gene
2	0	NM_001078070	+	66957139	67756694	66957188	67756184	27	66957139,67134670,67183228,67365284,67371730,67391408,67584780,67584933,67621281,67631700,67639358,67648000,67663758,67673600,67703150,67703659,67707220,67708659,67718272,67718478,67734115,67735254,67750034,67750387,67750554,67754086,67756049,	66957260,67134785,67183324,67365383,67371742,67391486,67584833,67585015,67621402,67631855,67639456,67648124,67663797,67673708,67703242,67703707,67707342,67708707,67718371,67718548,67734310,67735309,67750134,67750446,67750627,67754160,67756694,	0	DPP10	cmpl	cmpl	0,0,1,1,2,0,0,2,0,1,0,2,0,0,0,2,2,1,1,1,2,2,0,1,0,1,0,	CNVR_70	66962526	67055991	1			1		Gain	93466	Has_gene
2	0	NM_001078070	+	66957139	67756694	66957188	67756184	27	66957139,67134670,67183228,67365284,67371730,67391408,67584780,67584933,67621281,67631700,67639358,67648000,67663758,67673600,67703150,67703659,67707220,67708659,67718272,67718478,67734115,67735254,67750034,67750387,67750554,67754086,67756049,	66957260,67134785,67183324,67365383,67371742,67391486,67584833,67585015,67621402,67631855,67639456,67648124,67663797,67673708,67703242,67703707,67707342,67708707,67718371,67718548,67734310,67735309,67750134,67750446,67750627,67754160,67756694,	0	DPP10	cmpl	cmpl	0,0,1,1,2,0,0,2,0,1,0,2,0,0,0,2,2,1,1,1,2,2,0,1,0,1,0,	CNVR_71	67098288	67165879	1		1			Loss	67592	Has_gene
2																CNVR_72	67932103	68799921	14		9	3	2	Mixed	867819	Non_gene
2	1145	NM_001075422	+	73408359	73416299	73408456	73414568	6	73408359,73409652,73411061,73412878,73413624,73414334,	73408522,73409746,73411158,73412994,73413704,73416299,	0	TSN	cmpl	cmpl	0,0,1,2,1,0,	CNVR_73	73412080	73470644	1			1		Gain	58565	Has_gene
2																CNVR_74	77398839	78765282	15		7	6	2	Mixed	1366444	Non_gene
2																CNVR_75	81300918	83656962	17		7	8	2	Mixed	2356045	Non_gene
2																CNVR_76	88066641	88169868	1		1			Loss	103228	Non_gene
2	20	NM_001205807	+	97414228	97562142	97486013	97558493	15	97414228,97414648,97459937,97485990,97508986,97511326,97522926,97526891,97527271,97530237,97535255,97540618,97553155,97557943,97558277,	97414373,97414716,97460014,97486275,97509100,97511404,97526682,97527098,97527406,97530299,97535400,97540959,97553237,97558056,97562142,	0	MAP2	cmpl	cmpl	-1,-1,-1,0,1,1,1,1,1,1,0,1,0,1,0,	CNVR_77	97228461	97443820	1		1			Loss	215360	Has_gene
