name2	Frequency	ID	Chr	CNVR_Start	CNVR_End
GPR18	6	CNVR_469	12	75255512	76140566
IGFALS	6	CNVR_785	25	853665	1791331
LOC100847835	6	CNVR_504	13	78238893	78282460
LOC509513	6	CNVR_174	4	106071501	106142458
MAD1L1	6	CNVR_801	25	41129839	41935313
MIR126	6	CNVR_435	11	103615735	104217085
MIR2465	6	CNVR_312	7	106364930	108575314
MRPS28	6	CNVR_519	14	42508026	43453929
NDOR1	6	CNVR_438	11	105645935	106492915
PRSS2	6	CNVR_174	4	106071501	106142458
SSNA1	6	CNVR_438	11	105645935	106492915
TEPSIN	6	CNVR_668	19	51370101	51767413
TMEM161B	6	CNVR_304	7	87087169	88441282
TPRN	6	CNVR_438	11	105645935	106492915
TRHR	6	CNVR_523	14	53003780	56606239
TUBB4B	6	CNVR_438	11	105645935	106492915
UBAC2	6	CNVR_469	12	75255512	76140566
ZNF322	6	CNVR_762	23	31338261	31726418
ABT1	5	CNVR_762	23	31338261	31726418
ALOX12B	5	CNVR_657	19	27569814	28031919
ALOX15B	5	CNVR_657	19	27569814	28031919
AZGP1	5	CNVR_797	25	36407220	36725047
CARD9	5	CNVR_435	11	103615735	104217085
CLCN7	5	CNVR_785	25	853665	1791331
CNTN6	5	CNVR_742	22	24462555	25479613
CPT1B	5	CNVR_226	5	119772706	119940291
CYP3A4	5	CNVR_797	25	36407220	36725047
EBF1	5	CNVR_299	7	70621019	70822690
EIF3E	5	CNVR_523	14	53003780	56606239
ELFN1	5	CNVR_801	25	41129839	41935313
ENTR1	5	CNVR_435	11	103615735	104217085
GID8	5	CNVR_497	13	54426258	54994600
GJC3	5	CNVR_797	25	36407220	36725047
GRM8	5	CNVR_170	4	91173593	91263201
GUCY2D	5	CNVR_657	19	27569814	28031919
INPP5E	5	CNVR_435	11	103615735	104217085
KCNJ3	5	CNVR_62	2	40725572	42454257
LY6D	5	CNVR_508	14	1514056	2342883
LYNX1	5	CNVR_508	14	1514056	2342883
MANEA	5	CNVR_362	9	54103239	54317953
MGST1	5	CNVR_208	5	91956694	93718582
MIC1	5	CNVR_757	23	27759950	27903991
MIC2	5	CNVR_757	23	27759950	27903991
MRGBP	5	CNVR_497	13	54426258	54994600
MRPL13	5	CNVR_533	14	80908008	82067018
OGFR	5	CNVR_497	13	54426258	54994600
PAQR4	5	CNVR_786	25	2263020	2452460
PMPCA	5	CNVR_435	11	103615735	104217085
REEP3	5	CNVR_840	28	19587121	19643454
RPTOR	5	CNVR_668	19	51370101	51767413
SLC17A9	5	CNVR_497	13	54426258	54994600
TMEM150C	5	CNVR_259	6	96889505	97475077
TMPRSS11BNL	5	CNVR_252	6	78862493	84265468
TMUB1	5	CNVR_178	4	113657341	113819352
TPD52	5	CNVR_519	14	42508026	43453929
TRIM34	5	CNVR_548	15	47873132	47968279
UNC13C	5	CNVR_397	10	55708101	55773163
VAPA	5	CNVR_779	24	41829351	42008450
ABO	4	CNVR_435	11	103615735	104217085
ALX1	4	CNVR_186	5	14894403	14953446
BAIAP2	4	CNVR_668	19	51370101	51767413
C25H16orf91	4	CNVR_785	25	853665	1791331
C8G	4	CNVR_438	11	105645935	106492915
CCAR1	4	CNVR_845	28	25020359	25216073
CCDC124	4	CNVR_272	7	5219142	5303928
CCKBR	4	CNVR_547	15	46651173	46975690
CENPC	4	CNVR_252	6	78862493	84265468
CHKB	4	CNVR_226	5	119772706	119940291
CHMP6	4	CNVR_668	19	51370101	51767413
CHRND	4	CNVR_85	2	120123192	120174934
CNPY3	4	CNVR_755	23	16536674	16649675
COIL	4	CNVR_642	19	7762820	7856040
FAF1	4	CNVR_121	3	95427776	95625202
FAM160A2	4	CNVR_547	15	46651173	46975690
GATA5	4	CNVR_497	13	54426258	54994600
GNMT	4	CNVR_755	23	16536674	16649675
GNPTG	4	CNVR_785	25	853665	1791331
GNRHR	4	CNVR_252	6	78862493	84265468
GPR158	4	CNVR_481	13	25949166	26092531
GPRC5C	4	CNVR_674	19	56930023	57182413
GRIK1	4	CNVR_3	1	6154638	6236417
HS3ST5	4	CNVR_356	9	35516891	36290493
KIRREL3	4	CNVR_863	29	30113625	30212597
LMO3	4	CNVR_208	5	91956694	93718582
MIR1-1	4	CNVR_497	13	54426258	54994600
MIR133A-1	4	CNVR_497	13	54426258	54994600
MIR133C	4	CNVR_497	13	54426258	54994600
MIR2284O	4	CNVR_353	9	25029971	25185694
MIR3065	4	CNVR_668	19	51370101	51767413
MIR338	4	CNVR_668	19	51370101	51767413
MTBP	4	CNVR_533	14	80908008	82067018
NCAPH2	4	CNVR_226	5	119772706	119940291
NMD3	4	CNVR_38	1	101366448	106295981
NOX3	4	CNVR_373	9	92061663	92093186
NTSR1	4	CNVR_497	13	54426258	54994600
ODF3B	4	CNVR_226	5	119772706	119940291
OTOL1	4	CNVR_38	1	101366448	106295981
PTCRA	4	CNVR_755	23	16536674	16649675
PTGDS	4	CNVR_438	11	105645935	106492915
RAB31	4	CNVR_779	24	41829351	42008450
RBMS1	4	CNVR_60	2	35852731	35898373
RELL1	4	CNVR_248	6	56903453	57289074
RSPO2	4	CNVR_523	14	53003780	56606239
SCO2	4	CNVR_226	5	119772706	119940291
SLC39A12	4	CNVR_485	13	32353276	32449211
SLCO4A1	4	CNVR_497	13	54426258	54994600
SLF1	4	CNVR_307	7	93522200	94730969
SPTSSB	4	CNVR_38	1	101366448	106295981
STMN2	4	CNVR_519	14	42508026	43453929
SYCE3	4	CNVR_226	5	119772706	119940291
TMEM204	4	CNVR_785	25	853665	1791331
TSR3	4	CNVR_785	25	853665	1791331
UBA6	4	CNVR_252	6	78862493	84265468
UBE2I	4	CNVR_785	25	853665	1791331
VPS54	4	CNVR_425	11	62308426	62392223
YTHDC1	4	CNVR_252	6	78862493	84265468
ABHD16B	3	CNVR_496	13	53933240	54043428
ADRM1	3	CNVR_497	13	54426258	54994600
AK8	3	CNVR_433	11	102741737	102934734
ARFIP2	3	CNVR_546	15	46539222	46605212
ARHGAP20	3	CNVR_542	15	20590237	20737282
BNIP3	3	CNVR_819	26	50775926	51283520
C11H9orf116	3	CNVR_438	11	105645935	106492915
CACNA2D1	3	CNVR_148	4	38548833	38762924
CDH10	3	CNVR_696	20	45910295	49592680
CLIC3	3	CNVR_438	11	105645935	106492915
CNGA1	3	CNVR_250	6	65626399	66950498
CNTN5	3	CNVR_541	15	9559760	13254952
COL27A1	3	CNVR_340	8	103406058	103460524
COMMD4	3	CNVR_718	21	33460066	33515083
CUX2	3	CNVR_607	17	54777597	54945167
EDF1	3	CNVR_438	11	105645935	106492915
EFNA5	3	CNVR_312	7	106364930	108575314
ELOB	3	CNVR_786	25	2263020	2452460
ENTPD2	3	CNVR_438	11	105645935	106492915
ENY2	3	CNVR_523	14	53003780	56606239
EPHX1	3	CNVR_576	16	28812833	28949332
FAHD1	3	CNVR_785	25	853665	1791331
FAM13A	3	CNVR_239	6	35310546	35956398
FAM78A	3	CNVR_432	11	101452171	101500387
FBXW5	3	CNVR_438	11	105645935	106492915
FUT7	3	CNVR_438	11	105645935	106492915
GFER	3	CNVR_785	25	853665	1791331
GNPNAT1	3	CNVR_381	10	11353904	11484520
GRB2	3	CNVR_673	19	55590126	56208592
GTF3C4	3	CNVR_433	11	102741737	102934734
HAGH	3	CNVR_785	25	853665	1791331
HES7	3	CNVR_657	19	27569814	28031919
HIST1H2BN	3	CNVR_762	23	31338261	31726418
KYAT1	3	CNVR_431	11	98957658	99660620
KYAT3	3	CNVR_106	3	54369910	54956792
LOC786948	3	CNVR_785	25	853665	1791331
LRFN5	3	CNVR_726	21	51577126	51885215
LRRC8A	3	CNVR_431	11	98957658	99660620
LUZP2	3	CNVR_859	29	19957419	20748707
MAMDC4	3	CNVR_438	11	105645935	106492915
MAN2C1	3	CNVR_718	21	33460066	33515083
MAPK8IP2	3	CNVR_226	5	119772706	119940291
MIR12014	3	CNVR_438	11	105645935	106492915
MIR1225	3	CNVR_785	25	853665	1791331
MIR2306	3	CNVR_497	13	54426258	54994600
MIR2361	3	CNVR_700	20	52461469	53957730
MIR455	3	CNVR_340	8	103406058	103460524
MIR631	3	CNVR_718	21	33460066	33515083
MMRN1	3	CNVR_238	6	32449336	34967750
NEIL1	3	CNVR_718	21	33460066	33515083
NIPAL1	3	CNVR_250	6	65626399	66950498
NOL7	3	CNVR_764	23	42992055	43047899
NPDC1	3	CNVR_438	11	105645935	106492915
NTHL1	3	CNVR_785	25	853665	1791331
NUDCD1	3	CNVR_523	14	53003780	56606239
PAXX	3	CNVR_438	11	105645935	106492915
PER1	3	CNVR_657	19	27569814	28031919
PEX6	3	CNVR_755	23	16536674	16649675
PHPT1	3	CNVR_438	11	105645935	106492915
PLPP7	3	CNVR_432	11	101452171	101500387
PLSCR4	3	CNVR_41	1	121969114	122536730
PPP6R3	3	CNVR_872	29	45731002	46099425
PSMC6	3	CNVR_381	10	11353904	11484520
PSMG3	3	CNVR_801	25	41129839	41935313
RAB26	3	CNVR_785	25	853665	1791331
RAD18	3	CNVR_741	22	17654297	17801992
RPL18A	3	CNVR_272	7	5219142	5303928
RPS21	3	CNVR_497	13	54426258	54994600
SCD5	3	CNVR_259	6	96889505	97475077
SI	3	CNVR_38	1	101366448	106295981
SLC16A7	3	CNVR_196	5	52413266	54634733
SLC4A4	3	CNVR_255	6	86476551	86573379
SLC9A3R2	3	CNVR_785	25	853665	1791331
ST6GALNAC2	3	CNVR_672	19	55058143	55191677
STAP1	3	CNVR_252	6	78862493	84265468
STEAP2	3	CNVR_161	4	73270175	74466214
STYX	3	CNVR_381	10	11353904	11484520
SYNGR3	3	CNVR_785	25	853665	1791331
TBL3	3	CNVR_785	25	853665	1791331
TDP1	3	CNVR_407	10	101705094	101774038
TIMM10B	3	CNVR_546	15	46539222	46605212
TLL1	3	CNVR_591	17	1105468	1834224
TMEM184A	3	CNVR_801	25	41129839	41935313
TMEM63A	3	CNVR_576	16	28812833	28949332
TPD52L2	3	CNVR_496	13	53933240	54043428
TPRA1	3	CNVR_750	22	59913886	60143914
TPSB2	3	CNVR_785	25	853665	1791331
TRAF7	3	CNVR_785	25	853665	1791331
TRIM3	3	CNVR_546	15	46539222	46605212
UGP2	3	CNVR_425	11	62308426	62392223
VAMP2	3	CNVR_657	19	27569814	28031919
VSTM2A	3	CNVR_127	4	154509	4045397
ZIC2	3	CNVR_470	12	76710313	76761259
ABCF2	2	CNVR_178	4	113657341	113819352
ACOX1	2	CNVR_673	19	55590126	56208592
ACTN3	2	CNVR_870	29	44546564	44660364
AMTN	2	CNVR_254	6	85838311	86053293
ARID4B	2	CNVR_835	28	8022387	8054607
ASPN	2	CNVR_334	8	84030299	84099596
BRD9	2	CNVR_708	20	71237809	71469650
BTBD17	2	CNVR_674	19	56930023	57182413
BTBD19	2	CNVR_122	3	100880075	101202890
BTN1A1	2	CNVR_762	23	31338261	31726418
C17H4orf45	2	CNVR_605	17	40071626	40111977
C1H3orf70	2	CNVR_32	1	81933912	82007029
C6H4orf17	2	CNVR_235	6	25052272	25129233
C6H4orf19	2	CNVR_248	6	56903453	57289074
CARD11	2	CNVR_800	25	40387302	40565044
CASKIN2	2	CNVR_673	19	55590126	56208592
CAV3	2	CNVR_741	22	17654297	17801992
CAVIN3	2	CNVR_547	15	46651173	46975690
CBLB	2	CNVR_24	1	50353451	50465233
CBLL1	2	CNVR_152	4	48726071	48794553
CCDC183	2	CNVR_438	11	105645935	106492915
CCNY	2	CNVR_477	13	18066756	18175649
CCS	2	CNVR_870	29	44546564	44660364
CD300A	2	CNVR_674	19	56930023	57182413
CDH12	2	CNVR_698	20	50911696	51314617
CDK3	2	CNVR_673	19	55590126	56208592
CENPP	2	CNVR_334	8	84030299	84099596
CPNE7	2	CNVR_620	18	14443875	14675288
CRAT	2	CNVR_431	11	98957658	99660620
CTNNA1	2	CNVR_297	7	50233475	50255419
CTNND1	2	CNVR_563	15	80991339	81054357
CTSF	2	CNVR_870	29	44546564	44660364
DDX50	2	CNVR_845	28	25020359	25216073
DIP2C	2	CNVR_494	13	46502709	46530325
DNASE1L2	2	CNVR_785	25	853665	1791331
DOLK	2	CNVR_431	11	98957658	99660620
DOLPP1	2	CNVR_431	11	98957658	99660620
DPEP1	2	CNVR_620	18	14443875	14675288
DPP10	2	CNVR_70	2	66962526	67055991
DPP7	2	CNVR_438	11	105645935	106492915
DYNC1I2	2	CNVR_51	2	24714894	24857245
E4F1	2	CNVR_785	25	853665	1791331
ECI1	2	CNVR_785	25	853665	1791331
EIF2B3	2	CNVR_122	3	100880075	101202890
ENDOG	2	CNVR_431	11	98957658	99660620
ENDOV	2	CNVR_669	19	51956990	52265051
ENOPH1	2	CNVR_259	6	96889505	97475077
FAM102A	2	CNVR_430	11	98605015	98743962
FAM173A	2	CNVR_784	25	481605	629048
FANCL	2	CNVR_420	11	40875595	40926195
FBF1	2	CNVR_673	19	55590126	56208592
FBXL16	2	CNVR_784	25	481605	629048
FST	2	CNVR_686	20	25463818	25597446
FSTL5	2	CNVR_601	17	36850779	36997737
FYB1	2	CNVR_691	20	35275541	35394285
GABRD	2	CNVR_580	16	50670749	50877651
GALNTL6	2	CNVR_316	8	3959228	4570144
GLE1	2	CNVR_431	11	98957658	99660620
GNG11	2	CNVR_133	4	10876079	11322413
GNGT1	2	CNVR_133	4	10876079	11322413
H3F3B	2	CNVR_673	19	55590126	56208592
HDGFL2	2	CNVR_281	7	19599003	19628725
HECTD3	2	CNVR_122	3	100880075	101202890
HMGN3	2	CNVR_350	9	18769034	18871847
HMGN4	2	CNVR_762	23	31338261	31726418
HNRNPD	2	CNVR_259	6	96889505	97475077
HNRNPDL	2	CNVR_259	6	96889505	97475077
HSD17B4	2	CNVR_293	7	34245239	34473344
HSPA13	2	CNVR_10	1	22478219	24539637
IER5L	2	CNVR_431	11	98957658	99660620
INTS1	2	CNVR_801	25	41129839	41935313
IPO11	2	CNVR_684	20	16892519	16939858
LEFTY2	2	CNVR_576	16	28812833	28949332
LHFPL3	2	CNVR_151	4	45664659	45743508
LHX3	2	CNVR_435	11	103615735	104217085
LLGL2	2	CNVR_673	19	55590126	56208592
LOC516108	2	CNVR_784	25	481605	629048
LRG1	2	CNVR_281	7	19599003	19628725
LRIG3	2	CNVR_196	5	52413266	54634733
LRRCC1	2	CNVR_529	14	77329830	78047789
LUZP1	2	CNVR_87	2	129657387	129732075
MAFK	2	CNVR_801	25	41129839	41935313
MAPK9	2	CNVR_269	7	983878	989660
MCOLN2	2	CNVR_109	3	59109464	59128666
MCRIP2	2	CNVR_784	25	481605	629048
MEF2D	2	CNVR_91	3	14321565	14377936
METRN	2	CNVR_784	25	481605	629048
METTL26	2	CNVR_784	25	481605	629048
MGAT4C	2	CNVR_187	5	15724476	15939304
MICALL2	2	CNVR_801	25	41129839	41935313
MIER3	2	CNVR_685	20	22292215	22462915
MIGA2	2	CNVR_431	11	98957658	99660620
MIR11987	2	CNVR_344	9	6367757	7360299
MIR12015	2	CNVR_708	20	71237809	71469650
MIR12056	2	CNVR_431	11	98957658	99660620
MIR1256	2	CNVR_461	12	56865337	58971260
MIR1842	2	CNVR_785	25	853665	1791331
MIR2285J-1	2	CNVR_591	17	1105468	1834224
MIR2285M-5	2	CNVR_317	8	12440991	14263017
MIR2316	2	CNVR_547	15	46651173	46975690
MIR2382	2	CNVR_785	25	853665	1791331
MIR2890	2	CNVR_798	25	39273234	39468067
MLST8	2	CNVR_785	25	853665	1791331
MRPL38	2	CNVR_673	19	55590126	56208592
MRPS2	2	CNVR_438	11	105645935	106492915
MTTP	2	CNVR_235	6	25052272	25129233
NCR1	2	CNVR_637	18	62320983	62581767
NFXL1	2	CNVR_250	6	65626399	66950498
NPTX1	2	CNVR_669	19	51956990	52265051
NR1H2	2	CNVR_631	18	56521734	56592023
NSUN3	2	CNVR_18	1	38352766	41089334
NUP188	2	CNVR_431	11	98957658	99660620
ODF2	2	CNVR_431	11	98957658	99660620
OSBPL2	2	CNVR_497	13	54426258	54994600
OXTR	2	CNVR_741	22	17654297	17801992
PCDH10	2	CNVR_595	17	22127045	25405683
PDE8A	2	CNVR_713	21	22593187	22668633
PGM2	2	CNVR_248	6	56903453	57289074
PGP	2	CNVR_785	25	853665	1791331
PHYHD1	2	CNVR_431	11	98957658	99660620
PJA2	2	CNVR_312	7	106364930	108575314
PKIA	2	CNVR_518	14	41052765	41779482
PKN3	2	CNVR_431	11	98957658	99660620
PLIN5	2	CNVR_281	7	19599003	19628725
PLOD2	2	CNVR_41	1	121969114	122536730
PLSCR1	2	CNVR_41	1	121969114	122536730
POLD1	2	CNVR_631	18	56521734	56592023
PRR14	2	CNVR_793	25	26685517	26867622
PTPA	2	CNVR_431	11	98957658	99660620
PXMP4	2	CNVR_26	1	55216797	55511354
RAB40C	2	CNVR_784	25	481605	629048
RABL6	2	CNVR_438	11	105645935	106492915
RASGRP4	2	CNVR_627	18	48200818	48217729
RBIS	2	CNVR_529	14	77329830	78047789
RBM14	2	CNVR_870	29	44546564	44660364
RCAN1	2	CNVR_1	1	835371	1363932
RERGL	2	CNVR_208	5	91956694	93718582
RHOT2	2	CNVR_784	25	481605	629048
RICTOR	2	CNVR_691	20	35275541	35394285
ROBO1	2	CNVR_12	1	26131118	26638048
RPL13	2	CNVR_620	18	14443875	14675288
RSU1	2	CNVR_484	13	31136924	31199165
S100A3	2	CNVR_92	3	16821631	16881296
S100A4	2	CNVR_92	3	16821631	16881296
S100A5	2	CNVR_92	3	16821631	16881296
SEMA3D	2	CNVR_146	4	35335600	35483173
SET	2	CNVR_431	11	98957658	99660620
SH2B3	2	CNVR_608	17	55118382	55314133
SH3GLB2	2	CNVR_431	11	98957658	99660620
SLC15A1	2	CNVR_469	12	75255512	76140566
SLC22A23	2	CNVR_768	23	50362620	50401022
SLC22A6	2	CNVR_867	29	41264801	41329056
SLC22A8	2	CNVR_867	29	41264801	41329056
SLC25A12	2	CNVR_51	2	24714894	24857245
SLC25A19	2	CNVR_673	19	55590126	56208592
SLC26A3	2	CNVR_152	4	48726071	48794553
SMPD1	2	CNVR_547	15	46651173	46975690
SORCS3	2	CNVR_811	26	25691560	25746952
SPG7	2	CNVR_620	18	14443875	14675288
SPIB	2	CNVR_631	18	56521734	56592023
SPTAN1	2	CNVR_431	11	98957658	99660620
STOX1	2	CNVR_845	28	25020359	25216073
STUB1	2	CNVR_784	25	481605	629048
TBC1D1	2	CNVR_248	6	56903453	57289074
TBC1D13	2	CNVR_431	11	98957658	99660620
TFPI2	2	CNVR_133	4	10876079	11322413
TIMM29	2	CNVR_278	7	15340773	15408372
TMEM141	2	CNVR_438	11	105645935	106492915
TMEM265	2	CNVR_793	25	26685517	26867622
TRIM47	2	CNVR_673	19	55590126	56208592
TRIM68	2	CNVR_551	15	50409037	50444721
TRMT10A	2	CNVR_235	6	25052272	25129233
TSEN54	2	CNVR_673	19	55590126	56208592
TSNARE1	2	CNVR_508	14	1514056	2342883
TSPAN12	2	CNVR_166	4	84080999	85384769
TTC13	2	CNVR_834	28	3637555	3648435
TTYH2	2	CNVR_674	19	56930023	57182413
TUBGCP2	2	CNVR_811	26	25691560	25746952
TUSC3	2	CNVR_825	27	21351101	21738070
TXK	2	CNVR_250	6	65626399	66950498
UBQLN3	2	CNVR_549	15	48022950	48173151
UNC13D	2	CNVR_673	19	55590126	56208592
UNK	2	CNVR_673	19	55590126	56208592
USP6NL	2	CNVR_476	13	12543348	12808180
WBP2	2	CNVR_673	19	55590126	56208592
WDR24	2	CNVR_784	25	481605	629048
WDR34	2	CNVR_431	11	98957658	99660620
WFIKKN1	2	CNVR_784	25	481605	629048
YIPF2	2	CNVR_278	7	15340773	15408372
ZDHHC24	2	CNVR_870	29	44546564	44660364
ZER1	2	CNVR_431	11	98957658	99660620
ZKSCAN8	2	CNVR_760	23	30383571	30574212
ZNF226	2	CNVR_628	18	52087186	52191136
ZNF227	2	CNVR_628	18	52087186	52191136
ZNF45	2	CNVR_628	18	52087186	52191136
ZNF688	2	CNVR_793	25	26685517	26867622
ZNF689	2	CNVR_793	25	26685517	26867622
ZSCAN16	2	CNVR_760	23	30383571	30574212
ABAT	1	CNVR_787	25	7515881	7578293
ABCB6	1	CNVR_80	2	106984473	107192324
ABCF1	1	CNVR_758	23	28341860	28413350
ABHD4	1	CNVR_388	10	22208708	22252878
ABRAXAS2	1	CNVR_817	26	44398093	44515661
ACLY	1	CNVR_662	19	42064863	42089455
ACSL3	1	CNVR_82	2	111090957	111229939
ADAM22	1	CNVR_160	4	72297257	72505313
ADAP1	1	CNVR_801	25	41129839	41935313
ADGRL2	1	CNVR_110	3	62483581	62926812
ADGRL4	1	CNVR_111	3	63473782	66001121
ADM2	1	CNVR_226	5	119772706	119940291
ADORA3	1	CNVR_97	3	31748152	31851977
AGA	1	CNVR_821	27	8503527	10804209
AGPS	1	CNVR_50	2	19363187	19423385
AIPL1	1	CNVR_656	19	25426630	25477852
AKAP7	1	CNVR_367	9	69270119	69290334
AKR1B1	1	CNVR_173	4	97903366	98129316
AKT3	1	CNVR_578	16	33515802	33613674
ALAS1	1	CNVR_746	22	48449810	48866871
ALOX5	1	CNVR_851	28	44291071	44474997
AMDHD1	1	CNVR_201	5	60090401	60293911
AMY2B	1	CNVR_99	3	37327971	40171638
ANGPTL4	1	CNVR_280	7	16952548	17109710
ANKZF1	1	CNVR_80	2	106984473	107192324
ANP32B	1	CNVR_331	8	63018531	63246078
AP3B1	1	CNVR_380	10	9086487	9319944
APELA	1	CNVR_227	6	118791	663198
ARHGAP15	1	CNVR_64	2	53239315	53502146
ARHGEF15	1	CNVR_657	19	27569814	28031919
ASPSCR1	1	CNVR_667	19	50821989	50902591
ATAT1	1	CNVR_758	23	28341860	28413350
ATG16L2	1	CNVR_552	15	52290626	52421203
ATG2A	1	CNVR_869	29	43108445	43189370
ATG9A	1	CNVR_80	2	106984473	107192324
ATMIN	1	CNVR_614	18	7725422	7792744
ATP5PB	1	CNVR_97	3	31748152	31851977
AURKB	1	CNVR_657	19	27569814	28031919
AVPR1A	1	CNVR_194	5	50295303	50411994
BANP	1	CNVR_617	18	13346768	13478168
BAP1	1	CNVR_746	22	48449810	48866871
BAX	1	CNVR_630	18	55442888	55807264
BBS12	1	CNVR_600	17	34933710	35050237
BCHE	1	CNVR_38	1	101366448	106295981
BFAR	1	CNVR_790	25	13567579	13626127
BICDL2	1	CNVR_786	25	2263020	2452460
BMPR1B	1	CNVR_237	6	28754184	29374777
BoLA	1	CNVR_757	23	27759950	27903991
BOLA-A	1	CNVR_757	23	27759950	27903991
BOLA-DMA	1	CNVR_753	23	7240128	7427107
BOLA-DMB	1	CNVR_753	23	7240128	7427107
BOLA-DOA	1	CNVR_753	23	7240128	7427107
BORCS6	1	CNVR_657	19	27569814	28031919
BRD2	1	CNVR_753	23	7240128	7427107
BRINP1	1	CNVR_341	8	108663779	108687702
BTRC	1	CNVR_810	26	22037112	22215515
C1QTNF5	1	CNVR_543	15	29871540	29985272
C23H6orf136	1	CNVR_758	23	28341860	28413350
