window_id	number_roh	Chr	Start_win	End_win	prop_roh
Win_307	78	5	6.8e+07	7e+07	0.196
Win_863	78	16	3.6e+07	3.8e+07	0.196
Win_314	77	5	8.2e+07	8.4e+07	0.194
Win_356	77	6	4e+07	4.2e+07	0.194
Win_630	77	11	2.8e+07	3e+07	0.194
Win_741	77	13	5e+07	5.2e+07	0.194
Win_861	77	16	3.2e+07	3.4e+07	0.194
Win_975	77	19	3.6e+07	3.8e+07	0.194
Win_1001	76	20	2.2e+07	2.4e+07	0.191
Win_313	76	5	8e+07	8.2e+07	0.191
Win_635	76	11	3.8e+07	4e+07	0.191
Win_1003	75	20	2.6e+07	2.8e+07	0.189
Win_1064	75	22	4e+06	6e+06	0.189
Win_284	75	5	2.2e+07	2.4e+07	0.189
Win_364	75	6	5.6e+07	5.8e+07	0.189
Win_973	75	19	3.2e+07	3.4e+07	0.189
Win_976	75	19	3.8e+07	4e+07	0.189
Win_227	74	4	3e+07	3.2e+07	0.186
Win_295	74	5	4.4e+07	4.6e+07	0.186
Win_368	74	6	6.4e+07	6.6e+07	0.186
Win_393	74	6	1.14e+08	1.16e+08	0.186
Win_625	74	11	1.8e+07	2e+07	0.186
Win_221	73	4	1.8e+07	2e+07	0.184
Win_312	73	5	7.8e+07	8e+07	0.184
Win_378	73	6	8.4e+07	8.6e+07	0.184
Win_631	73	11	3e+07	3.2e+07	0.184
Win_786	73	14	5.4e+07	5.6e+07	0.184
Win_219	72	4	1.4e+07	1.6e+07	0.181
Win_230	72	4	3.6e+07	3.8e+07	0.181
Win_280	72	5	1.4e+07	1.6e+07	0.181
Win_660	72	11	8.8e+07	9e+07	0.181
Win_787	72	14	5.6e+07	5.8e+07	0.181
Win_1066	71	22	8e+06	1e+07	0.179
Win_278	71	5	1e+07	1.2e+07	0.179
Win_392	71	6	1.12e+08	1.14e+08	0.179
Win_624	71	11	1.6e+07	1.8e+07	0.179
Win_627	71	11	2.2e+07	2.4e+07	0.179
Win_740	71	13	4.8e+07	5e+07	0.179
Win_742	71	13	5.2e+07	5.4e+07	0.179
Win_974	71	19	3.4e+07	3.6e+07	0.179
Win_363	70	6	5.4e+07	5.6e+07	0.176
Win_374	70	6	7.6e+07	7.8e+07	0.176
Win_647	70	11	6.2e+07	6.4e+07	0.176
Win_737	70	13	4.2e+07	4.4e+07	0.176
Win_819	70	15	3.4e+07	3.6e+07	0.176
Win_261	69	4	9.8e+07	1e+08	0.174
Win_362	69	6	5.2e+07	5.4e+07	0.174
Win_40	69	1	7.8e+07	8e+07	0.174
Win_506	69	8	1.06e+08	1.08e+08	0.174
Win_798	69	14	7.8e+07	8e+07	0.174
Win_1152	68	25	0	2e+06	0.171
Win_1153	68	25	2e+06	4e+06	0.171
Win_297	68	5	4.8e+07	5e+07	0.171
Win_733	68	13	3.4e+07	3.6e+07	0.171
Win_869	68	16	4.8e+07	5e+07	0.171
Win_1030	67	21	8e+06	1e+07	0.169
Win_1065	67	22	6e+06	8e+06	0.169
Win_294	67	5	4.2e+07	4.4e+07	0.169
Win_520	67	9	2e+07	2.2e+07	0.169
Win_622	67	11	1.2e+07	1.4e+07	0.169
Win_632	67	11	3.2e+07	3.4e+07	0.169
Win_634	67	11	3.6e+07	3.8e+07	0.169
Win_862	67	16	3.4e+07	3.6e+07	0.169
Win_907	67	17	4.2e+07	4.4e+07	0.169
Win_192	66	3	8.4e+07	8.6e+07	0.166
Win_193	66	3	8.6e+07	8.8e+07	0.166
Win_194	66	3	8.8e+07	9e+07	0.166
Win_306	66	5	6.6e+07	6.8e+07	0.166
Win_644	66	11	5.6e+07	5.8e+07	0.166
Win_743	66	13	5.4e+07	5.6e+07	0.166
Win_909	66	17	4.6e+07	4.8e+07	0.166
Win_1050	65	21	4.8e+07	5e+07	0.164
Win_1150	65	24	6e+07	6.2e+07	0.164
Win_1260	65	29	2.6e+07	2.8e+07	0.164
Win_304	65	5	6.2e+07	6.4e+07	0.164
Win_359	65	6	4.6e+07	4.8e+07	0.164
Win_510	65	9	0	2e+06	0.164
Win_667	65	11	1.02e+08	1.04e+08	0.164
Win_784	65	14	5e+07	5.2e+07	0.164
Win_785	65	14	5.2e+07	5.4e+07	0.164
Win_942	65	18	3.6e+07	3.8e+07	0.164
Win_972	65	19	3e+07	3.2e+07	0.164
Win_1039	64	21	2.6e+07	2.8e+07	0.161
Win_1060	64	21	6.8e+07	7e+07	0.161
Win_1261	64	29	2.8e+07	3e+07	0.161
Win_39	64	1	7.6e+07	7.8e+07	0.161
Win_416	64	7	4e+07	4.2e+07	0.161
Win_521	64	9	2.2e+07	2.4e+07	0.161
Win_628	64	11	2.4e+07	2.6e+07	0.161
Win_636	64	11	4e+07	4.2e+07	0.161
Win_671	64	12	2e+06	4e+06	0.161
Win_867	64	16	4.4e+07	4.6e+07	0.161
Win_944	64	18	4e+07	4.2e+07	0.161
Win_971	64	19	2.8e+07	3e+07	0.161
Win_1263	63	29	3.2e+07	3.4e+07	0.159
Win_217	63	4	1e+07	1.2e+07	0.159
Win_387	63	6	1.02e+08	1.04e+08	0.159
Win_417	63	7	4.2e+07	4.4e+07	0.159
Win_623	63	11	1.4e+07	1.6e+07	0.159
Win_78	63	1	1.54e+08	1.56e+08	0.159
Win_908	63	17	4.4e+07	4.6e+07	0.159
Win_1137	62	24	3.4e+07	3.6e+07	0.156
Win_213	62	4	2e+06	4e+06	0.156
Win_305	62	5	6.4e+07	6.6e+07	0.156
Win_33	62	1	6.4e+07	6.6e+07	0.156
Win_817	62	15	3e+07	3.2e+07	0.156
Win_984	62	19	5.4e+07	5.6e+07	0.156
Win_1042	61	21	3.2e+07	3.4e+07	0.154
Win_289	61	5	3.2e+07	3.4e+07	0.154
Win_617	61	11	2e+06	4e+06	0.154
Win_659	61	11	8.6e+07	8.8e+07	0.154
Win_661	61	11	9e+07	9.2e+07	0.154
Win_734	61	13	3.6e+07	3.8e+07	0.154
Win_865	61	16	4e+07	4.2e+07	0.154
Win_866	61	16	4.2e+07	4.4e+07	0.154
Win_916	61	17	6e+07	6.2e+07	0.154
Win_943	61	18	3.8e+07	4e+07	0.154
Win_1201	60	27	2e+06	4e+06	0.151
Win_121	60	2	8e+07	8.2e+07	0.151
Win_292	60	5	3.8e+07	4e+07	0.151
Win_303	60	5	6e+07	6.2e+07	0.151
Win_388	60	6	1.04e+08	1.06e+08	0.151
Win_616	60	11	0	2e+06	0.151
Win_621	60	11	1e+07	1.2e+07	0.151
Win_633	60	11	3.4e+07	3.6e+07	0.151
Win_643	60	11	5.4e+07	5.6e+07	0.151
Win_645	60	11	5.8e+07	6e+07	0.151
Win_714	60	12	8.8e+07	9e+07	0.151
Win_791	60	14	6.4e+07	6.6e+07	0.151
Win_906	60	17	4e+07	4.2e+07	0.151
Win_1040	59	21	2.8e+07	3e+07	0.149
Win_1051	59	21	5e+07	5.2e+07	0.149
Win_1203	59	27	6e+06	8e+06	0.149
Win_1264	59	29	3.4e+07	3.6e+07	0.149
Win_148	59	2	1.34e+08	1.36e+08	0.149
Win_189	59	3	7.8e+07	8e+07	0.149
Win_218	59	4	1.2e+07	1.4e+07	0.149
Win_222	59	4	2e+07	2.2e+07	0.149
Win_286	59	5	2.6e+07	2.8e+07	0.149
Win_317	59	5	8.8e+07	9e+07	0.149
Win_394	59	6	1.16e+08	1.18e+08	0.149
Win_433	59	7	7.4e+07	7.6e+07	0.149
Win_435	59	7	7.8e+07	8e+07	0.149
Win_439	59	7	8.6e+07	8.8e+07	0.149
Win_670	59	12	0	2e+06	0.149
Win_729	59	13	2.6e+07	2.8e+07	0.149
Win_1046	58	21	4e+07	4.2e+07	0.146
Win_1136	58	24	3.2e+07	3.4e+07	0.146
Win_220	58	4	1.6e+07	1.8e+07	0.146
Win_298	58	5	5e+07	5.2e+07	0.146
Win_320	58	5	9.4e+07	9.6e+07	0.146
Win_629	58	11	2.6e+07	2.8e+07	0.146
Win_709	58	12	7.8e+07	8e+07	0.146
Win_713	58	12	8.6e+07	8.8e+07	0.146
Win_868	58	16	4.6e+07	4.8e+07	0.146
Win_969	58	19	2.4e+07	2.6e+07	0.146
Win_1061	57	21	7e+07	7.2e+07	0.144
Win_1067	57	22	1e+07	1.2e+07	0.144
Win_1081	57	22	3.8e+07	4e+07	0.144
Win_1179	57	26	1e+07	1.2e+07	0.144
Win_1220	57	27	4e+07	4.2e+07	0.144
Win_186	57	3	7.2e+07	7.4e+07	0.144
Win_232	57	4	4e+07	4.2e+07	0.144
Win_403	57	7	1.4e+07	1.6e+07	0.144
Win_467	57	8	2.8e+07	3e+07	0.144
Win_497	57	8	8.8e+07	9e+07	0.144
Win_639	57	11	4.6e+07	4.8e+07	0.144
Win_642	57	11	5.2e+07	5.4e+07	0.144
Win_673	57	12	6e+06	8e+06	0.144
Win_711	57	12	8.2e+07	8.4e+07	0.144
Win_732	57	13	3.2e+07	3.4e+07	0.144
Win_790	57	14	6.2e+07	6.4e+07	0.144
Win_1000	56	20	2e+07	2.2e+07	0.141
Win_1041	56	21	3e+07	3.2e+07	0.141
Win_1044	56	21	3.6e+07	3.8e+07	0.141
Win_1047	56	21	4.2e+07	4.4e+07	0.141
Win_1162	56	25	2e+07	2.2e+07	0.141
Win_137	56	2	1.12e+08	1.14e+08	0.141
Win_176	56	3	5.2e+07	5.4e+07	0.141
Win_177	56	3	5.4e+07	5.6e+07	0.141
Win_34	56	1	6.6e+07	6.8e+07	0.141
Win_402	56	7	1.2e+07	1.4e+07	0.141
Win_662	56	11	9.2e+07	9.4e+07	0.141
Win_666	56	11	1e+08	1.02e+08	0.141
Win_680	56	12	2e+07	2.2e+07	0.141
Win_715	56	12	9e+07	9.2e+07	0.141
Win_783	56	14	4.8e+07	5e+07	0.141
Win_789	56	14	6e+07	6.2e+07	0.141
Win_79	56	1	1.56e+08	1.58e+08	0.141
Win_818	56	15	3.2e+07	3.4e+07	0.141
Win_852	56	16	1.4e+07	1.6e+07	0.141
Win_864	56	16	3.8e+07	4e+07	0.141
Win_888	56	17	4e+06	6e+06	0.141
Win_970	56	19	2.6e+07	2.8e+07	0.141
Win_1033	55	21	1.4e+07	1.6e+07	0.139
Win_1063	55	22	2e+06	4e+06	0.139
Win_1068	55	22	1.2e+07	1.4e+07	0.139
Win_1161	55	25	1.8e+07	2e+07	0.139
Win_1202	55	27	4e+06	6e+06	0.139
Win_1216	55	27	3.2e+07	3.4e+07	0.139
Win_184	55	3	6.8e+07	7e+07	0.139
Win_323	55	5	1e+08	1.02e+08	0.139
Win_463	55	8	2e+07	2.2e+07	0.139
Win_512	55	9	4e+06	6e+06	0.139
Win_618	55	11	4e+06	6e+06	0.139
Win_663	55	11	9.4e+07	9.6e+07	0.139
Win_754	55	13	7.6e+07	7.8e+07	0.139
Win_77	55	1	1.52e+08	1.54e+08	0.139
Win_1027	54	21	2e+06	4e+06	0.136
Win_1028	54	21	4e+06	6e+06	0.136
Win_1031	54	21	1e+07	1.2e+07	0.136
Win_1072	54	22	2e+07	2.2e+07	0.136
Win_1077	54	22	3e+07	3.2e+07	0.136
Win_1129	54	24	1.8e+07	2e+07	0.136
Win_1184	54	26	2e+07	2.2e+07	0.136
Win_1194	54	26	4e+07	4.2e+07	0.136
Win_1221	54	27	4.2e+07	4.4e+07	0.136
Win_326	54	5	1.06e+08	1.08e+08	0.136
Win_406	54	7	2e+07	2.2e+07	0.136
Win_418	54	7	4.4e+07	4.6e+07	0.136
Win_46	54	1	9e+07	9.2e+07	0.136
Win_492	54	8	7.8e+07	8e+07	0.136
Win_496	54	8	8.6e+07	8.8e+07	0.136
Win_788	54	14	5.8e+07	6e+07	0.136
Win_793	54	14	6.8e+07	7e+07	0.136
Win_812	54	15	2e+07	2.2e+07	0.136
Win_889	54	17	6e+06	8e+06	0.136
Win_919	54	17	6.6e+07	6.8e+07	0.136
Win_945	54	18	4.2e+07	4.4e+07	0.136
Win_1017	53	20	5.4e+07	5.6e+07	0.134
Win_1036	53	21	2e+07	2.2e+07	0.134
Win_1151	53	24	6.2e+07	6.4e+07	0.134
Win_1159	53	25	1.4e+07	1.6e+07	0.134
Win_1160	53	25	1.6e+07	1.8e+07	0.134
Win_1258	53	29	2.2e+07	2.4e+07	0.134
Win_1259	53	29	2.4e+07	2.6e+07	0.134
Win_1262	53	29	3e+07	3.2e+07	0.134
Win_1265	53	29	3.6e+07	3.8e+07	0.134
Win_190	53	3	8e+07	8.2e+07	0.134
Win_191	53	3	8.2e+07	8.4e+07	0.134
Win_243	53	4	6.2e+07	6.4e+07	0.134
Win_253	53	4	8.2e+07	8.4e+07	0.134
Win_405	53	7	1.8e+07	2e+07	0.134
Win_434	53	7	7.6e+07	7.8e+07	0.134
Win_438	53	7	8.4e+07	8.6e+07	0.134
Win_503	53	8	1e+08	1.02e+08	0.134
Win_504	53	8	1.02e+08	1.04e+08	0.134
Win_511	53	9	2e+06	4e+06	0.134
Win_672	53	12	4e+06	6e+06	0.134
Win_694	53	12	4.8e+07	5e+07	0.134
Win_746	53	13	6e+07	6.2e+07	0.134
Win_751	53	13	7e+07	7.2e+07	0.134
Win_81	53	2	0	2e+06	0.134
Win_811	53	15	1.8e+07	2e+07	0.134
Win_821	53	15	3.8e+07	4e+07	0.134
Win_915	53	17	5.8e+07	6e+07	0.134
Win_1059	52	21	6.6e+07	6.8e+07	0.131
Win_1091	52	22	5.8e+07	6e+07	0.131
Win_1130	52	24	2e+07	2.2e+07	0.131
Win_1183	52	26	1.8e+07	2e+07	0.131
Win_1193	52	26	3.8e+07	4e+07	0.131
Win_241	52	4	5.8e+07	6e+07	0.131
Win_247	52	4	7e+07	7.2e+07	0.131
Win_302	52	5	5.8e+07	6e+07	0.131
Win_325	52	5	1.04e+08	1.06e+08	0.131
Win_411	52	7	3e+07	3.2e+07	0.131
Win_413	52	7	3.4e+07	3.6e+07	0.131
Win_450	52	7	1.08e+08	1.1e+08	0.131
Win_505	52	8	1.04e+08	1.06e+08	0.131
Win_665	52	11	9.8e+07	1e+08	0.131
Win_731	52	13	3e+07	3.2e+07	0.131
Win_1034	51	21	1.6e+07	1.8e+07	0.128
Win_1082	51	22	4e+07	4.2e+07	0.128
Win_1131	51	24	2.2e+07	2.4e+07	0.128
Win_1133	51	24	2.6e+07	2.8e+07	0.128
Win_1138	51	24	3.6e+07	3.8e+07	0.128
Win_1149	51	24	5.8e+07	6e+07	0.128
Win_1200	51	27	0	2e+06	0.128
Win_246	51	4	6.8e+07	7e+07	0.128
Win_290	51	5	3.4e+07	3.6e+07	0.128
Win_507	51	8	1.08e+08	1.1e+08	0.128
Win_697	51	12	5.4e+07	5.6e+07	0.128
Win_727	51	13	2.2e+07	2.4e+07	0.128
Win_736	51	13	4e+07	4.2e+07	0.128
Win_820	51	15	3.6e+07	3.8e+07	0.128
Win_940	51	18	3.2e+07	3.4e+07	0.128
Win_967	51	19	2e+07	2.2e+07	0.128
Win_1008	50	20	3.6e+07	3.8e+07	0.126
Win_1021	50	20	6.2e+07	6.4e+07	0.126
Win_1073	50	22	2.2e+07	2.4e+07	0.126
Win_1075	50	22	2.6e+07	2.8e+07	0.126
Win_11	50	1	2e+07	2.2e+07	0.126
Win_1135	50	24	3e+07	3.2e+07	0.126
Win_1154	50	25	4e+06	6e+06	0.126
Win_1171	50	25	3.8e+07	4e+07	0.126
Win_1178	50	26	8e+06	1e+07	0.126
Win_1204	50	27	8e+06	1e+07	0.126
Win_1248	50	29	2e+06	4e+06	0.126
Win_252	50	4	8e+07	8.2e+07	0.126
Win_344	50	6	1.6e+07	1.8e+07	0.126
Win_420	50	7	4.8e+07	5e+07	0.126
Win_443	50	7	9.4e+07	9.6e+07	0.126
Win_45	50	1	8.8e+07	9e+07	0.126
Win_464	50	8	2.2e+07	2.4e+07	0.126
Win_466	50	8	2.6e+07	2.8e+07	0.126
Win_664	50	11	9.6e+07	9.8e+07	0.126
Win_668	50	11	1.04e+08	1.06e+08	0.126
Win_681	50	12	2.2e+07	2.4e+07	0.126
Win_696	50	12	5.2e+07	5.4e+07	0.126
Win_712	50	12	8.4e+07	8.6e+07	0.126
Win_730	50	13	2.8e+07	3e+07	0.126
Win_755	50	13	7.8e+07	8e+07	0.126
Win_887	50	17	2e+06	4e+06	0.126
Win_96	50	2	3e+07	3.2e+07	0.126
Win_966	50	19	1.8e+07	2e+07	0.126
Win_97	50	2	3.2e+07	3.4e+07	0.126
Win_1026	49	21	0	2e+06	0.123
Win_1037	49	21	2.2e+07	2.4e+07	0.123
Win_1038	49	21	2.4e+07	2.6e+07	0.123
Win_1052	49	21	5.2e+07	5.4e+07	0.123
Win_1074	49	22	2.4e+07	2.6e+07	0.123
Win_1076	49	22	2.8e+07	3e+07	0.123
Win_1139	49	24	3.8e+07	4e+07	0.123
Win_205	49	3	1.1e+08	1.12e+08	0.123
Win_206	49	3	1.12e+08	1.14e+08	0.123
Win_212	49	4	0	2e+06	0.123
Win_223	49	4	2.2e+07	2.4e+07	0.123
Win_277	49	5	8e+06	1e+07	0.123
Win_29	49	1	5.6e+07	5.8e+07	0.123
Win_327	49	5	1.08e+08	1.1e+08	0.123
Win_498	49	8	9e+07	9.2e+07	0.123
Win_502	49	8	9.8e+07	1e+08	0.123
Win_526	49	9	3.2e+07	3.4e+07	0.123
Win_652	49	11	7.2e+07	7.4e+07	0.123
Win_675	49	12	1e+07	1.2e+07	0.123
Win_695	49	12	5e+07	5.2e+07	0.123
Win_698	49	12	5.6e+07	5.8e+07	0.123
Win_701	49	12	6.2e+07	6.4e+07	0.123
Win_752	49	13	7.2e+07	7.4e+07	0.123
Win_792	49	14	6.6e+07	6.8e+07	0.123
Win_794	49	14	7e+07	7.2e+07	0.123
Win_795	49	14	7.2e+07	7.4e+07	0.123
Win_824	49	15	4.4e+07	4.6e+07	0.123
Win_10	48	1	1.8e+07	2e+07	0.121
Win_1007	48	20	3.4e+07	3.6e+07	0.121
Win_1058	48	21	6.4e+07	6.6e+07	0.121
Win_1078	48	22	3.2e+07	3.4e+07	0.121
Win_1090	48	22	5.6e+07	5.8e+07	0.121
Win_1146	48	24	5.2e+07	5.4e+07	0.121
Win_1147	48	24	5.4e+07	5.6e+07	0.121
Win_1182	48	26	1.6e+07	1.8e+07	0.121
Win_12	48	1	2.2e+07	2.4e+07	0.121
Win_1236	48	28	2.6e+07	2.8e+07	0.121
Win_1244	48	28	4.2e+07	4.4e+07	0.121
Win_1266	48	29	3.8e+07	4e+07	0.121
Win_136	48	2	1.1e+08	1.12e+08	0.121
Win_183	48	3	6.6e+07	6.8e+07	0.121
Win_185	48	3	7e+07	7.2e+07	0.121
Win_240	48	4	5.6e+07	5.8e+07	0.121
Win_318	48	5	9e+07	9.2e+07	0.121
Win_390	48	6	1.08e+08	1.1e+08	0.121
Win_523	48	9	2.6e+07	2.8e+07	0.121
Win_534	48	9	4.8e+07	5e+07	0.121
Win_646	48	11	6e+07	6.2e+07	0.121
Win_750	48	13	6.8e+07	7e+07	0.121
Win_796	48	14	7.4e+07	7.6e+07	0.121
Win_870	48	16	5e+07	5.2e+07	0.121
Win_925	48	18	2e+06	4e+06	0.121
Win_928	48	18	8e+06	1e+07	0.121
Win_978	48	19	4.2e+07	4.4e+07	0.121
Win_1018	47	20	5.6e+07	5.8e+07	0.118
Win_1023	47	20	6.6e+07	6.8e+07	0.118
Win_1035	47	21	1.8e+07	2e+07	0.118
Win_1086	47	22	4.8e+07	5e+07	0.118
Win_1088	47	22	5.2e+07	5.4e+07	0.118
Win_1116	47	23	4.6e+07	4.8e+07	0.118
Win_1163	47	25	2.2e+07	2.4e+07	0.118
Win_117	47	2	7.2e+07	7.4e+07	0.118
Win_1228	47	28	1e+07	1.2e+07	0.118
Win_1241	47	28	3.6e+07	3.8e+07	0.118
Win_1242	47	28	3.8e+07	4e+07	0.118
Win_1243	47	28	4e+07	4.2e+07	0.118
Win_1247	47	29	0	2e+06	0.118
Win_1252	47	29	1e+07	1.2e+07	0.118
Win_1269	47	29	4.4e+07	4.6e+07	0.118
Win_147	47	2	1.32e+08	1.34e+08	0.118
Win_187	47	3	7.4e+07	7.6e+07	0.118
Win_231	47	4	3.8e+07	4e+07	0.118
Win_250	47	4	7.6e+07	7.8e+07	0.118
Win_31	47	1	6e+07	6.2e+07	0.118
Win_391	47	6	1.1e+08	1.12e+08	0.118
Win_42	47	1	8.2e+07	8.4e+07	0.118
Win_491	47	8	7.6e+07	7.8e+07	0.118
Win_525	47	9	3e+07	3.2e+07	0.118
Win_531	47	9	4.2e+07	4.4e+07	0.118
Win_537	47	9	5.4e+07	5.6e+07	0.118
Win_699	47	12	5.8e+07	6e+07	0.118
Win_748	47	13	6.4e+07	6.6e+07	0.118
Win_850	47	16	1e+07	1.2e+07	0.118
Win_902	47	17	3.2e+07	3.4e+07	0.118
Win_918	47	17	6.4e+07	6.6e+07	0.118
Win_1006	46	20	3.2e+07	3.4e+07	0.116
Win_116	46	2	7e+07	7.2e+07	0.116
Win_1192	46	26	3.6e+07	3.8e+07	0.116
Win_1195	46	26	4.2e+07	4.4e+07	0.116
Win_1196	46	26	4.4e+07	4.6e+07	0.116
Win_1227	46	28	8e+06	1e+07	0.116
Win_203	46	3	1.06e+08	1.08e+08	0.116
Win_208	46	3	1.16e+08	1.18e+08	0.116
Win_226	46	4	2.8e+07	3e+07	0.116
Win_262	46	4	1e+08	1.02e+08	0.116
Win_293	46	5	4e+07	4.2e+07	0.116
Win_301	46	5	5.6e+07	5.8e+07	0.116
Win_32	46	1	6.2e+07	6.4e+07	0.116
Win_324	46	5	1.02e+08	1.04e+08	0.116
Win_412	46	7	3.2e+07	3.4e+07	0.116
Win_508	46	8	1.1e+08	1.12e+08	0.116
Win_522	46	9	2.4e+07	2.6e+07	0.116
Win_564	46	10	2e+06	4e+06	0.116
Win_580	46	10	3.4e+07	3.6e+07	0.116
Win_674	46	12	8e+06	1e+07	0.116
Win_756	46	13	8e+07	8.2e+07	0.116
Win_816	46	15	2.8e+07	3e+07	0.116
Win_82	46	2	2e+06	4e+06	0.116
Win_886	46	17	0	2e+06	0.116
Win_89	46	2	1.6e+07	1.8e+07	0.116
Win_941	46	18	3.4e+07	3.6e+07	0.116
Win_1022	45	20	6.4e+07	6.6e+07	0.113
Win_1045	45	21	3.8e+07	4e+07	0.113
Win_1069	45	22	1.4e+07	1.6e+07	0.113
Win_1087	45	22	5e+07	5.2e+07	0.113
Win_1127	45	24	1.4e+07	1.6e+07	0.113
Win_1128	45	24	1.6e+07	1.8e+07	0.113
Win_1143	45	24	4.6e+07	4.8e+07	0.113
Win_1181	45	26	1.4e+07	1.6e+07	0.113
Win_1215	45	27	3e+07	3.2e+07	0.113
Win_1268	45	29	4.2e+07	4.4e+07	0.113
Win_1270	45	29	4.6e+07	4.8e+07	0.113
Win_181	45	3	6.2e+07	6.4e+07	0.113
Win_188	45	3	7.6e+07	7.8e+07	0.113
Win_2	45	1	2e+06	4e+06	0.113
Win_204	45	3	1.08e+08	1.1e+08	0.113
Win_233	45	4	4.2e+07	4.4e+07	0.113
Win_28	45	1	5.4e+07	5.6e+07	0.113
Win_30	45	1	5.8e+07	6e+07	0.113
Win_328	45	5	1.1e+08	1.12e+08	0.113
Win_329	45	5	1.12e+08	1.14e+08	0.113
Win_389	45	6	1.06e+08	1.08e+08	0.113
Win_397	45	7	2e+06	4e+06	0.113
Win_41	45	1	8e+07	8.2e+07	0.113
Win_432	45	7	7.2e+07	7.4e+07	0.113
Win_444	45	7	9.6e+07	9.8e+07	0.113
Win_458	45	8	1e+07	1.2e+07	0.113
Win_462	45	8	1.8e+07	2e+07	0.113
Win_500	45	8	9.4e+07	9.6e+07	0.113
Win_514	45	9	8e+06	1e+07	0.113
Win_527	45	9	3.4e+07	3.6e+07	0.113
