name2	gene_list_1	gene_list_2	Common_Gene
DCAF16	1	0	Common_Low
DCTPP1	1	2	Common_Low
DCUN1D1	3	3	Common_Low
DCXR	8	8	Common_Low
DDAH2	1	0	Common_Low
DDT	3	4	Common_Low
DDX31	1	3	Common_Low
DDX39A	1	1	Common_Low
DDX55	2	0	Common_Low
DDX6	1	1	Common_Low
DEGS2	1	1	Common_Low
DEPP1	1	0	Common_Low
DEPTOR	1	1	Common_Low
DEXI	2	2	Common_Low
DGAT1	8	7	Common_Low
DGCR2	2	2	Common_Low
DGCR8	4	3	Common_Low
DGKB	8	6	Common_Low
DHTKD1	2	2	Common_Low
DISP1	1	1	Common_Low
DKFZP761E198	1	1	Common_Low
DMP1	1	1	Common_Low
DMRT1	1	1	Common_Low
DNAAF2	2	1	Common_Low
DNAH2	5	1	Common_Low
DNAJB1	1	1	Common_Low
DNAJC5	2	0	Common_Low
DNASE1L2	2	2	Common_Low
DNM2	1	1	Common_Low
DNMT1	1	0	Common_Low
DNTT	1	0	Common_Low
DOC2G	2	0	Common_Low
DOCK10	1	1	Common_Low
DOCK8	0	1	Common_Low
DOHH	1	0	Common_Low
DOLK	1	2	Common_Low
DOLPP1	1	2	Common_Low
DONSON	0	1	Common_Low
DPCD	1	1	Common_Low
DPEP1	3	1	Common_Low
DPM2	2	2	Common_Low
DPP10	1	3	Common_Low
DPP7	2	0	Common_Low
DRC3	1	0	Common_Low
DRG2	1	0	Common_Low
DSCC1	1	1	Common_Low
DTYMK	3	3	Common_Low
DUS1L	4	4	Common_Low
DUSP2	2	0	Common_Low
DVL1	1	1	Common_Low
DVL2	3	3	Common_Low
DYM	1	0	Common_Low
DYNC1I2	2	2	Common_Low
DYNC2I2	0	2	Common_Low
E4F1	2	2	Common_Low
EBI3	3	1	Common_Low
ECHDC3	2	2	Common_Low
ECI1	2	2	Common_Low
ECSIT	0	1	Common_Low
ECT2	1	1	Common_Low
EDF1	6	6	Common_Low
EDNRB	1	0	Common_Low
EEF1A2	4	4	Common_Low
EEF1D	4	4	Common_Low
EEFSEC	4	4	Common_Low
EFCC1	1	0	Common_Low
EFEMP2	2	2	Common_Low
EFNA2	2	2	Common_Low
EFNB3	5	1	Common_Low
EGFL7	3	5	Common_Low
EIF3B	2	2	Common_Low
EIF4A1	3	1	Common_Low
EIF4H	1	0	Common_Low
EIF5A	5	5	Common_Low
ELANE	1	0	Common_Low
ELF3	1	0	Common_Low
ELFN1	1	1	Common_Low
ELN	1	1	Common_Low
ELOB	4	3	Common_Low
ELOVL2	0	1	Common_Low
ELP4	2	2	Common_Low
EMP3	0	1	Common_Low
EMSY	2	2	Common_Low
ENDOG	1	2	Common_Low
ENDOV	1	0	Common_Low
ENKUR	2	2	Common_Low
ENTPD2	3	3	Common_Low
ENTPD6	1	0	Common_Low
ENTPD8	6	11	Common_Low
ENTR1	4	5	Common_Low
EPHA2	1	0	Common_Low
EPHB2	1	1	Common_Low
EPN1	1	1	Common_Low
EPO	1	1	Common_Low
EPOR	2	1	Common_Low
EPS15	2	4	Common_Low
ERCC1	1	0	Common_Low
ERCC6L2	2	2	Common_Low
ERO1A	3	3	Common_Low
ERP29	1	0	Common_Low
ESS2	2	2	Common_Low
EVI2A	1	1	Common_Low
EVI2B	1	1	Common_Low
EXOC4	1	1	Common_Low
EXOC7	2	2	Common_Low
EXOSC4	4	2	Common_Low
FADS6	2	2	Common_Low
FAHD1	3	3	Common_Low
FAM102A	2	2	Common_Low
FAM173A	2	0	Common_Low
FAM174C	0	2	Common_Low
FAM221A	7	19	Common_Low
FAM78A	3	3	Common_Low
FAM92B	1	0	Common_Low
FANCA	3	1	Common_Low
FANCC	1	1	Common_Low
FAP	1	1	Common_Low
FASN	3	3	Common_Low
FBXL16	2	2	Common_Low
FBXW4	1	0	Common_Low
FBXW5	7	6	Common_Low
FDX2	2	0	Common_Low
FDXR	2	2	Common_Low
FERMT3	0	2	Common_Low
FGF11	5	5	Common_Low
FGF14	21	26	Common_High
FGFR1OP2	0	1	Common_Low
FGFR3	3	3	Common_Low
FGFRL1	1	1	Common_Low
FHOD3	1	0	Common_Low
FIZ1	2	3	Common_Low
FKBP14	30	33	Common_High
FKBP2	0	2	Common_Low
FNDC11	5	5	Common_Low
FOXC2	1	1	Common_Low
FOXH1	6	5	Common_Low
FOXJ1	2	2	Common_Low
FOXS1	1	0	Common_Low
FSCN1	2	2	Common_Low
FSD1	2	0	Common_Low
FST	2	2	Common_Low
FSTL5	6	1	Common_Low
FUCA1	2	2	Common_Low
FUT2	1	1	Common_Low
FUT7	3	3	Common_Low
FXR2	5	1	Common_Low
FYB1	3	2	Common_Low
FYTTD1	2	1	Common_Low
FZR1	1	0	Common_Low
G3BP2	1	1	Common_Low
GABARAP	3	3	Common_Low
GABRA2	2	4	Common_Low
GABRG1	13	24	High_Freq_liste_2
GAK	1	1	Common_Low
GAL	5	4	Common_Low
GALE	1	1	Common_Low
GALNT13	9	6	Common_Low
GALNT2	1	1	Common_Low
GALNTL6	1	2	Common_Low
GAMT	3	2	Common_Low
GART	5	6	Common_Low
GATA2	4	2	Common_Low
GATD1	1	0	Common_Low
GBP4	31	31	Common_High
GBP6	25	28	Common_High
GCGR	2	4	Common_Low
GDPD1	1	1	Common_Low
GET4	2	4	Common_Low
GFER	4	3	Common_Low
GFM2	0	1	Common_Low
GGPS1	0	1	Common_Low
GGT1	1	0	Common_Low
GGT5	1	0	Common_Low
GHR	1	0	Common_Low
GID4	1	0	Common_Low
GID8	3	3	Common_Low
GIGYF1	1	1	Common_Low
GIMAP7	8	10	Common_Low
GIPC1	1	1	Common_Low
GIPC3	1	0	Common_Low
GK5	0	1	Common_Low
GLE1	0	2	Common_Low
GLT6D1	1	1	Common_Low
GLT8D1	10	10	Common_Low
GMEB2	5	5	Common_Low
GNA11	1	0	Common_Low
GNA12	0	2	Common_Low
GNA15	1	0	Common_Low
GNAS	3	2	Common_Low
GNB1	1	0	Common_Low
GNB1L	3	3	Common_Low
GNB2	5	5	Common_Low
GNG11	0	1	Common_Low
GNGT1	0	1	Common_Low
GNMT	4	4	Common_Low
GNPNAT1	1	0	Common_Low
GNPTG	4	4	Common_Low
GOLGA4	1	1	Common_Low
GORASP2	0	1	Common_Low
GOSR1	1	0	Common_Low
GPAA1	4	2	Common_Low
GPANK1	1	0	Common_Low
GPBAR1	0	1	Common_Low
GPBP1L1	3	2	Common_Low
GPR146	2	2	Common_Low
GPR22	2	2	Common_Low
GPR37L1	1	1	Common_Low
GPR62	1	1	Common_Low
GPS1	4	4	Common_Low
GPS2	5	5	Common_Low
GPT	2	1	Common_Low
GPX4	9	3	Common_Low
GRAMD4	1	0	Common_Low
GRIA4	13	7	Common_Low
GRIFIN	4	4	Common_Low
GRIK2	6	5	Common_Low
GRIN2C	2	0	Common_Low
GRINA	4	1	Common_Low
GRK2	3	1	Common_Low
GRM2	1	1	Common_Low
GRWD1	1	1	Common_Low
GSDMD	2	2	Common_Low
GSTP1	2	1	Common_Low
GSTT1	3	4	Common_Low
GSTT2	3	4	Common_Low
GSTT4	3	4	Common_Low
GTF3C4	1	3	Common_Low
GULP1	2	1	Common_Low
H1-12	0	5	Common_Low
H1-2	0	2	Common_Low
H1-3	0	6	Common_Low
H2AC20	0	1	Common_Low
H2AC6	0	4	Common_Low
H2B	6	0	Common_Low
H2BC15	0	1	Common_Low
H2BC21	0	1	Common_Low
H2BC5	0	5	Common_Low
H2BC8	0	5	Common_Low
H3C6	0	6	Common_Low
H3C8	0	6	Common_Low
H4	3	0	Common_Low
H4C1	0	2	Common_Low
H4C12	0	1	Common_Low
H4C13	0	1	Common_Low
H4C16	0	6	Common_Low
H4C2	0	2	Common_Low
H4C3	0	2	Common_Low
H4C4	0	5	Common_Low
H4C6	0	6	Common_Low
H4C7	0	6	Common_Low
H4C8	0	6	Common_Low
HAGH	3	3	Common_Low
HAGHL	1	1	Common_Low
HAUS3	1	1	Common_Low
HAUS4	2	1	Common_Low
HBE2	1	0	Common_Low
HBG	1	0	Common_Low
HCFC1R1	1	1	Common_Low
HCN1	1	1	Common_Low
HDAC10	0	1	Common_Low
HEPACAM2	1	0	Common_Low
HERC4	2	2	Common_Low
HEXB	0	1	Common_Low
HFE	3	2	Common_Low
HFM1	2	2	Common_Low
HGF	0	1	Common_Low
HGFAC	2	6	Common_Low
HGS	1	1	Common_Low
HIBADH	1	1	Common_Low
HIC2	1	0	Common_Low
HID1	2	2	Common_Low
HIST1H1C	3	0	Common_Low
HIST1H1D	6	0	Common_Low
HIST1H1E	6	0	Common_Low
HIST1H2AC	6	0	Common_Low
HIST1H2BB	1	0	Common_Low
HIST1H2BD	6	0	Common_Low
HIST2H2AC	1	0	Common_Low
HIST2H2BE	1	0	Common_Low
HK3	1	0	Common_Low
HMCN1	0	1	Common_Low
HMG20A	2	1	Common_Low
HMG20B	1	0	Common_Low
HMGCL	2	2	Common_Low
HOOK2	1	1	Common_Low
HS3ST3B1	1	1	Common_Low
HSCB	1	0	Common_Low
HSD17B8	1	1	Common_Low
HSDL2	3	3	Common_Low
HSF1	6	6	Common_Low
HSF2BP	1	1	Common_Low
HSPA1A	1	0	Common_Low
HSPA1L	1	0	Common_Low
HSPBP1	1	1	Common_Low
ICAM1	1	0	Common_Low
ICAM3	2	0	Common_Low
ICAM5	1	0	Common_Low
IER5L	1	2	Common_Low
IFI30	1	1	Common_Low
IFITM1	0	2	Common_Low
IFITM3	0	4	Common_Low
IFT52	1	1	Common_Low
IGF2BP2	2	2	Common_Low
IGFALS	3	6	Common_Low
IGSF9	1	0	Common_Low
ILF3	1	1	Common_Low
ILRUN	1	0	Common_Low
ING1	2	0	Common_Low
ING5	3	3	Common_Low
INO80	1	0	Common_Low
INPP5E	4	5	Common_Low
INSL3	1	4	Common_Low
INTS1	1	0	Common_Low
INTS11	1	1	Common_Low
INTS13	0	1	Common_Low
IPO11	2	2	Common_Low
IPP	3	2	Common_Low
IQCF1	1	1	Common_Low
IQCF2	1	1	Common_Low
IQCF5	1	1	Common_Low
IQCG	2	1	Common_Low
IQGAP3	0	2	Common_Low
IQSEC1	2	0	Common_Low
IRF1	1	1	Common_Low
IRF3	2	2	Common_Low
IRF7	0	1	Common_Low
IRGQ	2	2	Common_Low
ISG15	2	2	Common_Low
ISOC2	1	2	Common_Low
ISY1	1	0	Common_Low
ITFG1	2	1	Common_Low
ITGB1	1	1	Common_Low
ITIH1	1	1	Common_Low
ITIH3	1	1	Common_Low
ITIH4	1	1	Common_Low
ITM2B	1	1	Common_Low
IZUMO3	2	1	Common_Low
JMJD1C	6	6	Common_Low
JMJD6	1	2	Common_Low
JPT1	2	2	Common_Low
JPT2	5	8	Common_Low
JUNB	1	1	Common_Low
KAT5	1	1	Common_Low
KBTBD8	3	0	Common_Low
KCNB1	1	6	Common_Low
KCND2	2	2	Common_Low
KCNJ14	1	1	Common_Low
KCNJ3	1	2	Common_Low
KCNMB2	2	2	Common_Low
KCNQ1	0	1	Common_Low
KCTD11	5	5	Common_Low
KDELR1	1	1	Common_Low
KDM3A	1	1	Common_Low
KIF20B	1	1	Common_Low
KIF21A	6	7	Common_Low
KIF22	1	2	Common_Low
KIF3C	2	0	Common_Low
KIFC2	6	5	Common_Low
KIRREL3	4	4	Common_Low
KLC1	1	0	Common_Low
KLF12	3	4	Common_Low
KLHDC1	2	1	Common_Low
KLHDC2	2	1	Common_Low
KLHDC3	0	1	Common_Low
KLHL1	1	1	Common_Low
KLHL22	1	1	Common_Low
KLHL23	0	1	Common_Low
KNTC1	2	2	Common_Low
KRI1	1	1	Common_Low
KRT78	1	1	Common_Low
KRT79	1	1	Common_Low
KRT8	1	1	Common_Low
KYAT1	2	3	Common_Low
L3MBTL2	1	1	Common_Low
LARP4B	1	0	Common_Low
LCORL	5	9	Common_Low
LENG1	3	3	Common_Low
LFNG	7	7	Common_Low
LHPP	1	1	Common_Low
LHX3	1	2	Common_Low
LIMK1	1	1	Common_Low
LIPI	0	1	Common_Low
LIX1L	1	0	Common_Low
LLGL1	1	0	Common_Low
LLGL2	1	0	Common_Low
LMBRD1	0	1	Common_Low
LMO3	1	1	Common_Low
LMO4	1	1	Common_Low
LMOD1	1	0	Common_Low
LOC100125776	0	2	Common_Low
LOC100125913	1	0	Common_Low
LOC100125949	1	1	Common_Low
LOC100196899	2	2	Common_Low
LOC100196901	3	6	Common_Low
LOC100847712	0	8	Common_Low
LOC100848815	67	0	High_Freq_list_1
LOC107131142	0	2	Common_Low
LOC115945165	0	2	Common_Low
LOC115945171	0	1	Common_Low
LOC115945173	0	1	Common_Low
LOC506989	2	1	Common_Low
LOC511617	3	4	Common_Low
LOC512150	1	0	Common_Low
LOC516108	2	2	Common_Low
LOC534155	3	3	Common_Low
LOC538060	17	0	Common_Low
LOC616942	19	5	Common_Low
LOC617875	6	0	Common_Low
LOC618071	1	0	Common_Low
LOC751574	0	1	Common_Low
LOC781988	1	1	Common_Low
LOC782061	34	38	Common_High
LOC784768	1	0	Common_Low
LOC785762	0	2	Common_Low
LOC786948	3	3	Common_Low
LOC788572	3	0	Common_Low
LOC790886	5	16	Common_Low
LPAR1	1	1	Common_Low
LRCH4	6	6	Common_Low
LRFN5	1	1	Common_Low
LRIG3	2	1	Common_Low
LRP10	2	1	Common_Low
LRPAP1	3	3	Common_Low
LRRC14	2	1	Common_Low
LRRC24	2	1	Common_Low
LRRC39	1	0	Common_Low
LRRC45	6	6	Common_Low
LRRC46	0	1	Common_Low
LRRC7	2	2	Common_Low
LRRC8A	2	3	Common_Low
LRRIQ1	5	4	Common_Low
LRRK2	1	1	Common_Low
LRRTM3	1	1	Common_Low
LSM2	1	0	Common_Low
LTA	1	0	Common_Low
LTF	0	1	Common_Low
LTN1	1	2	Common_Low
LUZP2	2	3	Common_Low
LY6G5B	1	0	Common_Low
LY6G6C	1	0	Common_Low
LY6G6E	1	0	Common_Low
LY6G6F	1	0	Common_Low
LYPLA1	4	3	Common_Low
LYPLA2	1	2	Common_Low
LYRM4	1	1	Common_Low
LYST	1	0	Common_Low
MACROD1	0	1	Common_Low
MAD1L1	1	1	Common_Low
MAEA	1	1	Common_Low
MAF1	4	2	Common_Low
MAFG	3	4	Common_Low
MAMDC4	6	6	Common_Low
MAMSTR	1	1	Common_Low
MAP2K2	5	1	Common_Low
MAP3K1	0	1	Common_Low
MAP3K8	1	1	Common_Low
MAPK11	1	4	Common_Low
MAPK12	1	4	Common_Low
MAPK15	1	1	Common_Low
MAPK8IP3	5	8	Common_Low
MARCH5	1	0	Common_Low
MARK1	1	0	Common_Low
MBD3	3	0	Common_Low
MBOAT7	3	3	Common_Low
MCAT	1	1	Common_Low
MCRIP1	2	4	Common_Low
MCRIP2	2	2	Common_Low
ME2	1	1	Common_Low
MEA1	0	1	Common_Low
MED15	1	0	Common_Low
MED22	1	1	Common_Low
MEI1	1	1	Common_Low
MEPCE	1	1	Common_Low
METRN	2	2	Common_Low
METTL22	0	1	Common_Low
METTL23	1	2	Common_Low
METTL26	2	2	Common_Low
METTL5	0	1	Common_Low
MFSD11	1	2	Common_Low
MFSD14A	1	0	Common_Low
MFSD3	2	1	Common_Low
MGAT4C	1	2	Common_Low
MGC134040	0	2	Common_Low
MGC137055	1	0	Common_Low
MGC138914	1	0	Common_Low
MGC139164	0	1	Common_Low
MGLL	2	2	Common_Low
MIC1	1	0	Common_Low
MICALL2	1	0	Common_Low
MIER3	3	2	Common_Low
MIF	2	2	Common_Low
MIGA2	1	2	Common_Low
MIR1-1	1	0	Common_Low
MIR10164	3	3	Common_Low
MIR10179	3	3	Common_Low
MIR11972	1	0	Common_Low
MIR11980	4	5	Common_Low
MIR11982	1	1	Common_Low
MIR11998	1	1	Common_Low
MIR12014	2	2	Common_Low
MIR12015	1	2	Common_Low
MIR12019	2	2	Common_Low
MIR12020	0	1	Common_Low
MIR12025	1	1	Common_Low
MIR12026-1	1	0	Common_Low
MIR12029	7	7	Common_Low
MIR12045	1	1	Common_Low
MIR12056	1	2	Common_Low
MIR1225	3	3	Common_Low
MIR124B	5	4	Common_Low
MIR1256	2	1	Common_Low
MIR126	3	5	Common_Low
MIR1281	1	1	Common_Low
MIR1306	4	3	Common_Low
MIR130B	1	0	Common_Low
MIR133A-1	1	0	Common_Low
MIR133C	1	0	Common_Low
MIR1388	1	0	Common_Low
MIR148C	3	1	Common_Low
MIR151	1	1	Common_Low
MIR152	3	1	Common_Low
MIR1777A	3	3	Common_Low
MIR1839	5	2	Common_Low
MIR1842	2	2	Common_Low
MIR185	4	3	Common_Low
MIR193A-2	1	1	Common_Low
MIR200A	1	1	Common_Low
MIR200B	1	1	Common_Low
MIR210	0	1	Common_Low
MIR219-1	0	1	Common_Low
MIR219-2	1	1	Common_Low
MIR219B	0	1	Common_Low
MIR2284Y-5	1	1	Common_Low
MIR2284Z-1	1	1	Common_Low
MIR2284Z-2	0	1	Common_Low
MIR2285AL	1	1	Common_Low
MIR2285BS	2	2	Common_Low
MIR2285CC	1	0	Common_Low
MIR2285DL-2	1	0	Common_Low
MIR2285J-1	2	2	Common_Low
MIR2285M-5	1	1	Common_Low
MIR2285X	1	1	Common_Low
MIR2293	1	1	Common_Low
MIR2307	1	1	Common_Low
MIR2308	2	1	Common_Low
MIR2309	3	2	Common_Low
