Chr	bin	name	strand	Start	End	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames	CNVR_ID	i.Start	i.End	Frequent	0	1	3	4	Type	Length	Check_gene
1	1133	NM_001206727	+	71867079	71956263	71911218	71952257	15	71867079,71911197,71926966,71927395,71929073,71930041,71932794,71934318,71936058,71936591,71938153,71940334,71942676,71951578,71952170,	71867120,71911405,71927067,71927543,71929105,71930149,71932927,71934382,71936107,71936704,71938271,71940434,71942873,71951716,71956263,	0	PAK2	cmpl	cmpl	-1,0,1,0,1,0,0,1,2,0,2,0,1,0,0,	CNVR_29	71931770	71952197	1		1			Loss	20428	Has-gene
1																CNVR_30	76322131	76522594	2		2			Loss	200464	Without-gene
1	1176	NM_174519	-	77469356	77492294	77471214	77492020	6	77469356,77470996,77472149,77474618,77478113,77491849,	77470980,77471348,77472341,77474783,77478216,77492294,	0	CLDN16	cmpl	cmpl	-1,1,1,1,0,0,	CNVR_31	77463246	77559630	1		1			Loss	96385	Has-gene
1	151	NM_001192504	+	81992397	82161528	81992468	82161355	16	81992397,81994238,82120820,82121831,82124816,82127882,82130025,82134283,82134759,82137258,82148033,82148952,82153596,82159408,82159870,82161262,	81992646,81994299,82120869,82121883,82124880,82128155,82130160,82134406,82134895,82137387,82148102,82149069,82153671,82159540,82159984,82161528,	0	IGF2BP2	cmpl	cmpl	0,1,2,0,1,2,2,2,2,0,0,0,0,0,0,0,	CNVR_32	81933912	82007029	8			8		Gain	73118	Has-gene
1	153	NM_001076979	-	84366237	84428658	84367881	84428220	3	84366237,84367742,84427191,	84366793,84367896,84428658,	0	B3GNT5	cmpl	cmpl	-1,0,0,	CNVR_33	84321230	84424501	6		6			Loss	103272	Has-gene
1	153	NM_001102233	+	84656318	84689039	84673428	84688979	7	84656318,84673386,84674794,84677159,84687176,84687508,84688899,	84656442,84673603,84674963,84677290,84687259,84687605,84689039,	0	DCUN1D1	cmpl	cmpl	-1,0,1,2,1,0,1,	CNVR_34	84679123	84790848	3		2	1		Mixed	111726	Has-gene
1	157	NM_001080300	-	88784263	89049226	88785047	88820693	5	88784263,88799916,88803192,88820637,89049141,	88785332,88800112,88803363,88820760,89049226,	0	KCNMB2	cmpl	cmpl	0,2,2,0,-1,	CNVR_35	88689962	88904687	2			2		Gain	214726	Has-gene
1																CNVR_36	91304175	93306012	16		14	2		Mixed	2001838	Without-gene
1	1313	NM_001097573	-	95475795	95536054	95476967	95531172	25	95475795,95480439,95481615,95490217,95491683,95494204,95494735,95497290,95499200,95499959,95501211,95512188,95518935,95521451,95523281,95523659,95523918,95524745,95525728,95526958,95528429,95530129,95530333,95531042,95535980,	95477057,95480586,95481723,95490372,95491822,95494324,95494814,95497372,95499297,95500070,95501280,95512308,95519072,95521674,95523344,95523775,95524049,95524819,95525836,95527048,95528612,95530222,95530413,95531194,95536054,	0	ECT2	cmpl	cmpl	0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,-1,	CNVR_37	95472704	95571642	2		2			Loss	98939	Has-gene
1	170	NM_001076906	+	102337847	102410043	102337856	102409560	3	102337847,102396764,102409435,	102339373,102396931,102410043,	0	BCHE	cmpl	cmpl	0,2,1,	CNVR_38	101366448	106295981	29		12	13	4	Mixed	4929534	Has-gene
1	171	NM_001114189	+	103088852	103204728	103088852	103204728	47	103088852,103090188,103092113,103092526,103093566,103095213,103097001,103098180,103100420,103102731,103102949,103104899,103113436,103117018,103119127,103122839,103124861,103125974,103126951,103127708,103129676,103132941,103134279,103142421,103152694,103154496,103156078,103157828,103158032,103158234,103159827,103161652,103164198,103166205,103167729,103168749,103173591,103174641,103174763,103178049,103181151,103181318,103181973,103185245,103201168,103201676,103204659,	103088970,103090283,103092231,103092636,103093718,103095385,103097101,103098293,103100546,103102863,103103069,103105013,103113521,103117136,103119299,103122956,103125016,103126059,103127008,103127833,103129765,103132991,103134450,103142577,103152898,103154651,103156247,103157925,103158145,103158360,103159956,103161763,103164261,103166322,103167817,103168888,103173725,103174676,103174880,103178198,103181236,103181375,103182098,103185334,103201218,103201844,103204728,	0	SI	cmpl	cmpl	0,1,0,1,0,2,0,1,0,0,0,0,0,1,2,0,0,2,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,1,0,0,2,0,0,2,1,0,0,	CNVR_38	101366448	106295981	29		12	13	4	Mixed	4929534	Has-gene
1	22	NM_001205989	-	114292212	114431455	114292760	114431455	14	114292212,114294992,114296278,114309983,114332740,114338219,114351622,114355087,114357879,114399769,114403164,114425016,114428656,114430375,	114292903,114295097,114296346,114310193,114332895,114338309,114351697,114355217,114358032,114399930,114403221,114425162,114428696,114431455,	0	ARHGEF26	cmpl	cmpl	1,1,2,2,0,0,0,2,2,0,0,1,0,0,	CNVR_39	114338523	114398474	1		1			Loss	59952	Has-gene
1																CNVR_40	121341406	121398453	1		1			Loss	57048	Without-gene
1																CNVR_41	121969114	122536730	3		2	1		Mixed	567617	Without-gene
1																CNVR_42	123876268	124757959	14		4	8	2	Mixed	881692	Without-gene
1	194	NM_001035473	+	127736165	127814893	127736220	127814692	14	127736165,127773608,127778805,127785754,127786367,127786511,127786781,127788993,127790484,127801499,127809209,127810222,127811162,127814546,	127736369,127773702,127778937,127785830,127786429,127786585,127786842,127789120,127790589,127801594,127809313,127810282,127811296,127814893,	0	GK5	cmpl	cmpl	0,2,0,0,1,0,2,0,1,1,0,2,2,1,	CNVR_43	127699890	127841330	1		1			Loss	141441	Has-gene
1	212	NM_001035493	-	146345937	146436999	146346453	146435890	9	146345937,146385079,146400436,146409188,146411600,146418098,146434966,146435854,146436904,	146346662,146385183,146400554,146409321,146411750,146418202,146435117,146436109,146436999,	0	HSF2BP	cmpl	cmpl	1,2,1,0,0,1,0,0,-1,	CNVR_44	146384457	146455377	1		1			Loss	70921	Has-gene
1	221	NM_001192255	+	155618262	155833445	155618262	155831623	6	155618262,155739965,155744948,155778661,155799464,155831443,	155618525,155742452,155745152,155778737,155799574,155833445,	0	PLCL2	incmpl	cmpl	1,0,0,0,1,0,	CNVR_45	155772311	155802431	2			2		Gain	30121	Has-gene
2																CNVR_46	2254298	2303356	5		5			Loss	49059	Without-gene
2	80	NM_001079509	-	7830306	8068230	7830324	7907003	6	7830306,7843248,7850055,7900892,7906975,8068102,	7830633,7843347,7850127,7900954,7907052,8068230,	0	GULP1	cmpl	cmpl	0,0,0,1,0,-1,	CNVR_47	7492224	8025628	1		1			Loss	533405	Has-gene
2	652	NM_001244204	+	8786392	8884005	8835690	8883986	8	8786392,8835664,8847021,8860850,8864083,8865331,8882798,8883876,	8786523,8835799,8847219,8860895,8864260,8865427,8882978,8884005,	0	TFPI	cmpl	cmpl	-1,0,1,1,1,1,1,1,	CNVR_48	8798194	9454144	24		21	3		Mixed	655951	Has-gene
2	81	NM_001102107	+	8901431	9030990	8981051	9028168	15	8901431,8979438,8979704,8981013,8983362,8986428,8986634,8988120,9012772,9015964,9019704,9019848,9023945,9024320,9027952,	8901629,8979529,8979793,8981105,8983486,8986543,8986747,8988212,9012899,9016118,9019765,9019915,9024164,9024362,9030990,	0	CALCRL	cmpl	cmpl	-1,-1,-1,0,0,0,1,0,2,0,1,2,0,0,0,	CNVR_48	8798194	9454144	24		21	3		Mixed	655951	Has-gene
2																CNVR_49	10072695	13079835	22		12	9	1	Mixed	3007141	Without-gene
2	91	NM_001206719	-	19339166	19510691	19341047	19510681	20	19339166,19357351,19360947,19364348,19369186,19370087,19376496,19378415,19384960,19395481,19403026,19405629,19415480,19416850,19418479,19421551,19421722,19424595,19433085,19510421,	19341169,19357409,19361047,19364438,19369248,19370157,19376609,19378492,19385012,19395609,19403135,19405755,19415561,19416930,19418551,19421626,19421843,19424686,19433175,19510691,	0	AGPS	cmpl	cmpl	1,0,2,2,0,2,0,1,0,1,0,0,0,1,1,1,0,2,2,0,	CNVR_50	19363187	19423385	1		1			Loss	60199	Has-gene
2	96	NM_001101194	+	24678581	24777204	24678646	24776305	18	24678581,24679611,24699212,24715048,24723281,24734116,24736404,24737200,24738892,24750958,24752304,24755393,24755836,24769756,24771844,24774394,24774677,24776106,	24678658,24679659,24699355,24715164,24723421,24734263,24736543,24737294,24738977,24751040,24752463,24755446,24755917,24769897,24771983,24774553,24774768,24777204,	0	SLC25A12	cmpl	cmpl	0,0,0,2,1,0,0,1,2,0,1,1,0,0,0,1,1,2,	CNVR_51	24714894	24857245	2		2			Loss	142352	Has-gene
2	774	NM_001075883	-	24806837	24861024	24807356	24859469	16	24806837,24809676,24811646,24824222,24825271,24825705,24826175,24827214,24827833,24828038,24828422,24838873,24846823,24857085,24859361,24860924,	24807406,24809802,24811787,24824367,24825405,24825819,24826322,24827340,24827933,24828201,24828518,24838989,24846914,24857203,24859478,24861024,	0	DYNC1I2	cmpl	cmpl	1,0,0,2,0,0,0,0,2,1,1,2,1,0,0,-1,	CNVR_51	24714894	24857245	2		2			Loss	142352	Has-gene
2	780	NM_001038535	-	25566348	25599241	25567062	25599076	10	25566348,25568973,25572179,25575614,25577410,25581928,25582722,25583495,25585178,25599013,	25567409,25569084,25572266,25575738,25577543,25582059,25582809,25583699,25585259,25599241,	0	GORASP2	cmpl	cmpl	1,1,1,0,2,0,0,0,0,0,	CNVR_52	25438405	25638543	3	1	2			Loss	200139	Has-gene
2	786	NR_162380	+	26449649	26449719	26449719	26449719	1	26449649,	26449719,	0	MIR12020	unk	unk	-1,	CNVR_53	26362611	26663654	12		10	2		Mixed	301044	Has-gene
2	787	NM_001099135	+	26582628	26592946	26582942	26592883	8	26582628,26584602,26585076,26585249,26586104,26591360,26592408,26592844,	26583051,26584717,26585249,26585257,26586187,26591412,26592458,26592946,	0	METTL5	cmpl	cmpl	0,1,2,2,1,0,1,0,	CNVR_53	26362611	26663654	12		10	2		Mixed	301044	Has-gene
2	787	NM_176665	-	26591740	26599728	26592947	26599717	11	26591740,26593329,26593717,26594159,26595504,26595878,26596727,26596912,26597652,26597914,26599651,	26593033,26593461,26593904,26594300,26595547,26595950,26596828,26597020,26597827,26598018,26599728,	0	SSB	cmpl	cmpl	1,1,0,0,2,2,0,0,2,0,0,	CNVR_53	26362611	26663654	12		10	2		Mixed	301044	Has-gene
2	788	NM_001205507	-	26617808	26637610	26619584	26636478	4	26617808,26631557,26635265,26637397,	26619895,26631710,26636480,26637610,	0	KLHL23	cmpl	cmpl	1,1,0,-1,	CNVR_53	26362611	26663654	12		10	2		Mixed	301044	Has-gene
2	788	NM_001045965	-	26660794	26665974	26660805	26661531	4	26660794,26664023,26665232,26665769,	26661557,26664194,26665266,26665974,	0	PHOSPHO2	cmpl	cmpl	0,-1,-1,-1,	CNVR_53	26362611	26663654	12		10	2		Mixed	301044	Has-gene
2	793	NM_001046257	-	27317637	27380506	27317715	27380451	16	27317637,27321134,27322328,27323355,27326591,27327992,27335301,27335524,27341449,27347541,27350400,27353119,27353402,27356895,27369949,27380424,	27317852,27321224,27322440,27323481,27326680,27328101,27335427,27335623,27341575,27347640,27350463,27353201,27353465,27356979,27370035,27380506,	0	NOSTRIN	cmpl	cmpl	1,1,0,0,1,0,0,0,0,0,0,2,2,2,0,0,	CNVR_54	27366556	28035273	25		1	24		Mixed	668718	Has-gene
2	99	NM_001193132	-	27407916	27758923	27407916	27758923	10	27407916,27411145,27463675,27467085,27486818,27489266,27550901,27641524,27653076,27758753,	27408069,27411302,27463782,27467214,27486911,27489317,27550959,27641655,27653182,27758923,	0	CERS6	cmpl	cmpl	0,2,0,0,0,0,2,0,2,0,	CNVR_54	27366556	28035273	25		1	24		Mixed	668718	Has-gene
2	795	NR_031070	-	27629812	27629887	27629887	27629887	1	27629812,	27629887,	0	MIR2353	unk	unk	-1,	CNVR_54	27366556	28035273	25		1	24		Mixed	668718	Has-gene
2	798	NM_001075826	+	27924667	28017775	27924730	28017172	5	27924667,27991506,28012364,28015662,28017030,	27924917,27991619,28012473,28015804,28017775,	0	STK39	cmpl	cmpl	0,1,0,1,2,	CNVR_54	27366556	28035273	25		1	24		Mixed	668718	Has-gene
2																CNVR_55	29773324	29812959	1		1			Loss	39636	Without-gene
2																CNVR_56	31985603	32553252	1			1		Gain	567650	Without-gene
2																CNVR_57	33138898	33471080	2		1		1	Mixed	332183	Without-gene
2	105	NM_001098001	+	34297725	34376829	34299338	34376531	27	34297725,34299162,34299675,34317019,34318305,34319318,34321860,34325677,34326446,34327488,34329736,34331636,34336043,34342529,34342732,34345410,34347181,34352078,34357931,34358488,34359299,34365167,34372803,34374041,34374588,34374921,34376429,	34297935,34299344,34299760,34317118,34318400,34319393,34321913,34325750,34326567,34327643,34329840,34331772,34336088,34342634,34342803,34345464,34347306,34352126,34358030,34358558,34359494,34365222,34372903,34374106,34374661,34374995,34376829,	0	FAP	cmpl	cmpl	-1,0,0,1,1,0,0,2,0,1,0,2,0,0,0,2,2,1,1,1,2,2,0,1,0,1,0,	CNVR_58	34313190	34357095	1		1			Loss	43906	Has-gene
2	13	NM_001038128	-	34578608	34826834	34585181	34826739	27	34578608,34579682,34585155,34586021,34588691,34598718,34599556,34606008,34607266,34617589,34618951,34620550,34676969,34677615,34678319,34681447,34689104,34692685,34697206,34705411,34706468,34715807,34727395,34742280,34757264,34792525,34826694,	34579643,34580700,34585194,34586138,34588759,34598841,34599730,34606077,34607518,34617751,34619065,34620713,34677215,34677749,34678494,34681548,34689251,34692773,34697364,34705501,34706560,34715996,34727556,34742419,34757411,34792607,34826834,	0	SLC4A10	cmpl	cmpl	-1,-1,2,2,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,1,1,2,1,1,0,0,	CNVR_59	34655947	34806950	1		1			Loss	151004	Has-gene
2																CNVR_60	35852731	35898373	4		3	1		Mixed	45643	Without-gene
2	107	NM_175051	+	36373938	36508295	36374219	36507042	30	36373938,36393642,36397901,36411495,36415788,36416389,36425553,36426875,36430357,36434402,36444175,36459864,36462096,36467076,36469925,36470634,36471424,36480685,36481024,36482800,36491212,36492007,36492470,36495883,36498554,36500794,36502809,36504190,36506673,36506827,	36374328,36394026,36398075,36411669,36415902,36416533,36425748,36427033,36430456,36434515,36444345,36460067,36462242,36467161,36470058,36470670,36471582,36480750,36481131,36482940,36491330,36492138,36492615,36496122,36498723,36500935,36502926,36504367,36506706,36508295,	0	PLA2R1	cmpl	cmpl	0,1,1,1,1,1,1,1,0,0,2,1,0,2,0,1,1,0,2,1,0,1,0,1,0,1,1,1,1,1,	CNVR_61	36438945	36483235	1			1		Gain	44291	Has-gene
2	112	NM_001192624	-	41361136	41491255	41361198	41491255	3	41361136,41480486,41490553,	41361785,41480703,41491255,	0	KCNJ3	cmpl	cmpl	1,0,0,	CNVR_62	40725572	42454257	12		4	6	2	Mixed	1728686	Has-gene
2	1	NM_001076886	-	41791614	42444576	41791845	42371758	13	41791614,41805964,41840047,41853888,41990199,42015064,42032446,42035686,42036530,42142120,42371616,42411501,42444255,	41791986,41806099,41840146,41854028,41990380,42015182,42032617,42035894,42036697,42142289,42371862,42411572,42444576,	0	GALNT13	cmpl	cmpl	0,0,0,1,0,2,2,1,2,1,0,-1,-1,	CNVR_62	40725572	42454257	12		4	6	2	Mixed	1728686	Has-gene
2																CNVR_63	48116316	48169527	1		1			Loss	53212	Without-gene
2	15	NM_001105003	-	53065402	53764906	53065586	53732838	14	53065402,53128397,53208752,53278661,53317420,53354172,53410543,53411902,53614625,53636226,53653447,53673194,53732673,53764843,	53065758,53128503,53208887,53278739,53317519,53354295,53410673,53412001,53614715,53636314,53653509,53673263,53732852,53764906,	0	ARHGAP15	cmpl	cmpl	2,1,1,1,1,1,0,0,0,2,0,0,0,-1,	CNVR_64	53239315	53502146	1		1			Loss	262832	Has-gene
2																CNVR_65	54409482	54537783	2		2			Loss	128302	Without-gene
2																CNVR_66	55604646	56787824	20		13	4	3	Mixed	1183179	Without-gene
2																CNVR_67	57481115	57545373	3		3			Loss	64259	Without-gene
2																CNVR_68	63897151	64043648	31			31		Gain	146498	Without-gene
2																CNVR_69	64242565	64674458	1		1			Loss	431894	Without-gene
2																CNVR_70	66962526	67055991	1			1		Gain	93466	Without-gene
2																CNVR_71	67098288	67165879	1		1			Loss	67592	Without-gene
2	137	NM_001078070	+	67307817	68111289	67307866	68110779	27	67307817,67485230,67533793,67716559,67723006,67742698,67935916,67936069,67972419,67982839,67990496,68002330,68018085,68028748,68058311,68058820,68062381,68063820,68073156,68073362,68089001,68090140,68104627,68104980,68105147,68108681,68110644,	67307938,67485345,67533889,67716658,67723018,67742776,67935969,67936151,67972540,67982994,67990594,68002454,68018124,68028856,68058403,68058868,68062503,68063868,68073255,68073432,68089196,68090195,68104727,68105039,68105220,68108755,68111289,	0	DPP10	cmpl	cmpl	0,0,1,1,2,0,0,2,0,1,0,2,0,0,0,2,2,1,1,1,2,2,0,1,0,1,0,	CNVR_72	67932103	68799921	14		9	3	2	Mixed	867819	Has-gene
2	17	NM_001192488	-	73379884	73441557	73380231	73441557	15	73379884,73381336,73385828,73388211,73389194,73391346,73391528,73393511,73396057,73399960,73401553,73402305,73402966,73437985,73441495,	73380278,73381388,73385971,73388315,73389285,73391440,73391577,73393603,73396168,73400113,73401660,73402411,73403043,73438137,73441557,	0	TFCP2L1	cmpl	cmpl	1,0,1,2,1,0,2,0,0,0,1,0,1,2,0,	CNVR_73	73412080	73470644	1			1		Gain	58565	Has-gene
2																CNVR_74	77398839	78765282	15		7	6	2	Mixed	1366444	Without-gene
2																CNVR_75	81300918	83656962	17		7	8	2	Mixed	2356045	Without-gene
2																CNVR_76	88066641	88169868	1		1			Loss	103228	Without-gene
2																CNVR_77	97228461	97443820	1		1			Loss	215360	Without-gene
2	166	NM_001076936	-	98416820	98456944	98417197	98456858	11	98416820,98422307,98424583,98438495,98439355,98440102,98443671,98444057,98446667,98448367,98456781,	98417291,98422394,98424711,98438609,98439457,98440267,98443738,98444222,98446805,98448522,98456944,	0	ACADL	cmpl	cmpl	2,2,0,0,0,0,2,2,2,2,0,	CNVR_78	98446391	98490521	1			1		Gain	44131	Has-gene
2																CNVR_79	100134988	100620120	3		1	1	1	Mixed	485133	Without-gene
2	1401	NM_001034713	+	106978525	107006143	106978780	107005717	11	106978525,106978772,106986880,106988132,106992230,106994629,106995409,107000954,107002588,107002997,107005692,	106978559,106978854,106986915,106988245,106992276,106994816,106995503,107001081,107002689,107003098,107006143,	0	ARPC2	cmpl	cmpl	-1,0,2,1,0,1,2,0,1,0,2,	CNVR_80	106984473	107192324	1			1		Gain	207852	Has-gene
2	1401	NM_175049	+	107011784	107014997	107013858	107014848	2	107011784,107013813,	107011965,107014997,	0	GPBAR1	cmpl	cmpl	-1,0,	CNVR_80	106984473	107192324	1			1		Gain	207852	Has-gene
