Chr	name	bin	strand	Start	End	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	en_id	cdsStartStat	cdsEndStat	exonFrames	name2	ID	i.Start	i.End	Frequency	n_Sample	0	1	3	4	Type	Length	Check_gene
1	ENSBTAT00000026800.5	639	+	7167840	7170830	7167840	7170830	4	7167840,7168136,7168320,7170595,	7168047,7168204,7168683,7170830,	0	ENSBTAG00000020121.6	cmpl	cmpl	0,0,2,2,	RWDD2B	CNVR_6	7159731	7202401	1	1			1		Gain	42671	Has_gene
1	ENSBTAT00000032432.5	79	+	7183912	7240822	7183912	7240373	30	7183912,7189373,7190175,7191303,7193836,7194655,7199627,7200746,7201980,7202952,7204447,7207063,7207920,7208775,7209726,7210331,7212125,7213237,7216915,7221271,7221597,7222644,7223354,7224146,7230181,7234669,7235933,7237680,7239240,7240310,	7183954,7189577,7190274,7191534,7193889,7194836,7199801,7200937,7202116,7203762,7204489,7207253,7208160,7208929,7209871,7210518,7212285,7213342,7217058,7221407,7221742,7222858,7223592,7224221,7230368,7234841,7236154,7237875,7239408,7240822,	0	ENSBTAG00000000201.6	cmpl	cmpl	0,0,0,0,0,2,0,0,2,0,0,0,1,1,2,0,1,2,2,1,2,0,1,2,2,0,1,0,0,0,	LTN1	CNVR_6	7159731	7202401	1	1			1		Gain	42671	Has_gene
1	ENSBTAT00000001851.5	640	-	7267112	7280970	7267902	7280970	6	7267112,7269089,7272920,7276636,7277452,7280698,	7268009,7269231,7273004,7276727,7277539,7280970,	0	ENSBTAG00000001412.5	cmpl	cmpl	1,0,0,2,2,0,	N6AMT1	CNVR_7	7260253	7280774	1	1			1		Gain	20522	Has_gene
1																	CNVR_8	8831407	8873776	2	2		2			Loss	42370	Non_gene
1																	CNVR_9	9666125	9708099	1	1			1		Gain	41975	Non_gene
1																	CNVR_10	10954721	11033253	1	1		1			Loss	78533	Non_gene
1	ENSBTAT00000054428.3	673	+	11580797	11581218	11580861	11581164	1	11580797,	11581218,	0	ENSBTAG00000038900.3	cmpl	cmpl	0,	54428.3	CNVR_11	11541372	11604750	2	2		2			Loss	63379	Has_gene
1																	CNVR_12	12453794	13395358	4	4		1	2	1	Mixed	941565	Non_gene
1																	CNVR_13	13643769	13735139	1	1		1			Loss	91371	Non_gene
1	ENSBTAT00000034421.4	87	-	15324269	15556567	15324269	15556567	18	15324269,15329350,15334005,15368449,15385237,15390035,15414090,15425445,15430106,15471859,15495335,15498240,15504103,15537255,15545503,15547783,15551909,15556561,	15324381,15329470,15334210,15368630,15385359,15390155,15414264,15425542,15430294,15472010,15495481,15498401,15504221,15537393,15545647,15547990,15552033,15556567,	0	ENSBTAG00000003301.6	cmpl	incmpl	2,2,1,0,1,1,1,0,1,0,1,2,1,1,1,1,0,0,	NCAM2	CNVR_14	14064963	15727563	24	22		13	10	1	Mixed	1662601	Has_gene
1																	CNVR_15	15990556	16114873	2	2		2			Loss	124318	Non_gene
1																	CNVR_16	16378859	18309665	65	48	1	34	27	3	Mixed	1930807	Non_gene
1																	CNVR_17	18918611	19206010	2	2		2			Loss	287400	Non_gene
1	ENSBTAT00000082732.1	92	-	20436468	20583230	20583230	20583230	3	20436468,20511386,20582820,	20437111,20511432,20583230,	0	ENSBTAG00000054337.1	none	none	-1,-1,-1,	82732.1	CNVR_18	20541415	20566611	1	1		1			Loss	25197	Has_gene
1	ENSBTAT00000084992.1	92	-	20511330	20582796	20582796	20582796	2	20511330,20582706,	20511432,20582796,	0	ENSBTAG00000054337.1	none	none	-1,-1,	84992.1	CNVR_18	20541415	20566611	1	1		1			Loss	25197	Has_gene
1	ENSBTAT00000085450.1	95	+	23167948	23216105	23216105	23216105	3	23167948,23196528,23215900,	23168142,23196650,23216105,	0	ENSBTAG00000048578.1	none	none	-1,-1,-1,	85450.1	CNVR_19	23172053	25019922	8	8		3	5		Mixed	1847870	Has_gene
1	ENSBTAT00000064983.2	771	+	24414163	24482074	24414182	24481682	2	24414163,24481341,	24414231,24482074,	0	ENSBTAG00000046755.2	incmpl	cmpl	0,1,	64983.2	CNVR_19	23172053	25019922	8	8		3	5		Mixed	1847870	Has_gene
1	ENSBTAT00000048830.4	96	+	24870587	25065331	24879500	25065331	27	24870587,24876422,24879482,24896228,24921243,24926247,24947028,24952189,24958060,24963584,24964100,24965852,24970194,24978350,24981764,24985859,25001229,25011346,25012821,25018418,25024267,25036181,25041073,25051732,25054490,25063375,25065329,	24870636,24876580,24879603,24896367,24921371,24926259,24947153,24952361,24958266,24963666,24964263,24966019,24970316,24978582,24981889,24986031,25001412,25011389,25012949,25018700,25024424,25036442,25041279,25051915,25054664,25063576,25065331,	0	ENSBTAG00000010462.6	cmpl	cmpl	-1,-1,0,1,2,1,1,0,1,0,1,2,1,0,1,0,1,1,2,1,1,2,2,1,1,1,1,	ROBO2	CNVR_19	23172053	25019922	8	8		3	5		Mixed	1847870	Has_gene
1																	CNVR_20	25470169	25495578	1	1		1			Loss	25410	Non_gene
1																	CNVR_21	26533913	27099907	5	5		1	3	1	Mixed	565995	Non_gene
1																	CNVR_22	27876441	28272873	3	3		3			Loss	396433	Non_gene
1																	CNVR_23	29712048	29773499	1	1		1			Loss	61452	Non_gene
1																	CNVR_24	30472317	32511532	35	29		20	13	2	Mixed	2039216	Non_gene
1	ENSBTAT00000065519.2	838	+	33282080	33285538	33282080	33285538	3	33282080,33284941,33285230,	33282094,33285183,33285538,	0	ENSBTAG00000045974.2	cmpl	cmpl	0,2,1,	65519.2	CNVR_25	33034361	33342088	1	1			1		Gain	307728	Has_gene
1																	CNVR_26	33584316	33610831	3	3		2	1		Mixed	26516	Non_gene
1																	CNVR_27	38112817	38181686	12	12		12			Loss	68870	Non_gene
1																	CNVR_28	38752163	40795725	38	34		20	17	1	Mixed	2043563	Non_gene
1	ENSBTAT00000061591.3	1	+	41409770	41994030	41409770	41994030	16	41409770,41414215,41434572,41601597,41649332,41687886,41689885,41697952,41737240,41824905,41847278,41869454,41962679,41978494,41992298,41993915,	41409808,41414364,41434908,41601722,41649495,41687995,41689956,41698078,41737426,41825031,41847340,41869664,41962829,41978688,41992448,41994030,	0	ENSBTAG00000044111.3	incmpl	cmpl	0,2,1,1,0,1,2,1,1,1,1,0,0,0,2,2,	EPHA6	CNVR_29	41184151	41455680	2	2			2		Gain	271530	Has_gene
1	ENSBTAT00000008047.6	908	+	42466126	42467104	42466126	42467104	1	42466126,	42467104,	0	ENSBTAG00000022908.5	incmpl	cmpl	0,	OR5H30	CNVR_30	42466675	42574052	2	2		2			Loss	107378	Has_gene
1	ENSBTAT00000069928.1	909	+	42489712	42490705	42489712	42490705	1	42489712,	42490705,	0	ENSBTAG00000051584.1	cmpl	cmpl	0,	OR5H32	CNVR_30	42466675	42574052	2	2		2			Loss	107378	Has_gene
1	ENSBTAT00000077395.1	909	+	42547338	42548863	42547338	42548863	2	42547338,42547917,	42547364,42548863,	0	ENSBTAG00000051784.1	cmpl	cmpl	0,2,	OR5H33	CNVR_30	42466675	42574052	2	2		2			Loss	107378	Has_gene
1	ENSBTAT00000067409.1	909	+	42571918	42572848	42571918	42572848	1	42571918,	42572848,	0	ENSBTAG00000051905.1	cmpl	cmpl	0,	OR5H31	CNVR_30	42466675	42574052	2	2		2			Loss	107378	Has_gene
1	ENSBTAT00000077957.1	910	+	42661781	42676415	42661781	42676415	2	42661781,42676373,	42662660,42676415,	0	ENSBTAG00000050543.1	cmpl	cmpl	0,0,	OR5K19	CNVR_31	42665290	42692592	1	1		1			Loss	27303	Has_gene
1	ENSBTAT00000074930.1	910	+	42685179	42686106	42685179	42686106	1	42685179,	42686106,	0	ENSBTAG00000052122.1	cmpl	cmpl	0,	OR5K22	CNVR_31	42665290	42692592	1	1		1			Loss	27303	Has_gene
1	ENSBTAT00000032386.5	115	+	44554750	44611092	44555415	44610550	19	44554750,44573531,44575455,44576798,44581350,44584192,44584408,44585271,44586722,44588129,44592363,44594442,44596623,44600852,44602294,44605258,44607717,44609449,44610468,	44555468,44573643,44575561,44577003,44581474,44584317,44584455,44585375,44586845,44588222,44592534,44594485,44596733,44600992,44602339,44605347,44607853,44609644,44611092,	0	ENSBTAG00000015010.6	cmpl	cmpl	0,2,0,1,2,0,2,1,0,0,0,0,1,0,2,2,1,2,2,	TBC1D23	CNVR_32	44571298	44649313	3	3		1	2		Mixed	78016	Has_gene
1	ENSBTAT00000006347.6	925	+	44617615	44637448	44617643	44637162	10	44617615,44622593,44624227,44625776,44630240,44630844,44631985,44633725,44636674,44637070,	44617671,44622712,44624348,44625865,44630334,44630919,44632064,44633824,44636730,44637448,	0	ENSBTAG00000004833.6	cmpl	cmpl	0,1,0,1,0,1,1,2,2,1,	NIT2	CNVR_32	44571298	44649313	3	3		1	2		Mixed	78016	Has_gene
1	ENSBTAT00000016106.6	14	+	45082064	45145326	45082290	45144874	16	45082064,45102195,45103655,45107416,45110510,45111958,45116574,45116828,45120305,45121019,45124298,45129529,45130858,45135010,45137231,45144625,	45082405,45102309,45103760,45107529,45110660,45112062,45116714,45116936,45120469,45121175,45124411,45129876,45130955,45135166,45137388,45145326,	0	ENSBTAG00000012140.6	cmpl	cmpl	0,1,1,1,0,0,2,1,1,0,0,2,1,2,2,0,	ADGRG7	CNVR_33	45090218	45146168	1	1			1		Gain	55951	Has_gene
1	ENSBTAT00000004776.5	117	+	46886994	46938289	46886994	46938289	9	46886994,46910861,46916065,46918605,46923150,46924661,46928457,46930611,46938095,	46887100,46911082,46916247,46918678,46923248,46924742,46928629,46930726,46938289,	0	ENSBTAG00000003666.5	cmpl	cmpl	0,1,0,2,0,2,2,0,1,	ZPLD1	CNVR_34	46884964	46963727	1	1		1			Loss	78764	Has_gene
1	ENSBTAT00000062401.2	955	-	48583189	48583251	48583251	48583251	1	48583189,	48583251,	0	ENSBTAG00000044968.2	none	none	-1,	U7	CNVR_35	47249572	49067075	14	13	1	9	4		Mixed	1817504	Has_gene
1	ENSBTAT00000000097.5	120	+	49930774	50160291	49931477	50158043	16	49930774,50090622,50095102,50102308,50104036,50104586,50109728,50111557,50130638,50133377,50133618,50136760,50138748,50139076,50157955,50159623,	49931550,50090723,50095322,50102373,50104124,50104769,50109856,50111690,50130751,50133513,50133752,50136893,50138787,50139194,50158071,50160291,	0	ENSBTAG00000000088.6	cmpl	cmpl	0,1,0,1,0,1,1,0,1,0,1,0,1,1,2,-1,	ALCAM	CNVR_36	49952651	50064432	2	2		1	1		Mixed	111782	Has_gene
1																	CNVR_37	50767507	50809694	1	1		1			Loss	42188	Non_gene
1	ENSBTAT00000082372.1	1003	+	54849144	54849575	54849575	54849575	2	54849144,54849492,	54849343,54849575,	0	ENSBTAG00000055085.1	none	none	-1,-1,	82372.1	CNVR_38	54797676	55040423	3	3		1	2		Mixed	242748	Has_gene
1	ENSBTAT00000002496.6	135	+	65608794	65930952	65608794	65930004	27	65608794,65658563,65686360,65690240,65734048,65740952,65758049,65763146,65780975,65791443,65796203,65799270,65800544,65805431,65811101,65813061,65813918,65828145,65830360,65850496,65903141,65905971,65918486,65922774,65925500,65929208,65929962,	65608983,65658661,65686442,65690341,65734183,65741016,65758133,65763270,65781054,65791598,65796276,65799418,65800612,65805472,65811319,65813231,65814044,65828297,65830432,65850562,65903312,65906211,65918847,65922940,65925612,65929429,65930952,	0	ENSBTAG00000001918.6	cmpl	cmpl	0,0,2,0,2,2,0,0,1,2,1,2,0,2,1,0,2,2,1,1,1,1,1,2,0,1,0,	STXBP5L	CNVR_39	65615459	65778705	1	1			1		Gain	163247	Has_gene
1	ENSBTAT00000061181.3	1120	-	70125516	70172948	70125805	70172204	17	70125516,70132384,70136316,70138182,70140068,70141815,70143259,70146428,70148019,70151898,70155281,70159148,70162651,70163245,70164222,70164811,70171985,	70125906,70132595,70136447,70138342,70140201,70141926,70143336,70146536,70148137,70151993,70155387,70159327,70162775,70163328,70164253,70164906,70172948,	0	ENSBTAG00000044172.3	cmpl	cmpl	1,0,1,0,2,2,0,0,2,0,2,0,2,0,2,0,0,	LMLN	CNVR_40	70145874	70404106	2	2		2			Loss	258233	Has_gene
1	ENSBTAT00000018888.4	1120	-	70176688	70180132	70176738	70179434	5	70176688,70177969,70179049,70179423,70180104,	70176762,70178114,70179202,70179468,70180132,	0	ENSBTAG00000014208.4	cmpl	cmpl	0,2,2,0,-1,	RPL35A	CNVR_40	70145874	70404106	2	2		2			Loss	258233	Has_gene
1	ENSBTAT00000023995.4	1120	+	70180443	70226096	70185026	70225721	11	70180443,70184967,70186872,70191721,70194128,70202450,70210097,70212666,70220934,70222021,70225589,	70180512,70185034,70187140,70191945,70194257,70202532,70210259,70212741,70221066,70222123,70226096,	0	ENSBTAG00000018025.4	cmpl	cmpl	-1,0,2,0,2,2,0,0,0,0,0,	IQCG	CNVR_40	70145874	70404106	2	2		2			Loss	258233	Has_gene
1	ENSBTAT00000025116.6	17	-	70233701	70335542	70233701	70335480	21	70233701,70237310,70241372,70242049,70243764,70244645,70248624,70252871,70254432,70258271,70258807,70266631,70271138,70272788,70274121,70282479,70283808,70287249,70287809,70289521,70335218,	70233902,70237388,70241510,70242168,70243872,70244694,70248696,70252925,70254483,70258412,70258859,70266708,70271287,70272909,70274215,70282589,70283945,70287355,70287936,70289666,70335542,	0	ENSBTAG00000032839.4	cmpl	cmpl	0,0,0,1,1,0,0,0,0,0,2,0,1,0,2,0,1,0,2,1,0,	LRCH3	CNVR_40	70145874	70404106	2	2		2			Loss	258233	Has_gene
1	ENSBTAT00000059602.3	1121	-	70257048	70257120	70257120	70257120	1	70257048,	70257120,	0	ENSBTAG00000042610.3	none	none	-1,	59602.3	CNVR_40	70145874	70404106	2	2		2			Loss	258233	Has_gene
1	ENSBTAT00000079866.1	1121	-	70257290	70257370	70257370	70257370	1	70257290,	70257370,	0	ENSBTAG00000054586.1	none	none	-1,	79866.1	CNVR_40	70145874	70404106	2	2		2			Loss	258233	Has_gene
1	ENSBTAT00000019804.5	1121	-	70342776	70372467	70342999	70372454	10	70342776,70344958,70349125,70350570,70351029,70351076,70354151,70360185,70367883,70372348,	70343098,70345085,70349200,70350632,70351074,70351128,70354264,70360334,70368012,70372467,	0	ENSBTAG00000014874.5	cmpl	cmpl	0,2,2,0,0,2,0,1,1,0,	FYTTD1	CNVR_40	70145874	70404106	2	2		2			Loss	258233	Has_gene
1	ENSBTAT00000002461.6	140	+	70372267	70433018	70373080	70433018	18	70372267,70405028,70407626,70408645,70409794,70410581,70415438,70416482,70417200,70425997,70426922,70427937,70428662,70429766,70430538,70431035,70432515,70432839,	70373182,70405112,70407786,70408752,70409948,70411115,70415554,70416690,70417305,70426058,70427055,70428083,70428727,70430005,70430600,70431189,70432609,70433018,	0	ENSBTAG00000001890.7	cmpl	cmpl	0,0,0,1,0,1,1,0,1,1,2,0,2,1,0,2,0,1,	RUBCN	CNVR_40	70145874	70404106	2	2		2			Loss	258233	Has_gene
1	ENSBTAT00000017712.5	140	-	71020359	71044035	71022115	71043379	7	71020359,71026313,71028381,71031032,71038153,71043078,71043746,	71023075,71026395,71028503,71031212,71038230,71043415,71044035,	0	ENSBTAG00000013317.5	cmpl	cmpl	0,2,0,0,1,0,-1,	RNF168	CNVR_41	70995564	71042439	1	1			1		Gain	46876	Has_gene
1	ENSBTAT00000063541.2	1128	+	71232256	71252236	71248829	71252236	5	71232256,71238584,71248823,71250905,71252092,	71232383,71238726,71249037,71251006,71252236,	0	ENSBTAG00000048195.2	cmpl	cmpl	-1,-1,0,1,0,	PIGX	CNVR_42	71238937	71380741	3	3		3			Loss	141805	Has_gene
1	ENSBTAT00000063094.2	17	+	71301951	71342311	71301951	71342311	13	71301951,71316481,71316910,71318588,71319556,71322309,71322555,71322635,71327668,71329849,71332191,71341632,71342224,	71302138,71316582,71317058,71318620,71319664,71322483,71322575,71322665,71327786,71329949,71332388,71341770,71342311,	0	ENSBTAG00000047856.2	cmpl	cmpl	0,1,0,1,0,0,0,2,2,0,1,0,0,	PAK2	CNVR_42	71238937	71380741	3	3		3			Loss	141805	Has_gene
1	ENSBTAT00000046389.3	1129	+	71370899	71400231	71370930	71400231	9	71370899,71379351,71379606,71379999,71387687,71394691,71397714,71399189,71400120,	71372440,71379457,71379745,71380047,71387765,71394829,71397798,71399240,71400231,	0	ENSBTAG00000032674.3	cmpl	cmpl	0,1,2,0,0,0,0,0,0,	SENP5	CNVR_42	71238937	71380741	3	3		3			Loss	141805	Has_gene
1																	CNVR_43	75707006	75732698	1	1		1			Loss	25693	Non_gene
1	ENSBTAT00000036032.5	150	+	81402024	81572413	81402186	81571814	16	81402024,81403957,81531278,81532289,81535274,81538340,81540483,81544741,81545217,81547716,81558492,81559411,81564055,81569867,81570329,81571721,	81402364,81404018,81531327,81532341,81535338,81538613,81540618,81544864,81545353,81547845,81558561,81559528,81564130,81569999,81570443,81572413,	0	ENSBTAG00000007666.6	cmpl	cmpl	0,1,2,0,1,2,2,2,2,0,0,0,0,0,0,0,	IGF2BP2	CNVR_44	81343507	81416748	7	7			7		Gain	73242	Has_gene
1	ENSBTAT00000013720.5	2	+	83653153	83911446	83654113	83911446	29	83653153,83711970,83724257,83739469,83741801,83749338,83750789,83759198,83759907,83760621,83770838,83773414,83783803,83791976,83806879,83842858,83843978,83845691,83855260,83856228,83861845,83865866,83884219,83885282,83885542,83907798,83910634,83911113,83911295,	83654189,83712054,83724372,83739560,83741921,83749455,83750939,83759323,83760022,83760741,83771030,83773606,83783981,83792068,83806965,83842925,83844094,83845761,83855353,83856321,83861917,83865992,83884435,83885375,83885621,83907843,83910723,83911220,83911446,	0	ENSBTAG00000010394.6	cmpl	cmpl	0,1,1,2,0,0,0,0,2,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,1,1,0,2,	MCF2L2	CNVR_45	83707085	83810343	6	6		6			Loss	103259	Has_gene
1	ENSBTAT00000045699.4	1223	-	83710029	83711034	83710029	83711034	1	83710029,	83711034,	0	ENSBTAG00000032217.4	cmpl	cmpl	0,	45699.4	CNVR_45	83707085	83810343	6	6		6			Loss	103259	Has_gene
1	ENSBTAT00000052404.2	152	-	83752078	83814502	83753722	83814064	3	83752078,83753583,83813035,	83752634,83753737,83814502,	0	ENSBTAG00000010397.6	cmpl	cmpl	-1,0,0,	B3GNT5	CNVR_45	83707085	83810343	6	6		6			Loss	103259	Has_gene
1	ENSBTAT00000017002.5	1226	+	84042261	84074786	84059174	84074727	7	84042261,84059132,84060540,84062905,84072922,84073255,84074647,	84042385,84059349,84060709,84063036,84073005,84073352,84074786,	0	ENSBTAG00000012797.5	cmpl	cmpl	-1,0,1,2,1,0,1,	DCUN1D1	CNVR_46	84064869	84176862	3	3		2	1		Mixed	111994	Has_gene
1	ENSBTAT00000032070.5	153	-	84108411	84205584	84108411	84205584	30	84108411,84112630,84126191,84127596,84128213,84140619,84142227,84143968,84145452,84148770,84153743,84159538,84161210,84164606,84167847,84169708,84170992,84171764,84174146,84175181,84180330,84182963,84184852,84187209,84187920,84188237,84191494,84193239,84202784,84205564,	84108493,84112764,84126357,84127700,84128279,84140758,84142355,84144028,84145598,84148873,84153897,84159742,84161392,84164710,84167921,84169777,84171168,84172007,84174344,84175332,84180412,84183028,84184900,84187313,84188049,84188345,84191575,84193329,84202878,84205584,	0	ENSBTAG00000000290.6	cmpl	incmpl	2,0,2,0,0,2,0,0,1,0,2,2,0,1,2,2,0,0,0,2,1,2,2,0,0,0,0,0,2,0,	ATP11B	CNVR_46	84064869	84176862	3	3		2	1		Mixed	111994	Has_gene
1	ENSBTAT00000015114.6	1257	-	88158303	88194815	88159085	88194729	4	88158303,88173952,88177228,88194673,	88159370,88174148,88177399,88194815,	0	ENSBTAG00000011377.6	cmpl	cmpl	0,2,2,0,	KCNMB2	CNVR_47	88063961	88278205	2	2			2		Gain	214245	Has_gene
1																	CNVR_48	90705336	90742154	1	1		1			Loss	36819	Non_gene
1	ENSBTAT00000074778.1	2	-	91436008	92436553	91436008	92278484	14	91436008,91499532,91531856,91662075,91728565,91855974,91860523,91864293,91887921,92041581,92118600,92137410,92277990,92436453,	91436207,91499731,91531950,91662171,91728712,91856094,91860729,91864386,91888065,92041732,92118720,92137684,92278492,92436553,	0	ENSBTAG00000048493.1	cmpl	cmpl	2,1,0,0,0,0,1,1,1,0,0,2,0,-1,	NAALADL2	CNVR_49	90828316	93051564	26	26		21	5		Mixed	2223249	Has_gene
1	ENSBTAT00000086735.1	1283	+	91599762	91603343	91599762	91603343	2	91599762,91603170,	91599841,91603343,	0	ENSBTAG00000054712.1	cmpl	cmpl	0,1,	86735.1	CNVR_49	90828316	93051564	26	26		21	5		Mixed	2223249	Has_gene
1	ENSBTAT00000062346.2	1289	+	92346996	92347093	92347093	92347093	1	92346996,	92347093,	0	ENSBTAG00000044913.2	none	none	-1,	62346.2	CNVR_49	90828316	93051564	26	26		21	5		Mixed	2223249	Has_gene
1	ENSBTAT00000060118.2	1292	+	92738799	92738928	92738928	92738928	1	92738799,	92738928,	0	ENSBTAG00000043126.2	none	none	-1,	60118.2	CNVR_49	90828316	93051564	26	26		21	5		Mixed	2223249	Has_gene
1	ENSBTAT00000083297.1	161	-	92874983	92990941	92990941	92990941	3	92874983,92901997,92990785,	92875028,92902060,92990941,	0	ENSBTAG00000055042.1	none	none	-1,-1,-1,	83297.1	CNVR_49	90828316	93051564	26	26		21	5		Mixed	2223249	Has_gene
1	ENSBTAT00000032677.5	163	-	94709116	94769373	94710286	94764491	25	94709116,94713758,94714934,94723536,94725002,94727523,94728054,94730609,94732519,94733278,94734530,94745507,94752254,94754770,94756600,94756978,94757237,94758064,94759047,94760277,94761748,94763448,94763652,94764361,94769299,	94710376,94713905,94715042,94723691,94725141,94727643,94728133,94730691,94732616,94733389,94734599,94745627,94752391,94754993,94756663,94757094,94757368,94758138,94759155,94760367,94761931,94763541,94763732,94764513,94769373,	0	ENSBTAG00000023814.5	cmpl	cmpl	0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,-1,	ECT2	CNVR_50	94706023	94804961	2	2		2			Loss	98939	Has_gene
1	ENSBTAT00000014794.6	169	+	101522743	101601660	101522748	101600672	4	101522743,101529238,101587881,101600547,	101522863,101530763,101588048,101601660,	0	ENSBTAG00000011139.6	cmpl	cmpl	0,1,2,1,	BCHE	CNVR_51	100412522	105472672	38	28		16	18	4	Mixed	5060151	Has_gene
1	ENSBTAT00000086507.1	1360	+	101619573	101646743	101646743	101646743	3	101619573,101622855,101646663,	101619688,101622953,101646743,	0	ENSBTAG00000053582.1	none	none	-1,-1,-1,	86507.1	CNVR_51	100412522	105472672	38	28		16	18	4	Mixed	5060151	Has_gene
1	ENSBTAT00000061770.3	1363	+	102015880	102016296	102016296	102016296	1	102015880,	102016296,	0	ENSBTAG00000044337.3	none	none	-1,	RNaseP_nuc	CNVR_51	100412522	105472672	38	28		16	18	4	Mixed	5060151	Has_gene
1	ENSBTAT00000022827.6	1364	+	102184528	102187471	102184528	102187471	1	102184528,	102187471,	0	ENSBTAG00000017180.6	cmpl	cmpl	0,	SLITRK3	CNVR_51	100412522	105472672	38	28		16	18	4	Mixed	5060151	Has_gene
1	ENSBTAT00000080895.1	1365	+	102244999	102245605	102245605	102245605	2	102244999,102245253,	102245205,102245605,	0	ENSBTAG00000055191.1	none	none	-1,-1,	80895.1	CNVR_51	100412522	105472672	38	28		16	18	4	Mixed	5060151	Has_gene
