ID	Chr	i.Start	i.End	num_gene	gene_name
CNVR_227	5	54521099	54997923	2	80689.1,LRIG3
CNVR_228	5	56035754	56081838	1	R3HDM2
CNVR_229	5	58039011	58068698	1	OR6C202
CNVR_230	5	58827093	58843129	1	NA
CNVR_231	5	58925936	59139148	7	63891.2,OR6C7,72330.1,OR6C74,OR6C266,OR6C33,OR6C7F
CNVR_232	5	59736550	59953158	5	OR9K2F,OR9K7,OR9K1B,NEUROD4,TESPA1
CNVR_233	5	60171808	60209282	1	NA
CNVR_234	5	64116108	64230589	3	UHRF1BP1L,ACTR6,SCYL2
CNVR_235	5	74749864	74753566	1	MYH9
CNVR_236	5	76888810	77042374	1	PKP2
CNVR_237	5	86500786	86770273	2	SOX5,05371.5
CNVR_238	5	91512259	93289231	3	PIK3C2G,RERGL,LMO3
CNVR_239	5	93611048	93661305	1	SLC15A5
CNVR_240	5	95388986	95475180	1	ATF7IP
CNVR_241	5	97624572	97673415	1	LRP6
CNVR_242	5	101977430	102029541	1	NA
CNVR_243	5	102317408	102463152	1	NA
CNVR_244	5	102630827	103046878	8	WC1.3,WC1,55707.3,77720.1,66578.1,67917.1,69406.1,CD163L1
CNVR_245	5	105720910	105792437	3	FGF23,TIGAR,CCND2
CNVR_246	5	106022933	106090114	1	NA
CNVR_247	5	106990076	107114180	3	09329.6,WASHC1,IQSEC3
CNVR_248	5	109783129	109801761	1	NA
CNVR_249	5	111795109	111914115	2	MRTFA,bta-mir-2439
CNVR_250	5	112271082	112941150	25	EP300,L3MBTL2,bta-mir-2441,CHADL,RANGAP1,ZC3H7B,TEF,TOB2,PHF5A,ACO2,59630.2,POLR3H,CSDC2,PMM1,DESI1,XRCC6,SNU13,64211.2,MEI1,CCDC134,SREBF2,bta-mir-33a,SHISA8,TNFRSF13C,CENPM
CNVR_251	5	113908560	113929923	2	MCAT,TSPO
CNVR_252	5	114595880	114640633	1	66219.2
CNVR_253	5	116466547	116483271	1	PPARA
CNVR_254	5	116879431	116908657	2	GRAMD4,CERK
CNVR_255	5	117008357	117117023	1	TBC1D22A
CNVR_256	5	118140212	118152314	1	NA
CNVR_257	5	118209249	118224973	1	NA
CNVR_258	5	118326410	118372340	2	84617.1,TAFA5
CNVR_259	5	118421130	118474468	2	84617.1,TAFA5
CNVR_260	5	118630779	118709855	1	NA
CNVR_261	5	119618064	119734299	5	MAPK12,MAPK11,PLXNB2,DENND6B,PPP6R2
CNVR_262	6	115156	689353	2	APELA,46532.4
CNVR_263	6	4168463	4201894	1	QRFPR
CNVR_264	6	4884823	4907277	1	NA
CNVR_265	6	7907346	10583779	4	79172.1,TRAM1L1,68741.1,NDST4
CNVR_266	6	11131845	11226708	1	NA
CNVR_267	6	18364684	18413478	1	NA
CNVR_268	6	18924476	18955466	1	TBCK
CNVR_269	6	23684408	23761369	1	PPP3CA
CNVR_270	6	27204121	27311786	1	NA
CNVR_271	6	27332801	27950289	1	20549.6
CNVR_272	6	30915027	33530543	4	GRID2,75995.1,U6,CCSER1
CNVR_273	6	33709997	33774948	1	CCSER1
CNVR_274	6	33873388	34610791	1	CCSER1
CNVR_275	6	36535012	36551432	1	ABCG2
CNVR_276	6	37302499	37536990	3	DCAF16,NCAPG,LCORL
CNVR_277	6	37819224	37860407	1	NA
CNVR_278	6	39652421	39900932	1	SLIT2
CNVR_279	6	47172330	50546109	2	PCDH7,82154.1
CNVR_280	6	50672369	51366146	1	NA
CNVR_281	6	51682000	53018148	1	NA
CNVR_282	6	53346422	54978700	1	NA
CNVR_283	6	55123673	55172459	1	NA
CNVR_284	6	55277164	55662301	1	ARAP2
CNVR_285	6	62324968	62662045	1	74356.1
CNVR_286	6	63920386	65302613	2	GABRG1,GABRA2
CNVR_287	6	73556389	76966404	1	75375.1
CNVR_288	6	77586306	82543678	8	ADGRL3,71633.1,70308.1,TECRL,67058.1,EPHA5,80777.1,80683.1
CNVR_289	6	82895900	83003450	1	NA
CNVR_290	6	84203997	84368516	6	29968.5,04581.6,75768.1,84224.1,69135.1,71517.1
CNVR_291	6	84734130	85446151	9	77894.1,74687.1,82365.1,29977.4,UGT2A1,SULT1B1,55587.3,SULT1E1,CSN1S1
CNVR_292	6	89886763	89911008	1	PARM1
CNVR_293	6	90459046	90505918	1	G3BP2
CNVR_294	6	95401682	95707067	2	CFAP299,80901.1
CNVR_295	6	102542717	102646839	6	DMP1,78014.1,39467.5,66994.1,83266.1,08532.5
CNVR_296	6	114371692	114406200	1	ABLIM2
CNVR_297	6	114582670	114667980	3	HTRA3,84283.1,ACOX3
CNVR_298	6	114903821	115458260	5	HMX1,ADRA2C,LRPAP1,DOK7,HGFAC
CNVR_299	6	115656633	115719172	4	HTT,bta-mir-2450a,bta-mir-2450b,bta-mir-2450d
CNVR_300	6	115881461	115959367	2	ADD1,SH3BP2
CNVR_301	6	116045596	116391408	6	FAM193A,RNF4,CFAP99,ZFYVE28,MXD4,HAUS3
CNVR_302	6	116765519	116935159	7	FGFR3,86604.1,79689.1,TACC3,TMEM129,SLBP,69232.1
CNVR_303	6	117015280	117198612	7	NKX1-1,UVSSA,MAEA,79604.1,77748.1,84522.1,81248.1
CNVR_304	6	117334310	117390034	5	FGFRL1,80119.1,IDUA,SLC26A1,bta-mir-2449
CNVR_305	6	117442170	117586582	3	GAK,CPLX1,PCGF3
CNVR_306	7	310937	435584	2	OR5W39,53644.2
CNVR_307	7	1080046	1085828	1	RASGEF1C
CNVR_308	7	2441749	2470758	3	ZNF454,ZFP2,78146.1
CNVR_309	7	4981205	5074707	6	CIST1,PDE4C,RAB3A,MPV17L2,IFI30,PIK3R2
CNVR_310	7	5292475	5377006	5	JAK3,INSL3,87361.1,B3GNT3,FCHO1
CNVR_311	7	5473507	5616237	5	UNC13A,COLGALT1,NIBAN3,PGLS,SLC27A1
CNVR_312	7	8782634	10494698	35	OR7A126,OR7A121BP,OR7A135,OR7A98,OR7A103,86921.1,OR7A114,OR7A75,OR7A90,78744.1,OR7A83,78872.1,OR7A89,64582.2,74079.1,OR7A95,OR7A99,OR7A97,OR7A78,09854.5,63371.2,OR7A77,OR7A88,OR7A112,67367.1,53797.3,OR7A116,81001.1,OR7A84,OR7A94,73716.1,75233.1,OR7A10B,OR7A91,OR7A96
CNVR_313	7	11234442	11485170	10	TECR,67060.1,DNAJB1,GIPC1,PTGER1,PKN1,DDX39A,ADGRE5,86684.1,83768.1
CNVR_314	7	12709431	12755099	5	RTBDN,RNASEH2A,PRDX2,JUNB,HOOK2
CNVR_315	7	13697805	13734002	2	OR7H5P,27494.6
CNVR_316	7	14032208	14079651	1	NA
CNVR_317	7	14727440	14921401	13	DNMT1,S1PR2,MRPL4,77896.1,70014.1,ICAM1,ICAM4,ICAM5,ZGLP1,FDX2,RAVER1,ICAM3,TYK2
CNVR_318	7	15060628	15282437	9	ATG4D,KRI1,CDKN2D,AP1M2,SLC44A2,ILF3,82915.1,QTRT1,DNM2
CNVR_319	7	15729850	15854651	11	RAB3D,TMEM205,CCDC159,PLPPR2,SWSAP1,EPOR,RGL3,ODAD3,PRKCSH,ELAVL3,ZNF653
CNVR_320	7	18374159	18403881	1	RFX2
CNVR_321	7	19718988	20025300	20	SH3GL1,MPND,STAP2,82872.1,FSD1,TMIGD2,SHD,YJU2,EBI3,81028.1,83924.1,79089.1,SIRT6,CREB3L3,MAP2K2,75417.1,72741.1,ZBTB7A,PIAS4,64533.2
CNVR_322	7	20348289	20778184	20	GIPC3,HMG20B,MFSD12,C7H19orf71,FZR1,79802.1,DOHH,SMIM24,72747.1,NFIC,76460.1,72223.1,78467.1,CELF5,NCLN,S1PR4,GNA15,GNA11,TLE5,TLE2
CNVR_323	7	21743940	21802513	1	RAD50
CNVR_324	7	21927815	21963795	1	IRF1
CNVR_325	7	21972718	22003609	1	NA
CNVR_326	7	22007584	22028121	1	84449.1
CNVR_327	7	22536026	22554424	1	ACSL6
CNVR_328	7	23726597	23741599	1	NA
CNVR_329	7	23777525	23867865	1	NA
CNVR_330	7	27289094	27323816	1	ALDH7A1
CNVR_331	7	28248391	28300663	1	NA
CNVR_332	7	29632170	29715806	1	NA
CNVR_333	7	32142713	32165961	1	NA
CNVR_334	7	32271801	32525437	1	04018.4
CNVR_335	7	32912816	33140093	1	NA
CNVR_336	7	34703029	34832022	1	DMXL1
CNVR_337	7	35861973	35908827	1	NA
CNVR_338	7	38226065	38417700	3	UNC5A,HK3,UIMC1
CNVR_339	7	41766797	41803776	2	OR2L2B,OR2L2C
CNVR_340	7	41936355	41982734	3	OR2M16,OR2M4,OR2M10
CNVR_341	7	43369002	44022730	42	PTBP1,PLPPR3,AZU1,PRTN3,ELANE,CFD,MED16,R3HDM4,KISS1R,ARID3A,WDR18,GRIN3B,TMEM259,CNN2,ABCA7,ARHGAP45,POLR2E,GPX4,SBNO2,STK11,CBARP,ATP5F1D,MIDN,CIRBP,FAM174C,EFNA2,PWWP3A,NDUFS7,GAMT,DAZAP1,RPS15,APC2,C7H19orf25,PCSK4,REEP6,68056.1,ADAMTSL5,16120.5,MEX3D,MBD3,UQCR11,TCF3
CNVR_342	7	46218847	46303822	3	SEC24A,CAMLG,DDX46
CNVR_343	7	48631701	48659911	1	NA
CNVR_344	7	51895416	52030052	17	PCDHA2,84530.1,PCDHA3,86912.1,PCDHA4,82731.1,63152.2,84435.1,67732.1,73559.1,84201.1,75456.1,86243.1,75898.1,PCDHA13,80748.1,PCDHAC2
CNVR_345	7	68038227	68126506	1	NA
CNVR_346	7	68637147	68783389	1	50597.4
CNVR_347	7	76362651	78318236	3	bta-mir-8549,GNG5P2,61920.2
CNVR_348	7	83768386	84051130	1	EDIL3
CNVR_349	7	84759907	86193204	2	U2,64236.2
CNVR_350	7	86947630	86986302	1	RASA1
CNVR_351	7	90843162	90863630	1	ARRDC3
CNVR_352	7	91189501	92330502	1	7SK
CNVR_353	7	92549685	92627202	1	NA
CNVR_354	7	96613640	96674884	2	RIOK2,66590.1
CNVR_355	7	98715802	98830419	1	NA
CNVR_356	7	103233313	106096645	1	NA
CNVR_357	7	109884675	110293886	2	72042.1,87116.1
CNVR_358	8	2670595	2915019	1	NA
CNVR_359	8	3389399	3703116	1	87355.1
CNVR_360	8	4082412	4534892	1	GALNTL6
CNVR_361	8	12807518	14225229	2	bta-mir-2285m-5,78833.1
CNVR_362	8	18756828	20011119	1	IZUMO3
CNVR_363	8	20871555	21282510	1	NA
CNVR_364	8	31962859	32036232	1	NA
CNVR_365	8	32102776	33424212	1	NA
CNVR_366	8	33701484	34471102	1	NA
CNVR_367	8	34841159	35928621	1	NA
CNVR_368	8	37331265	37364984	1	NA
CNVR_369	8	38363220	38420499	1	UHRF2
CNVR_370	8	41105274	41261675	1	RFX3
CNVR_371	8	43615936	43824913	2	DMRT1,KANK1
CNVR_372	8	49669527	50272560	1	NA
CNVR_373	8	71906498	72015768	1	NA
CNVR_374	8	81613969	81655976	6	AOPEP,bta-mir-2475,bta-mir-10174,bta-mir-27b,42333.3,FANCC
CNVR_375	8	82609588	82677709	1	ERCC6L2
CNVR_376	8	91608918	93181299	1	CYLC2
CNVR_377	8	94169835	94348272	6	17886.6,OR13C2D,OR13F1B,OR13C2,OR13D2,OR13C2C
CNVR_378	8	94398701	94539339	3	OR13D2C,OR13C8,OR13C1
CNVR_379	8	100342004	100446192	2	LPAR1,SNORA71
CNVR_380	8	101701833	101756218	3	PTBP3,54096.2,HSDL2
CNVR_381	8	113248793	113255527	1	NA
CNVR_382	9	173760	222508	2	OR4P45,OR5D65
CNVR_383	9	1232090	1407386	1	NA
CNVR_384	9	1492214	5583983	4	Metazoa_SRP,80651.1,70459.1,77531.1
CNVR_385	9	5784409	7215840	1	NA
CNVR_386	9	13913182	14108220	1	NA
CNVR_387	9	15406961	15437219	1	NA
CNVR_388	9	16325774	16596500	1	NA
CNVR_389	9	16995696	17031856	1	NA
CNVR_390	9	18608888	18650496	1	PHIP
CNVR_391	9	24739623	24872710	1	NA
CNVR_392	9	28284086	28305499	1	CLVS2
CNVR_393	9	30169726	30802063	1	NA
CNVR_394	9	35054209	35822082	1	NA
CNVR_395	9	40282917	40345809	1	NA
CNVR_396	9	45904339	47944789	2	60060.2,GRIK2
CNVR_397	9	48307662	48796022	2	GRIK2,01659.6
CNVR_398	9	49224046	49366561	1	ASCC3
CNVR_399	9	50321700	50390151	3	USP45,PNISR,COQ3
CNVR_400	9	51545402	51588928	1	NA
CNVR_401	9	53435870	53536927	1	82309.1
CNVR_402	9	53903707	54047506	1	NA
CNVR_403	9	54387934	56366734	1	46971.4
CNVR_404	9	57139648	57901328	1	72595.1
CNVR_405	9	65629321	65652443	1	NA
CNVR_406	9	65885583	66036771	2	THEMIS,PTPRK
CNVR_407	9	68293784	68313927	1	SAMD3
CNVR_408	9	71761625	71867488	1	NA
CNVR_409	9	73729142	73848491	1	71495.1
CNVR_410	9	79635272	79745361	1	VTA1
CNVR_411	9	88636634	88684552	1	NA
CNVR_412	9	90715541	90747056	1	NA
CNVR_413	9	92507446	92528200	1	NA
CNVR_414	9	97537718	97567316	1	PRKN
CNVR_415	9	98170529	98202076	2	bta-mir-2482,PACRG
CNVR_416	9	102050512	102068573	1	NA
CNVR_417	9	102582381	102615677	1	NA
CNVR_418	9	103396428	103455006	1	WDR27
CNVR_419	10	110950	164069	1	NA
CNVR_420	10	545401	561907	1	NA
CNVR_421	10	1860161	1936953	1	NA
CNVR_422	10	2377878	2387809	1	NA
CNVR_423	10	6846956	6989555	2	CERT1,POLK
CNVR_424	10	9143166	9354675	3	AP3B1,bta-mir-2284z-1,5S_rRNA
CNVR_425	10	11354552	11544918	4	GNPNAT1,STYX,PSMC6,ERO1A
CNVR_426	10	14157673	14228843	1	IQCH
CNVR_427	10	19755228	19797770	1	NA
CNVR_428	10	20370455	20429404	2	REC114,NPTN
CNVR_429	10	21794678	21979394	12	ACIN1,CDH24,PSMB11,PSMB5,C10H14orf93,AJUBA,HAUS4,PRMT5,RBM23,REM2,LRP10,MMP14
CNVR_430	10	22364061	22408227	1	85686.1
CNVR_431	10	22796412	23703141	25	86026.1,65378.2,73157.1,77790.1,63881.2,17034.4,66718.1,64523.2,54081.3,64546.2,83293.1,72027.1,82661.1,78778.1,69508.1,71961.1,81513.1,65812.2,74563.1,66748.1,85612.1,70855.1,81061.1,84042.1,TRAV24
CNVR_432	10	24904079	25349755	20	75820.1,38957.5,50271.4,78696.1,66084.2,84290.1,TRAV16,86924.1,81306.1,87258.1,80562.1,70379.1,50159.4,68079.1,50022.4,84360.1,02757.6,74059.1,67721.1,37058.5
CNVR_433	10	27289923	27320537	4	70604.1,OR4K5,OR4K1,52685.3
CNVR_434	10	36538466	36803995	7	INO80,57464.3,EXD1,CHP1,62037.2,OIP5,NUSAP1
CNVR_435	10	39715696	40046559	1	71385.1
CNVR_436	10	40300919	40593217	1	76223.1
CNVR_437	10	41412968	41462308	1	NA
CNVR_438	10	41667967	41725845	1	NA
