CNVR_ID	Chr	Start	End	Frequent	0	1	3	4	Type	Length	version	Start_ARS_Map	End_ARS_Map	Check_overlap	Overlap_length
CNVR_224	26	23363852	23420638	1	1				Loss	56787	Version_UMD	51578605	51636588	Non-Overlap	
CNVR_225	26	25719640	25757447	7	7				Loss	37808	Version_UMD	25290540	25509679	Non-Overlap	
CNVR_226	26	27974246	28056789	3	3				Loss	82544	Version_UMD	27721560	27804094	Non-Overlap	
CNVR_227	26	51200330	51267717	1			1		Gain	67388	Version_UMD	51012282	51075438	Overlap	63157
CNVR_228	27	2168531	2287885	5	5				Loss	119355	Version_UMD	3300938	3420308	Non-Overlap	
CNVR_229	27	6922514	6990804	1	1				Loss	68291	Version_UMD	7940961	8009249	Non-Overlap	
CNVR_23	2	74228539	78942271	4	2		2		Mixed	4713733	Version_UMD	73809585	78576254	Overlap	1367664
CNVR_230	27	8160092	12430054	2	1		1		Mixed	4269963	Version_UMD	9173141	13392895	Overlap	2005319
CNVR_230	27	8160092	12430054	2	1		1		Mixed	4269963	Version_UMD	9173141	13392895	Overlap	169886
CNVR_231	27	15447004	18226356	1			1		Gain	2779353	Version_UMD	16390789	19160261	Overlap	67435
CNVR_231	27	15447004	18226356	1			1		Gain	2779353	Version_UMD	16390789	19160261	Overlap	84649
CNVR_232	27	19272412	22448445	1			1		Gain	3176034	Version_UMD	20207643	23369775	Overlap	65368
CNVR_232	27	19272412	22448445	1			1		Gain	3176034	Version_UMD	20207643	23369775	Overlap	491539
CNVR_232	27	19272412	22448445	1			1		Gain	3176034	Version_UMD	20207643	23369775	Overlap	27013
CNVR_233	27	29739347	29871854	1	1				Loss	132508	Version_UMD	30049177	30181680	Overlap	76279
CNVR_234	27	45113851	45153084	1	1				Loss	39234	Version_UMD	45201435		Non-Overlap	
CNVR_235	28	2313753	2869287	139	138		1		Mixed	555535	Version_UMD	563054	4545373	Overlap	39464
CNVR_235	28	2313753	2869287	139	138		1		Mixed	555535	Version_UMD	563054	4545373	Overlap	10881
CNVR_236	28	8022387	8200649	1		1			Loss	178263	Version_UMD	7978983	8156117	Overlap	31121
CNVR_237	28	9886410	12593367	1			1		Gain	2706958	Version_UMD	9835781	12499570	Overlap	781042
CNVR_238	28	20332119	24211870	2			2		Gain	3879752	Version_UMD	20251683	24062966	Overlap	228252
CNVR_238	28	20332119	24211870	2			2		Gain	3879752	Version_UMD	20251683	24062966	Overlap	1375281
CNVR_238	28	20332119	24211870	2			2		Gain	3879752	Version_UMD	20251683	24062966	Overlap	161806
CNVR_238	28	20332119	24211870	2			2		Gain	3879752	Version_UMD	20251683	24062966	Overlap	22923
CNVR_238	28	20332119	24211870	2			2		Gain	3879752	Version_UMD	20251683	24062966	Overlap	61517
CNVR_239	28	24578469	24611840	1	1				Loss	33372	Version_UMD	24427749	24461119	Overlap	33371
CNVR_24	2	81336425	84170290	1			1		Gain	2833866	Version_UMD	80959848	83776119	Overlap	2307749
CNVR_240	28	36183465	36263181	1	1				Loss	79717	Version_UMD	35979341	36059676	Non-Overlap	
CNVR_241	29	3245223	3316585	1	1				Loss	71363	Version_UMD	3274342	3343506	Non-Overlap	
CNVR_242	29	13028703	15774315	2	1		1		Mixed	2745613	Version_UMD	12951115	15683108	Overlap	13435
CNVR_242	29	13028703	15774315	2	1		1		Mixed	2745613	Version_UMD	12951115	15683108	Overlap	228171
CNVR_243	29	19200818	22047517	6	2	2	2		Mixed	2846700	Version_UMD	19281608	21820276	Overlap	12929
CNVR_243	29	19200818	22047517	6	2	2	2		Mixed	2846700	Version_UMD	19281608	21820276	Overlap	755918
CNVR_243	29	19200818	22047517	6	2	2	2		Mixed	2846700	Version_UMD	19281608	21820276	Overlap	302260
CNVR_243	29	19200818	22047517	6	2	2	2		Mixed	2846700	Version_UMD	19281608	21820276	Overlap	65212
CNVR_243	29	19200818	22047517	6	2	2	2		Mixed	2846700	Version_UMD	19281608	21820276	Overlap	58081
CNVR_244	29	36544016	36573929	1	1				Loss	29914	Version_UMD	35969700	35999607	Non-Overlap	
CNVR_245	29	38767346	39842168	1			1		Gain	1074823	Version_UMD	38191227	39215494	Overlap	51685
CNVR_246	29	47572920	47668622	2	2				Loss	95703	Version_UMD	46917621	47013097	Non-Overlap	
CNVR_25	3	11012679	11063503	1	1				Loss	50825	Version_UMD	10890374		Non-Overlap	
CNVR_26	3	37172756	41992103	1			1		Gain	4819348	Version_UMD	37054466	41843499	Overlap	2822505
CNVR_26	3	37172756	41992103	1			1		Gain	4819348	Version_UMD	37054466	41843499	Overlap	211275
CNVR_27	3	54555541	55074485	24		2	19	3	Mixed	518945	Version_UMD	54378060	54909666	Overlap	403931
CNVR_28	3	67440250	67474440	1	1				Loss	34191	Version_UMD	67184325	67218474	Non-Overlap	
CNVR_29	3	69596912	74348506	2	1		1		Mixed	4751595	Version_UMD	69349915	74048442	Overlap	113150
CNVR_29	3	69596912	74348506	2	1		1		Mixed	4751595	Version_UMD	69349915	74048442	Overlap	22081
CNVR_29	3	69596912	74348506	2	1		1		Mixed	4751595	Version_UMD	69349915	74048442	Overlap	1368279
CNVR_29	3	69596912	74348506	2	1		1		Mixed	4751595	Version_UMD	69349915	74048442	Overlap	300916
CNVR_3	1	16277524	17021138	2	1	1			Loss	743615	Version_UMD	16942821	17537664	Overlap	594844
CNVR_30	4	17112	4258236	4			4		Gain	4241125	Version_UMD	190991	4345432	Overlap	3948305
CNVR_31	4	6223614	6425277	36			36		Gain	201664	Version_UMD	6305048	6505975	Overlap	175748
CNVR_32	4	15849767	16918197	2			2		Gain	1068431	Version_UMD	3154292	18483323	Overlap	985004
CNVR_32	4	15849767	16918197	2			2		Gain	1068431	Version_UMD	3154292	18483323	Overlap	52349
CNVR_32	4	15849767	16918197	2			2		Gain	1068431	Version_UMD	3154292	18483323	Overlap	203992
CNVR_32	4	15849767	16918197	2			2		Gain	1068431	Version_UMD	3154292	18483323	Overlap	83785
CNVR_32	4	15849767	16918197	2			2		Gain	1068431	Version_UMD	3154292	18483323	Overlap	103271
CNVR_32	4	15849767	16918197	2			2		Gain	1068431	Version_UMD	3154292	18483323	Overlap	82659
CNVR_32	4	15849767	16918197	2			2		Gain	1068431	Version_UMD	3154292	18483323	Overlap	230782
CNVR_32	4	15849767	16918197	2			2		Gain	1068431	Version_UMD	3154292	18483323	Overlap	113545
CNVR_32	4	15849767	16918197	2			2		Gain	1068431	Version_UMD	3154292	18483323	Overlap	125510
CNVR_32	4	15849767	16918197	2			2		Gain	1068431	Version_UMD	3154292	18483323	Overlap	711395
CNVR_33	4	17858900	18815510	2			2		Gain	956611	Version_UMD	16866798	18883420	Overlap	125510
CNVR_33	4	17858900	18815510	2			2		Gain	956611	Version_UMD	16866798	18883420	Overlap	711395
CNVR_34	4	22646006	22745371	1	1				Loss	99366	Version_UMD	22702596	22802072	Non-Overlap	
CNVR_35	4	45664659	45743508	1	1				Loss	78850	Version_UMD	45400553	45479387	Overlap	78835
CNVR_36	4	58591926	59647887	1			1		Gain	1055962	Version_UMD	58226979	59276289	Overlap	502928
CNVR_36	4	58591926	59647887	1			1		Gain	1055962	Version_UMD	58226979	59276289	Overlap	20657
CNVR_37	4	59813010	59953839	1			1		Gain	140830	Version_UMD	59425225	59566132	Overlap	140908
CNVR_38	4	65259787	65291207	1	1				Loss	31421	Version_UMD	64864017	64895434	Non-Overlap	
CNVR_39	4	66482908	67007235	26			26		Gain	524328	Version_UMD	66082279	66576959	Overlap	330396
CNVR_4	1	18946871	18998146	1			1		Gain	51276	Version_UMD		19507076	Non-Overlap	
CNVR_40	4	72358306	72561411	5	5				Loss	203106	Version_UMD	71904246	72105046	Overlap	178622
CNVR_41	4	73676903	73758088	2	2				Loss	81186	Version_UMD	73207690	73288742	Overlap	81053
CNVR_42	4	83708251	85983005	3			3		Gain	2274755	Version_UMD	82972946	85232259	Overlap	1597823
CNVR_42	4	83708251	85983005	3			3		Gain	2274755	Version_UMD	82972946	85232259	Overlap	36879
CNVR_42	4	83708251	85983005	3			3		Gain	2274755	Version_UMD	82972946	85232259	Overlap	59860
CNVR_43	4	106018897	106193024	1			1		Gain	174128	Version_UMD	105180444	105356030	Overlap	72032
CNVR_44	4	113657341	113889320	3			3		Gain	231980	Version_UMD	112837075		Non-Overlap	
CNVR_45	5	7674802	9143490	2			2		Gain	1468689	Version_UMD	7680316	9127787	Overlap	266092
CNVR_45	5	7674802	9143490	2			2		Gain	1468689	Version_UMD	7680316	9127787	Overlap	86910
CNVR_46	5	27214378	27287454	1			1		Gain	73077	Version_UMD	27040938	27114028	Overlap	73091
CNVR_47	5	37590024	37643766	1	1				Loss	53743	Version_UMD	37375959	37429685	Non-Overlap	
CNVR_48	5	41565285	41606346	2	2				Loss	41062	Version_UMD	41337074	41390342	Non-Overlap	
CNVR_49	5	42179749	42241538	4	4				Loss	61790	Version_UMD	41950245	42010622	Non-Overlap	
CNVR_5	1	22539046	26966818	2			2		Gain	4427773	Version_UMD	23030390		Non-Overlap	
CNVR_50	5	50669547	50719772	1	1				Loss	50226	Version_UMD	50440450	50493964	Non-Overlap	
CNVR_51	5	51636267	55590501	7	1		6		Mixed	3954235	Version_UMD	51397786	55263686	Overlap	2151762
CNVR_51	5	51636267	55590501	7	1		6		Mixed	3954235	Version_UMD	51397786	55263686	Overlap	476825
CNVR_52	5	58003271	60244864	3	1		2		Mixed	2241594	Version_UMD	57677072	59904115	Overlap	29688
CNVR_52	5	58003271	60244864	3	1		2		Mixed	2241594	Version_UMD	57677072	59904115	Overlap	16037
CNVR_52	5	58003271	60244864	3	1		2		Mixed	2241594	Version_UMD	57677072	59904115	Overlap	213213
CNVR_52	5	58003271	60244864	3	1		2		Mixed	2241594	Version_UMD	57677072	59904115	Overlap	167566
CNVR_53	5	89545151	93920010	2			2		Gain	4374860	Version_UMD	89124173	93490294	Overlap	1776973
