name2_1	Frequency_1	ID_1	Chr_1	CNVR_Start_1	CNVR_End_1	Frequency_2	ID_2	Chr_2	CNVR_Start_2	CNVR_End_2	Frequency_3	ID_3	Chr_3	CNVR_Start_3	CNVR_End_3	Frequency_4	ID_4	Chr_4	CNVR_Start_4	CNVR_End_4	Common_check
ADGRL3	0	0	0	0	0	7	CNVR_288	6	77586306	82543678	0	0	0	0	0	33	CNVR_251	6	75710255	78266400	High_and_Low
ADGRL4	0	0	0	0	0	3	CNVR_136	3	63108408	65747448	0	0	0	0	0	1	CNVR_111	3	63473782	66001121	Common_low
ADK	0	0	0	0	0	1	CNVR_949	28	30188756	30226392	0	0	0	0	0	0	0	0	0	0	Common_low
ADM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_226	5	119772706	119940291	Common_low
ADORA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_97	3	31748152	31851977	Common_low
ADRM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	CNVR_497	13	54426258	54994600	Common_low
ADSS	0	0	0	0	0	1	CNVR_636	16	32754885	32852344	0	0	0	0	0	0	0	0	0	0	Common_low
ADSSL1	0	0	0	0	0	7	CNVR_821	21	69122111	69808854	0	0	0	0	0	0	0	0	0	0	Common_low
AEBP2	1	CNVR_53	5	89545151	93920010	0	0	0	0	0	1	CNVR_53	5	89545151	93920010	0	0	0	0	0	Common_low
AFMID	0	0	0	0	0	2	CNVR_753	19	53607609	54071105	0	0	0	0	0	0	0	0	0	0	Common_low
AGA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_821	27	8503527	10804209	Common_low
AGFG2	0	0	0	0	0	6	CNVR_895	25	35847022	36188699	0	0	0	0	0	0	0	0	0	0	Common_low
AGMO	0	0	0	0	0	1	CNVR_168	4	23463134	23601651	0	0	0	0	0	0	0	0	0	0	Common_low
AGO1	0	0	0	0	0	1	CNVR_149	3	109750764	110033765	0	0	0	0	0	0	0	0	0	0	Common_low
AGO3	0	0	0	0	0	1	CNVR_149	3	109750764	110033765	0	0	0	0	0	0	0	0	0	0	Common_low
AGPAT2	1	CNVR_124	11	103363410	106804258	3	CNVR_483	11	103562010	104313142	1	CNVR_124	11	103363410	106804258	6	CNVR_435	11	103615735	104217085	Common_low
AGPS	0	0	0	0	0	1	CNVR_71	2	19365290	19425494	0	0	0	0	0	1	CNVR_50	2	19363187	19423385	Common_low
AHCTF1	0	0	0	0	0	1	CNVR_635	16	30213147	30505468	0	0	0	0	0	0	0	0	0	0	Common_low
AIF1	1	CNVR_208	23	27286587	27903991	1	CNVR_849	23	27494111	27734916	1	CNVR_208	23	27286587	27903991	0	0	0	0	0	Common_low
AIP	0	0	0	0	0	2	CNVR_972	29	45085715	45486731	0	0	0	0	0	0	0	0	0	0	Common_low
AIPL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_656	19	25426630	25477852	Common_low
AJUBA	0	0	0	0	0	2	CNVR_429	10	21794678	21979394	0	0	0	0	0	0	0	0	0	0	Common_low
AK5	1	CNVR_28	3	67440250	67474440	0	0	0	0	0	1	CNVR_28	3	67440250	67474440	0	0	0	0	0	Common_low
AK6	1	CNVR_186	20	10253023	10424451	0	0	0	0	0	1	CNVR_186	20	10253023	10424451	0	0	0	0	0	Common_low
AK8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	CNVR_433	11	102741737	102934734	Common_low
AKAP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_367	9	69270119	69290334	Common_low
AKR1A1	0	0	0	0	0	3	CNVR_147	3	100277178	100601230	0	0	0	0	0	0	0	0	0	0	Common_low
AKR1B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_173	4	97903366	98129316	Common_low
AKT1	0	0	0	0	0	7	CNVR_821	21	69122111	69808854	0	0	0	0	0	0	0	0	0	0	Common_low
AKT3	0	0	0	0	0	3	CNVR_637	16	33331779	33556407	0	0	0	0	0	1	CNVR_578	16	33515802	33613674	Common_low
ALAS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_746	22	48449810	48866871	Common_low
ALCAM	0	0	0	0	0	2	CNVR_36	1	49952651	50064432	0	0	0	0	0	0	0	0	0	0	Common_low
ALDH7A1	1	CNVR_79	7	28542358	28657444	2	CNVR_330	7	27289094	27323816	1	CNVR_79	7	28542358	28657444	0	0	0	0	0	Common_low
ALKBH5	0	0	0	0	0	1	CNVR_742	19	34401871	34652351	0	0	0	0	0	0	0	0	0	0	Common_low
ALOX12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	CNVR_657	19	27569814	28031919	Common_low
ALOX15B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	CNVR_657	19	27569814	28031919	Common_low
ALOX5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_851	28	44291071	44474997	Common_low
ALX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	CNVR_186	5	14894403	14953446	Common_low
ALYREF	0	0	0	0	0	2	CNVR_750	19	50761431	51158110	0	0	0	0	0	0	0	0	0	0	Common_low
AMBN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	CNVR_254	6	85838311	86053293	Common_low
AMDHD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_201	5	60090401	60293911	Common_low
AMT	0	0	0	0	0	1	CNVR_835	22	50610098	50710803	0	0	0	0	0	0	0	0	0	0	Common_low
AMTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	CNVR_254	6	85838311	86053293	Common_low
AMY2B	1	CNVR_26	3	37172756	41992103	1	CNVR_123	3	37209678	40032182	1	CNVR_26	3	37172756	41992103	1	CNVR_99	3	37327971	40171638	Common_low
ANAPC11	0	0	0	0	0	2	CNVR_750	19	50761431	51158110	0	0	0	0	0	0	0	0	0	0	Common_low
ANGPTL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_280	7	16952548	17109710	Common_low
ANKIB1	0	0	0	0	0	2	CNVR_158	4	9623951	9706609	0	0	0	0	0	0	0	0	0	0	Common_low
ANKRD13D	0	0	0	0	0	3	CNVR_972	29	45085715	45486731	0	0	0	0	0	0	0	0	0	0	Common_low
ANKRD50	1	CNVR_168	17	30640617	34057200	0	0	0	0	0	1	CNVR_168	17	30640617	34057200	0	0	0	0	0	Common_low
ANKRD55	1	CNVR_187	20	22960402	23017834	0	0	0	0	0	1	CNVR_187	20	22960402	23017834	0	0	0	0	0	Common_low
ANKRD65	0	0	0	0	0	1	CNVR_639	16	50834467	51464253	0	0	0	0	0	0	0	0	0	0	Common_low
ANKZF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_80	2	106984473	107192324	Common_low
ANP32B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_331	8	63018531	63246078	Common_low
AP1M2	0	0	0	0	0	1	CNVR_318	7	15060628	15282437	0	0	0	0	0	0	0	0	0	0	Common_low
AP3B1	0	0	0	0	0	1	CNVR_424	10	9143166	9354675	0	0	0	0	0	1	CNVR_380	10	9086487	9319944	Common_low
APELA	0	0	0	0	0	1	CNVR_262	6	115156	689353	0	0	0	0	0	1	CNVR_227	6	118791	663198	Common_low
APLNR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	CNVR_562	15	80329011	80842722	High_and_Low
APOH	0	0	0	0	0	8	CNVR_761	19	62611634	62643241	0	0	0	0	0	0	0	0	0	0	Common_low
APOM	1	CNVR_208	23	27286587	27903991	1	CNVR_849	23	27494111	27734916	1	CNVR_208	23	27286587	27903991	0	0	0	0	0	Common_low
ARC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	CNVR_508	14	1514056	2342883	Common_low
ARF4	1	CNVR_202	22	43894412	44172715	0	0	0	0	0	1	CNVR_202	22	43894412	44172715	0	0	0	0	0	Common_low
ARFGAP1	0	0	0	0	0	5	CNVR_543	13	53822879	54521999	0	0	0	0	0	0	0	0	0	0	Common_low
ARFIP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	CNVR_546	15	46539222	46605212	Common_low
ARFRP1	0	0	0	0	0	5	CNVR_543	13	53822879	54521999	0	0	0	0	0	0	0	0	0	0	Common_low
ARHGAP15	0	0	0	0	0	1	CNVR_89	2	53138918	53401974	0	0	0	0	0	1	CNVR_64	2	53239315	53502146	Common_low
ARHGAP20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	CNVR_542	15	20590237	20737282	Common_low
ARHGAP39	0	0	0	0	0	2	CNVR_556	14	330256	1142313	0	0	0	0	0	0	0	0	0	0	Common_low
ARHGAP45	0	0	0	0	0	3	CNVR_341	7	43369002	44022730	0	0	0	0	0	0	0	0	0	0	Common_low
ARHGDIA	0	0	0	0	0	2	CNVR_750	19	50761431	51158110	0	0	0	0	0	0	0	0	0	0	Common_low
ARHGEF15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_657	19	27569814	28031919	Common_low
ARHGEF16	0	0	0	0	0	1	CNVR_638	16	49425121	49608429	0	0	0	0	0	0	0	0	0	0	Common_low
ARHGEF19	0	0	0	0	0	1	CNVR_113	2	135880908	136019931	0	0	0	0	0	0	0	0	0	0	Common_low
ARHGEF26	0	0	0	0	0	1	CNVR_52	1	113427015	113486828	0	0	0	0	0	0	0	0	0	0	Common_low
ARID3A	0	0	0	0	0	1	CNVR_341	7	43369002	44022730	0	0	0	0	0	0	0	0	0	0	Common_low
ARID4B	1	CNVR_236	28	8022387	8200649	2	CNVR_935	28	7978983	8010103	1	CNVR_236	28	8022387	8200649	2	CNVR_835	28	8022387	8054607	Common_low
ARMC7	0	0	0	0	0	3	CNVR_758	19	56293270	56677337	0	0	0	0	0	0	0	0	0	0	Common_low
ARRDC1	1	CNVR_124	11	103363410	106804258	0	0	0	0	0	1	CNVR_124	11	103363410	106804258	0	0	0	0	0	Common_low
ARRDC3	1	CNVR_87	7	93224876	93254737	3	CNVR_351	7	90843162	90863630	1	CNVR_87	7	93224876	93254737	0	0	0	0	0	Common_low
ARSG	0	0	0	0	0	1	CNVR_759	19	61701944	61794220	0	0	0	0	0	0	0	0	0	0	Common_low
ARVCF	0	0	0	0	0	4	CNVR_681	17	72483071	73106809	0	0	0	0	0	0	0	0	0	0	Common_low
ASCC3	0	0	0	0	0	2	CNVR_398	9	49224046	49366561	0	0	0	0	0	7	CNVR_359	9	48901956	49398875	Common_low
ASPN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	CNVR_334	8	84030299	84099596	Common_low
ASPSCR1	1	CNVR_181	19	51478494	51538272	8	CNVR_750	19	50761431	51158110	1	CNVR_181	19	51478494	51538272	1	CNVR_667	19	50821989	50902591	Common_low
ATAD3A	0	0	0	0	0	1	CNVR_639	16	50834467	51464253	0	0	0	0	0	0	0	0	0	0	Common_low
ATAD5	0	0	0	0	0	1	CNVR_733	19	18012136	18118339	0	0	0	0	0	0	0	0	0	0	Common_low
ATAT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_758	23	28341860	28413350	Common_low
ATF7IP	0	0	0	0	0	5	CNVR_240	5	95388986	95475180	0	0	0	0	0	0	0	0	0	0	Common_low
ATG16L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_552	15	52290626	52421203	Common_low
ATG2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_869	29	43108445	43189370	Common_low
ATG4B	0	0	0	0	0	3	CNVR_152	3	120634274	120886943	0	0	0	0	0	0	0	0	0	0	Common_low
ATG4D	0	0	0	0	0	1	CNVR_318	7	15060628	15282437	0	0	0	0	0	0	0	0	0	0	Common_low
ATG9A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_80	2	106984473	107192324	Common_low
ATMIN	0	0	0	0	0	1	CNVR_684	18	7691780	7759211	0	0	0	0	0	1	CNVR_614	18	7725422	7792744	Common_low
ATP10D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	CNVR_250	6	65626399	66950498	Common_low
ATP1B2	1	CNVR_180	19	27576066	28031919	5	CNVR_739	19	26936476	27421507	1	CNVR_180	19	27576066	28031919	0	0	0	0	0	Common_low
ATP5F1D	0	0	0	0	0	4	CNVR_341	7	43369002	44022730	0	0	0	0	0	0	0	0	0	0	Common_low
ATP5PB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_97	3	31748152	31851977	Common_low
ATP5PD	0	0	0	0	0	3	CNVR_758	19	56293270	56677337	0	0	0	0	0	0	0	0	0	0	Common_low
ATP5PO	0	0	0	0	0	1	CNVR_1	1	1556392	1761967	0	0	0	0	0	0	0	0	0	0	Common_low
ATP6V1G2	1	CNVR_208	23	27286587	27903991	0	0	0	0	0	1	CNVR_208	23	27286587	27903991	0	0	0	0	0	Common_low
ATPAF2	0	0	0	0	0	1	CNVR_742	19	34401871	34652351	0	0	0	0	0	0	0	0	0	0	Common_low
ATRAID	1	CNVR_36	4	58591926	59647887	0	0	0	0	0	1	CNVR_36	4	58591926	59647887	0	0	0	0	0	Common_low
AURKAIP1	0	0	0	0	0	1	CNVR_639	16	50834467	51464253	0	0	0	0	0	0	0	0	0	0	Common_low
AURKB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_657	19	27569814	28031919	Common_low
AVPR1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_194	5	50295303	50411994	Common_low
AZGP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	CNVR_797	25	36407220	36725047	Common_low
B2M	2	CNVR_119	10	104016609	104152410	2	CNVR_453	10	103030307	103146542	2	CNVR_119	10	104016609	104152410	0	0	0	0	0	Common_low
B3GALT4	0	0	0	0	0	1	CNVR_841	23	7287056	7484843	0	0	0	0	0	0	0	0	0	0	Common_low
B3GNT3	0	0	0	0	0	1	CNVR_310	7	5292475	5377006	0	0	0	0	0	0	0	0	0	0	Common_low
B3GNT5	0	0	0	0	0	6	CNVR_45	1	83707085	83810343	0	0	0	0	0	0	0	0	0	0	Common_low
BACE2	4	CNVR_13	1	142904469	142999555	0	0	0	0	0	4	CNVR_13	1	142904469	142999555	0	0	0	0	0	Common_low
BAG6	1	CNVR_208	23	27286587	27903991	1	CNVR_849	23	27494111	27734916	1	CNVR_208	23	27286587	27903991	0	0	0	0	0	Common_low
BAIAP2	0	0	0	0	0	3	CNVR_751	19	51489174	51643975	0	0	0	0	0	4	CNVR_668	19	51370101	51767413	Common_low
BANP	0	0	0	0	0	1	CNVR_688	18	13303377	13434174	0	0	0	0	0	1	CNVR_617	18	13346768	13478168	Common_low
BAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_746	22	48449810	48866871	Common_low
BAX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_630	18	55442888	55807264	Common_low
BBS12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_600	17	34933710	35050237	Common_low
BCHE	0	0	0	0	0	3	CNVR_51	1	100412522	105472672	0	0	0	0	0	1	CNVR_38	1	101366448	106295981	Common_low
BCL2L12	0	0	0	0	0	2	CNVR_706	18	56066463	56136613	0	0	0	0	0	0	0	0	0	0	Common_low
BCL7B	0	0	0	0	0	1	CNVR_894	25	33632236	33654364	0	0	0	0	0	0	0	0	0	0	Common_low
BCNT2	1	CNVR_173	18	2815483	2864232	0	0	0	0	0	1	CNVR_173	18	2815483	2864232	0	0	0	0	0	Common_low
BFAR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_790	25	13567579	13626127	Common_low
BICDL2	0	0	0	0	0	1	CNVR_884	25	2262072	2450378	0	0	0	0	0	1	CNVR_786	25	2263020	2452460	Common_low
BIRC3	0	0	0	0	0	3	CNVR_589	15	6287730	6431790	0	0	0	0	0	0	0	0	0	0	Common_low
BIRC5	0	0	0	0	0	1	CNVR_753	19	53607609	54071105	0	0	0	0	0	0	0	0	0	0	Common_low
BIRC6	0	0	0	0	0	1	CNVR_458	11	14734237	15096210	0	0	0	0	0	0	0	0	0	0	Common_low
BLA-DQB	1	CNVR_206	23	25222914	25978647	59	CNVR_847	23	25560755	25730370	1	CNVR_206	23	25222914	25978647	0	0	0	0	0	High_and_Low
BMP7	0	0	0	0	0	1	CNVR_546	13	58932344	58979512	0	0	0	0	0	0	0	0	0	0	Common_low
BMPR1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_237	6	28754184	29374777	Common_low
BNIP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	CNVR_819	26	50775926	51283520	Common_low
BOK	0	0	0	0	0	1	CNVR_152	3	120634274	120886943	0	0	0	0	0	0	0	0	0	0	Common_low
BOLA	0	0	0	0	0	2	CNVR_851	23	28560191	28625152	0	0	0	0	0	0	0	0	0	0	Common_low
BOLA-A	1	CNVR_208	23	27286587	27903991	0	0	0	0	0	1	CNVR_208	23	27286587	27903991	1	CNVR_757	23	27759950	27903991	Common_low
BOLA-DMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_753	23	7240128	7427107	Common_low
BOLA-DMB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_753	23	7240128	7427107	Common_low
BOLA-DOA	0	0	0	0	0	1	CNVR_841	23	7287056	7484843	0	0	0	0	0	1	CNVR_753	23	7240128	7427107	Common_low
BOLA-DQA2	1	CNVR_206	23	25222914	25978647	6	CNVR_847	23	25560755	25730370	1	CNVR_206	23	25222914	25978647	0	0	0	0	0	Common_low
BOLA-DQA5	1	CNVR_206	23	25222914	25978647	6	CNVR_847	23	25560755	25730370	1	CNVR_206	23	25222914	25978647	0	0	0	0	0	Common_low
BOLA-DQB	1	CNVR_206	23	25222914	25978647	6	CNVR_847	23	25560755	25730370	1	CNVR_206	23	25222914	25978647	0	0	0	0	0	Common_low
BOLA-DRA	1	CNVR_206	23	25222914	25978647	0	0	0	0	0	1	CNVR_206	23	25222914	25978647	0	0	0	0	0	Common_low
BOLA-DRB3	1	CNVR_206	23	25222914	25978647	30	CNVR_847	23	25560755	25730370	1	CNVR_206	23	25222914	25978647	0	0	0	0	0	High_and_Low
BOLA1	0	0	0	0	0	1	CNVR_117	3	20706978	20756370	0	0	0	0	0	0	0	0	0	0	Common_low
BORCS6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_657	19	27569814	28031919	Common_low
BPHL	0	0	0	0	0	4	CNVR_859	23	50437086	50536890	0	0	0	0	0	0	0	0	0	0	Common_low
BRAT1	0	0	0	0	0	4	CNVR_898	25	40644879	41380662	0	0	0	0	0	0	0	0	0	0	Common_low
BRD2	0	0	0	0	0	1	CNVR_841	23	7287056	7484843	0	0	0	0	0	1	CNVR_753	23	7240128	7427107	Common_low
BRD3	1	CNVR_124	11	103363410	106804258	0	0	0	0	0	1	CNVR_124	11	103363410	106804258	0	0	0	0	0	Common_low
BRD9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	CNVR_708	20	71237809	71469650	Common_low
BRINP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_341	8	108663779	108687702	Common_low
BRINP3	0	0	0	0	0	4	CNVR_627	16	13872867	15634358	0	0	0	0	0	15	CNVR_571	16	14500474	16270589	Common_low
BTBD17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	CNVR_674	19	56930023	57182413	Common_low
BTBD19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	CNVR_122	3	100880075	101202890	Common_low
BTBD6	0	0	0	0	0	4	CNVR_821	21	69122111	69808854	0	0	0	0	0	0	0	0	0	0	Common_low
BTN1A1	1	CNVR_210	23	31338261	31707092	3	CNVR_856	23	31580954	31945721	1	CNVR_210	23	31338261	31707092	2	CNVR_762	23	31338261	31726418	Common_low
BTNL2	1	CNVR_206	23	25222914	25978647	0	0	0	0	0	1	CNVR_206	23	25222914	25978647	0	0	0	0	0	Common_low
BTRC	0	0	0	0	0	1	CNVR_909	26	22144981	22386818	0	0	0	0	0	1	CNVR_810	26	22037112	22215515	Common_low
BoLA	1	CNVR_208	23	27286587	27903991	0	0	0	0	0	1	CNVR_208	23	27286587	27903991	1	CNVR_757	23	27759950	27903991	Common_low
C10H14orf93	0	0	0	0	0	2	CNVR_429	10	21794678	21979394	0	0	0	0	0	0	0	0	0	0	Common_low
C11H9orf116	1	CNVR_124	11	103363410	106804258	1	CNVR_486	11	105779716	106470561	1	CNVR_124	11	103363410	106804258	3	CNVR_438	11	105645935	106492915	Common_low
C14H8orf34	0	0	0	0	0	1	CNVR_565	14	32518018	32967563	0	0	0	0	0	0	0	0	0	0	Common_low
C14H8orf82	0	0	0	0	0	2	CNVR_556	14	330256	1142313	0	0	0	0	0	0	0	0	0	0	Common_low
